Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163111,ساري - کياسر (کياده),1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,1873,1515,214,135,7,2,58.0,1873,0.0,124.0,0.0
163111,ساري - کياسر (کياده),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,1744,1513,130,94,7,0,60.0,1744,0.0,132.0,0.0
163111,ساري - کياسر (کياده),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,1525,1183,155,168,15,4,61.0,1525,0.0,90.0,0.0
163111,ساري - کياسر (کياده),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,1726,1297,206,207,8,8,58.0,1726,0.0,117.0,0.0
163111,ساري - کياسر (کياده),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,1679,1240,271,149,12,7,57.0,1679,0.0,89.0,0.0
163111,ساري - کياسر (کياده),1398/12/06 00:00:00,1398/12/07 00:00:00,1390.0,1391,1011,209,156,11,4,55.0,1471,0.0,63.0,0.0
163111,ساري - کياسر (کياده),1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,954,653,165,128,7,1,51.0,954,0.0,44.0,0.0
163111,ساري - کياسر (کياده),1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,1531,1228,123,166,14,0,60.0,1547,0.0,99.0,0.0
163111,ساري - کياسر (کياده),1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,1751,1441,187,115,7,1,56.0,1751,0.0,128.0,0.0
163111,ساري - کياسر (کياده),1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,1644,1234,242,152,10,6,59.0,1644,0.0,108.0,0.0
