Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163106,سمنان - کياسر,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,775,539,61,150,17,8,41.0,815.0,0.0,9.0,29.0
163106,سمنان - کياسر,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,870,697,42,115,9,7,44.0,891.0,1.0,15.0,39.0
163106,سمنان - کياسر,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,806,598,50,125,21,12,43.0,806.0,0.0,12.0,29.0
163106,سمنان - کياسر,1398/12/04 00:00:00,1398/12/05 00:00:00,1430.0,978,699,71,191,11,6,42.0,988.0,0.0,26.0,45.0
163106,سمنان - کياسر,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,1012,711,75,197,18,11,42.0,1012.0,1.0,17.0,49.0
163106,سمنان - کياسر,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,797,541,66,173,9,8,41.0,797.0,0.0,11.0,29.0
163106,سمنان - کياسر,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,496,284,56,139,11,6,38.0,496.0,0.0,4.0,22.0
163106,سمنان - کياسر,1398/12/08 00:00:00,1398/12/09 00:00:00,1325.0,735,544,52,121,9,9,43.0,792.0,1.0,15.0,38.0
163106,سمنان - کياسر,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,944,707,78,147,9,3,44.0,944.0,0.0,13.0,42.0
163106,سمنان - کياسر,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,808,575,71,148,11,3,42.0,808.0,0.0,10.0,30.0
163106,سمنان - کياسر,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,858,587,78,182,5,6,41.0,858.0,0.0,20.0,36.0
163106,سمنان - کياسر,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,555,347,47,145,13,3,38.0,585.0,0.0,4.0,39.0
163106,سمنان - کياسر,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,605,381,64,148,10,2,38.0,605.0,0.0,6.0,32.0
163106,سمنان - کياسر,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,767,528,70,156,10,3,42.0,767.0,0.0,9.0,25.0
163106,سمنان - کياسر,1398/12/15 00:00:00,1398/12/16 00:00:00,1320.0,846,613,70,154,7,2,43.0,936.0,1.0,9.0,32.0
163106,سمنان - کياسر,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,1014,776,62,160,8,8,43.0,1014.0,0.0,24.0,50.0
163106,سمنان - کياسر,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,691,492,51,136,9,3,42.0,691.0,0.0,6.0,35.0
163106,سمنان - کياسر,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,704,485,69,139,7,4,42.0,704.0,0.0,8.0,20.0
163106,سمنان - کياسر,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,672,460,62,134,6,10,41.0,672.0,1.0,9.0,27.0
163106,سمنان - کياسر,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,681,458,66,138,14,5,41.0,681.0,0.0,8.0,30.0
163106,سمنان - کياسر,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,724,506,64,137,9,8,42.0,724.0,0.0,10.0,30.0
163106,سمنان - کياسر,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,770,551,81,131,3,4,42.0,770.0,0.0,9.0,29.0
163106,سمنان - کياسر,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,804,606,55,133,5,5,43.0,804.0,0.0,7.0,27.0
163106,سمنان - کياسر,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,706,526,56,113,9,2,42.0,706.0,0.0,7.0,23.0
163106,سمنان - کياسر,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,782,555,78,140,7,2,42.0,782.0,0.0,14.0,36.0
163106,سمنان - کياسر,1398/12/26 00:00:00,1398/12/26 23:45:00,1425.0,841,616,77,139,5,4,44.0,847.0,0.0,8.0,25.0
163106,سمنان - کياسر,1398/12/27 02:35:00,1398/12/28 00:00:00,880.0,542,419,43,73,3,4,43.0,831.0,0.0,5.0,17.0
163106,سمنان - کياسر,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,736,587,37,102,6,4,43.0,736.0,0.0,9.0,25.0
163106,سمنان - کياسر,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,676,581,23,60,6,6,45.0,676.0,0.0,6.0,17.0
163106,سمنان - کياسر,1400/01/01 00:00:00,1400/01/02 00:00:00,1400.0,1974,1920,40,12,2,0,53.0,2079.0,5.0,24.0,0.0
163106,سمنان - کياسر,1400/01/02 00:00:00,1400/01/03 00:00:00,1380.0,2643,2576,46,17,3,1,51.0,2666.0,3.0,49.0,0.0
163106,سمنان - کياسر,1400/01/03 00:00:00,1400/01/04 00:00:00,1440.0,2861,2760,70,26,4,1,50.0,2861.0,4.0,50.0,0.0
163106,سمنان - کياسر,1400/01/04 00:00:00,1400/01/04 22:45:00,1365.0,2889,2774,82,24,2,7,53.0,2947.0,79.0,173.0,0.0
163106,سمنان - کياسر,1400/01/05 11:35:00,1400/01/06 00:00:00,745.0,1878,1796,60,17,2,3,51.0,2651.0,2.0,42.0,0.0
163106,سمنان - کياسر,1400/01/06 00:00:00,1400/01/07 00:00:00,1320.0,3041,2886,105,46,2,2,51.0,3677.0,2.0,73.0,0.0
163106,سمنان - کياسر,1400/01/07 00:00:00,1400/01/07 20:10:00,1210.0,1965,1835,89,35,4,2,52.0,2185.0,1.0,40.0,0.0
163106,سمنان - کياسر,1400/01/08 04:15:00,1400/01/09 00:00:00,735.0,1387,1240,99,44,3,1,51.0,3793.0,9.0,15.0,0.0
163106,سمنان - کياسر,1400/01/09 00:00:00,1400/01/10 00:00:00,1440.0,2413,2186,138,78,5,6,51.0,2413.0,7.0,61.0,0.0
163106,سمنان - کياسر,1400/01/10 00:00:00,1400/01/11 00:00:00,1440.0,2009,1851,89,64,3,2,52.0,2009.0,12.0,46.0,0.0
163106,سمنان - کياسر,1400/01/11 00:00:00,1400/01/11 23:55:00,1435.0,2264,2069,117,72,4,2,51.0,2269.0,4.0,38.0,0.0
163106,سمنان - کياسر,1400/01/12 00:00:00,1400/01/13 00:00:00,1410.0,2372,2237,77,47,8,3,51.0,2393.0,6.0,39.0,0.0
163106,سمنان - کياسر,1400/01/13 00:00:00,1400/01/14 00:00:00,1440.0,1907,1830,41,33,1,2,51.0,1907.0,5.0,28.0,0.0
163106,سمنان - کياسر,1400/01/14 00:00:00,1400/01/15 00:00:00,1440.0,1436,1322,74,36,1,3,51.0,1436.0,5.0,28.0,0.0
163106,سمنان - کياسر,1400/01/15 00:00:00,1400/01/16 00:00:00,1440.0,1189,1005,100,72,9,3,50.0,1189.0,5.0,16.0,0.0
163106,سمنان - کياسر,1400/01/16 00:00:00,1400/01/17 00:00:00,1400.0,1119,925,92,96,3,3,49.0,1129.0,2.0,9.0,0.0
163106,سمنان - کياسر,1400/01/17 00:00:00,1400/01/18 00:00:00,1440.0,1096,888,111,87,5,5,49.0,1096.0,5.0,6.0,0.0
163106,سمنان - کياسر,1400/01/18 00:00:00,1400/01/19 00:00:00,1440.0,1164,945,112,97,4,6,50.0,1164.0,7.0,13.0,0.0
163106,سمنان - کياسر,1400/01/19 00:00:00,1400/01/20 00:00:00,1435.0,1247,1066,99,71,6,5,50.0,1252.0,5.0,11.0,0.0
