Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163264,رودهن - آمل (سه راه بلده - شاه زيد),1398/12/01 00:00:00,1398/12/02 00:00:00,1330.0,11245,10205,812,181,47,0,64.0,12468,10.0,211.0,0.0
163264,رودهن - آمل (سه راه بلده - شاه زيد),1398/12/02 00:00:00,1398/12/03 00:00:00,1380.0,9466,8789,467,159,50,1,70.0,9967,17.0,192.0,0.0
163264,رودهن - آمل (سه راه بلده - شاه زيد),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,11959,9673,1965,241,68,12,67.0,11985,21.0,341.0,0.0
163264,رودهن - آمل (سه راه بلده - شاه زيد),1398/12/04 00:00:00,1398/12/05 00:00:00,1325.0,12589,10065,2102,342,68,12,68.0,14058,42.0,471.0,0.0
163264,رودهن - آمل (سه راه بلده - شاه زيد),1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,12698,10198,2138,300,55,7,67.0,13334,37.0,495.0,0.0
163264,رودهن - آمل (سه راه بلده - شاه زيد),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,9730,7606,1859,222,35,8,63.0,11048,20.0,304.0,0.0
163264,رودهن - آمل (سه راه بلده - شاه زيد),1398/12/07 00:00:00,1398/12/08 00:00:00,1325.0,6909,5798,977,109,22,3,61.0,8914,9.0,140.0,0.0
163264,رودهن - آمل (سه راه بلده - شاه زيد),1398/12/08 00:00:00,1398/12/09 00:00:00,1380.0,11623,10318,1059,194,49,3,69.0,12177,47.0,355.0,0.0
163264,رودهن - آمل (سه راه بلده - شاه زيد),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,8649,7792,637,167,50,3,70.0,8670,20.0,186.0,0.0
163264,رودهن - آمل (سه راه بلده - شاه زيد),1398/12/10 00:00:00,1398/12/11 00:00:00,1270.0,9848,7279,2133,335,87,14,69.0,10866,24.0,347.0,0.0
