Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/01 00:00:00,1398/12/02 00:00:00,1275.0,6801,5932,406,317,113,33,68.0,7771,52.0,200.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/02 00:00:00,1398/12/03 00:00:00,1430.0,12592,11686,495,259,126,26,78.0,12637,520.0,956.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,11902,9888,990,848,145,31,74.0,11940,360.0,726.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,10216,8203,989,843,138,43,72.0,10255,261.0,507.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/05 00:00:00,1398/12/06 00:00:00,1430.0,9209,7271,985,796,123,34,69.0,9288,194.0,636.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/06 00:00:00,1398/12/07 00:00:00,1375.0,7121,5522,798,684,92,25,66.0,7803,102.0,324.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/07 00:00:00,1398/12/08 00:00:00,1415.0,4398,3654,407,262,61,14,66.0,5575,52.0,164.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/08 00:00:00,1398/12/09 00:00:00,1430.0,8002,7134,492,263,88,25,73.0,8065,219.0,401.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/09 00:00:00,1398/12/10 00:00:00,1430.0,10247,9088,741,298,92,28,77.0,10321,727.0,624.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,9859,7703,1048,951,127,30,72.0,9896,278.0,477.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/11 00:00:00,1398/12/12 00:00:00,1380.0,8084,6114,1013,823,111,23,71.0,8360,280.0,304.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/12 00:00:00,1398/12/13 00:00:00,1375.0,6289,4462,954,744,96,33,67.0,6594,132.0,178.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,6858,4909,1023,811,89,26,69.0,6879,156.0,228.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,7284,5587,912,663,94,28,72.0,7306,215.0,264.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,7196,5899,698,487,88,24,74.0,7216,285.0,211.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,11882,10563,765,452,83,19,75.0,11901,525.0,907.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,7116,5627,746,649,75,19,73.0,7141,212.0,215.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,7599,6429,631,476,51,12,74.0,7614,289.0,284.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/19 00:00:00,1398/12/19 23:50:00,1410.0,6234,4884,713,555,67,15,71.0,6358,176.0,168.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/20 00:00:00,1398/12/21 00:00:00,1390.0,5933,4446,760,636,73,18,69.0,6078,202.0,137.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,5815,4297,817,602,82,17,69.0,5833,229.0,130.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/22 00:00:00,1398/12/23 00:00:00,1435.0,4949,3635,795,425,68,26,74.0,4964,472.0,125.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,5268,4409,414,358,73,14,69.0,5280,113.0,124.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/24 00:00:00,1398/12/25 00:00:00,1420.0,6390,4538,1037,708,68,39,71.0,6487,494.0,179.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/25 00:00:00,1398/12/26 00:00:00,1275.0,6548,4757,1106,601,65,19,69.0,7093,357.0,192.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/26 00:00:00,1398/12/27 00:00:00,1445.0,7090,5106,1224,664,67,29,70.0,7070,479.0,183.0,0.0
163215,آمل - رودهن (سه راه بلده - پنجاب),1398/12/27 00:00:00,1398/12/28 00:00:00,1445.0,6333,4554,1124,557,78,20,71.0,6315,437.0,158.0,0.0
