Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,9906,7789,1193,780,129,15,78.0,9962,624.0,455.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,13632,12335,755,396,127,19,87.0,13661,2126.0,1187.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,16280,11210,2992,1905,148,25,79.0,16346,1129.0,1616.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/04 00:00:00,1398/12/05 00:00:00,1325.0,12955,8681,2607,1514,127,26,79.0,14408,893.0,1125.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,12343,8088,2433,1687,123,12,78.0,13032,773.0,1090.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/06 00:00:00,1398/12/07 00:00:00,1330.0,10230,6629,2171,1321,91,18,75.0,11567,632.0,782.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,6715,4781,1121,735,68,10,72.0,7975,159.0,272.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,9968,8309,992,557,96,14,81.0,10015,967.0,629.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,11125,9838,653,510,102,22,84.0,11575,1273.0,745.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/10 00:00:00,1398/12/11 00:00:00,1390.0,13752,9095,2770,1755,113,19,78.0,14331,872.0,1224.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/11 00:00:00,1398/12/12 00:00:00,1325.0,11776,7478,2496,1674,115,13,77.0,12756,602.0,893.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,10656,6366,2472,1698,107,13,71.0,10703,221.0,556.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,10312,6232,2417,1542,98,23,73.0,10939,452.0,620.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,10969,7227,2276,1359,94,13,77.0,11018,581.0,753.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/15 00:00:00,1398/12/16 00:00:00,1380.0,9919,6957,1901,967,86,8,80.0,10337,824.0,507.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/16 00:00:00,1398/12/17 00:00:00,1325.0,12722,10716,1155,759,83,9,84.0,13813,1557.0,1121.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/17 00:00:00,1398/12/18 00:00:00,1385.0,10407,6757,2362,1197,79,12,77.0,10781,679.0,635.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/18 00:00:00,1398/12/19 00:00:00,1325.0,10410,6976,2290,1090,48,6,81.0,11236,1010.0,654.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/19 00:00:00,1398/12/20 00:00:00,1365.0,9488,6062,2299,1049,68,10,78.0,10174,702.0,443.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/20 00:00:00,1398/12/21 00:00:00,1435.0,9849,5999,2484,1273,83,10,77.0,9896,544.0,541.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,9626,5881,2367,1281,84,13,76.0,9670,566.0,499.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/22 00:00:00,1398/12/23 00:00:00,1380.0,7636,5058,1634,866,66,12,79.0,8028,587.0,310.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,6819,5288,958,494,73,6,80.0,6842,637.0,210.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/24 00:00:00,1398/12/25 00:00:00,1435.0,11263,7975,2348,868,64,8,77.0,11305,797.0,462.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/25 00:00:00,1398/12/26 00:00:00,1375.0,11872,9172,1941,680,68,11,79.0,12405,1229.0,358.0,0.0
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),1398/12/26 00:00:00,1398/12/27 00:00:00,1445.0,12045,9750,1649,569,64,13,79.0,12004,1375.0,293.0,0.0
