Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/01 00:00:00,1398/12/02 00:00:00,1380,12829,10287,1583,806,131,22,74,27,817,0,13708
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/02 00:00:00,1398/12/03 00:00:00,1320,9707,8518,657,374,130,28,81,44,568,0,11099
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/03 00:00:00,1398/12/04 00:00:00,1380,14656,9622,3489,1366,145,34,76,32,1112,0,15028
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/04 00:00:00,1398/12/05 00:00:00,1325,15050,10235,3006,1573,154,82,78,41,1349,0,16576
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/05 00:00:00,1398/12/06 00:00:00,1215,13816,9491,2834,1342,110,39,76,34,1322,0,15913
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/06 00:00:00,1398/12/07 00:00:00,1385,12204,8179,2797,1133,72,23,72,28,918,0,12848
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/07 00:00:00,1398/12/08 00:00:00,1380,8206,6233,1282,626,51,14,73,14,422,0,9420
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/08 00:00:00,1398/12/09 00:00:00,1345,12144,10003,1333,666,106,36,80,69,814,0,12941
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/09 00:00:00,1398/12/10 00:00:00,1320,8944,7657,705,474,97,11,80,45,457,0,10061
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/10 00:00:00,1398/12/11 00:00:00,1265,12373,7974,3011,1247,113,28,75,25,886,0,13910
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/11 00:00:00,1398/12/12 00:00:00,1100,9882,6101,2447,1217,81,36,68,16,652,0,13509
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/12 00:00:00,1398/12/13 00:00:00,1435,11947,6788,2930,2023,164,42,65,8,817,0,11975
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),1398/12/13 00:00:00,1398/12/14 00:00:00,1380,11813,7088,2805,1769,114,37,67,6,823,0,12469
