Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,5671,5600,16,17,36,2,38.0,5681,192.0,378.0,149.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/02 00:00:00,1398/12/03 00:00:00,1380.0,3673,3605,16,12,40,0,42.0,3748,129.0,291.0,51.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,4839,4772,19,7,39,2,41.0,4845,213.0,449.0,101.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,5765,5682,18,14,49,2,41.0,5774,235.0,557.0,106.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,5571,5504,18,13,35,1,41.0,5842,243.0,548.0,112.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,3541,3459,20,32,26,4,39.0,3886,126.0,193.0,189.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,136,122,3,7,3,1,27.0,2582,1.0,2.0,50.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,311,296,9,4,2,0,40.0,1919,21.0,5.0,51.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,1567,1545,9,3,9,1,41.0,2954,83.0,104.0,32.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/10 00:00:00,1398/12/11 00:00:00,920.0,3273,3235,10,10,18,0,40.0,4259,116.0,243.0,143.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/11 00:00:00,1398/12/12 00:00:00,1380.0,4350,4299,11,16,23,1,40.0,4504,165.0,223.0,133.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,3599,3543,15,19,22,0,36.0,3602,42.0,68.0,249.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,4246,4201,11,15,19,0,40.0,4253,132.0,119.0,136.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,6926,6865,15,20,23,3,42.0,6937,202.0,298.0,191.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,7293,7254,13,13,12,1,43.0,7309,324.0,415.0,203.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,1409,1398,4,4,3,0,44.0,3512,182.0,59.0,127.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,1711,1679,9,8,15,0,43.0,1921,159.0,52.0,128.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,1680,1647,15,4,14,0,44.0,1681,163.0,35.0,80.0
164655,کرج - چالوس (سياه بيشه - هزارچم),1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,1830,1800,7,9,13,1,44.0,1845,174.0,42.0,79.0
