Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,3387,3268,49,23,44,3,46.0,3393,1941.0,388.0,14.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,7977,7789,135,8,45,0,46.0,7980,4779.0,1573.0,35.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,5614,5244,315,14,39,2,47.0,5623,3695.0,1193.0,7.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,4628,4082,476,11,55,4,48.0,4635,3160.0,982.0,22.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,4568,3750,759,16,40,3,47.0,4724,2775.0,904.0,23.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/06 00:00:00,1398/12/07 00:00:00,1390.0,2809,2416,312,29,37,15,44.0,3333,1478.0,405.0,26.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/07 00:00:00,1398/12/08 00:00:00,1425.0,107,67,12,17,9,2,29.0,2038,8.0,1.0,35.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/08 00:00:00,1398/12/09 00:00:00,1430.0,133,109,12,6,3,3,45.0,1320,65.0,1.0,19.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,3361,2965,373,7,15,1,44.0,3766,1817.0,803.0,92.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/10 00:00:00,1398/12/11 00:00:00,990.0,4165,3460,669,12,22,2,51.0,5094,2650.0,858.0,59.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,5381,4471,858,14,32,6,52.0,5390,3398.0,913.0,64.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,3900,3292,547,26,27,8,51.0,3943,2311.0,525.0,82.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,4157,3307,801,17,27,5,52.0,5408,2598.0,594.0,32.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,5599,4761,798,13,25,2,55.0,5607,3860.0,883.0,22.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,5807,5129,648,13,17,0,57.0,5815,4328.0,997.0,11.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/16 00:00:00,1398/12/17 00:00:00,1370.0,1622,1463,144,12,2,1,45.0,11522,651.0,154.0,94.0
164606,چالوس - کرج (سياه بيشه - کندوان),1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,4468,4058,376,13,21,0,51.0,5184,2737.0,623.0,88.0
