Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
164452,نوشهر - نور (سي سنگان - نور),1398/12/01 00:00:00,1398/12/02 00:00:00,1320,16097,14563,866,315,148,205,76,82,1084,0,17209
164452,نوشهر - نور (سي سنگان - نور),1398/12/02 00:00:00,1398/12/03 00:00:00,1435,14021,12925,554,267,121,154,79,116,774,0,14033
164452,نوشهر - نور (سي سنگان - نور),1398/12/03 00:00:00,1398/12/04 00:00:00,1330,15570,13804,1062,366,126,212,78,123,1059,0,16288
164452,نوشهر - نور (سي سنگان - نور),1398/12/04 00:00:00,1398/12/05 00:00:00,1270,14173,12355,1023,414,158,223,78,96,1003,0,16788
164452,نوشهر - نور (سي سنگان - نور),1398/12/05 00:00:00,1398/12/06 00:00:00,1325,14850,12935,1091,443,134,247,78,102,1069,0,16389
164452,نوشهر - نور (سي سنگان - نور),1398/12/06 00:00:00,1398/12/07 00:00:00,1295,13143,11394,984,419,129,217,76,93,762,0,15385
164452,نوشهر - نور (سي سنگان - نور),1398/12/07 00:00:00,1398/12/08 00:00:00,1435,14193,12466,938,411,143,235,73,39,655,0,14212
164452,نوشهر - نور (سي سنگان - نور),1398/12/08 00:00:00,1398/12/09 00:00:00,1435,16576,14802,954,387,169,264,77,83,1116,0,16598
164452,نوشهر - نور (سي سنگان - نور),1398/12/09 00:00:00,1398/12/10 00:00:00,1435,13086,11780,715,279,106,206,79,142,695,0,13099
164452,نوشهر - نور (سي سنگان - نور),1398/12/10 00:00:00,1398/12/11 00:00:00,1380,14633,12847,1033,398,125,230,78,110,933,0,15213
164452,نوشهر - نور (سي سنگان - نور),1398/12/11 00:00:00,1398/12/12 00:00:00,1435,14936,13024,1162,404,116,230,75,62,887,0,14961
164452,نوشهر - نور (سي سنگان - نور),1398/12/12 00:00:00,1398/12/13 00:00:00,1435,12916,11129,1012,421,140,214,76,68,534,0,12935
164452,نوشهر - نور (سي سنگان - نور),1398/12/13 00:00:00,1398/12/14 00:00:00,1380,12451,10911,866,368,109,197,72,51,509,0,13072
164452,نوشهر - نور (سي سنگان - نور),1398/12/14 00:00:00,1398/12/15 00:00:00,1380,14537,12673,1105,382,137,240,77,86,901,0,15629
164452,نوشهر - نور (سي سنگان - نور),1398/12/15 00:00:00,1398/12/16 00:00:00,1430,15862,13904,1158,445,115,240,77,123,1074,0,15956
164452,نوشهر - نور (سي سنگان - نور),1398/12/16 00:00:00,1398/12/17 00:00:00,1325,13488,12249,708,278,92,161,80,153,882,0,14712
164452,نوشهر - نور (سي سنگان - نور),1398/12/17 00:00:00,1398/12/18 00:00:00,1325,11762,10276,897,320,90,179,78,98,592,0,13029
