Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
164401,نور - نوشهر (سی سنگان - نوشهر),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,18468,16376,1053,586,113,340,96.0,6805.0,2047.0,0.0,18490.0
164401,نور - نوشهر (سی سنگان - نوشهر),1398/12/02 00:00:00,1398/12/03 00:00:00,1350.0,13425,11937,850,359,78,201,107.0,7341.0,1073.0,0.0,14739.0
164401,نور - نوشهر (سی سنگان - نوشهر),1398/12/03 00:00:00,1398/12/04 00:00:00,1395.0,16503,14062,1314,698,118,311,103.0,8422.0,1586.0,0.0,17278.0
164401,نور - نوشهر (سی سنگان - نوشهر),1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,17558,14464,1776,813,147,358,101.0,9471.0,2007.0,0.0,17582.0
164401,نور - نوشهر (سی سنگان - نوشهر),1398/12/05 00:00:00,1398/12/06 00:00:00,1395.0,16623,13456,1891,804,132,340,101.0,8720.0,2068.0,0.0,17126.0
164401,نور - نوشهر (سی سنگان - نوشهر),1398/12/06 00:00:00,1398/12/07 00:00:00,1340.0,14384,11164,1912,793,164,351,101.0,8269.0,1591.0,0.0,16096.0
164401,نور - نوشهر (سی سنگان - نوشهر),1398/12/07 00:00:00,1398/12/08 00:00:00,1395.0,13781,10891,1678,657,168,387,101.0,7697.0,1270.0,0.0,17197.0
164401,نور - نوشهر (سی سنگان - نوشهر),1398/12/08 00:00:00,1398/12/09 00:00:00,1395.0,29993,25020,1854,1253,331,1535,69.0,8165.0,8917.0,0.0,32770.0
164401,نور - نوشهر (سی سنگان - نوشهر),1398/12/09 00:00:00,1398/12/10 00:00:00,1395.0,24145,20292,1314,993,273,1273,66.0,5926.0,6719.0,0.0,24230.0
164401,نور - نوشهر (سی سنگان - نوشهر),1398/12/10 00:00:00,1398/12/11 00:00:00,1400.0,27930,23976,972,1147,323,1512,67.0,7376.0,7831.0,0.0,28285.0
