Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/01 00:00:00,1398/12/02 00:00:00,1330.0,8356,6873,1289,102,83,9,77.0,8898,642.0,224.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/02 00:00:00,1398/12/03 00:00:00,1380.0,12424,10767,1477,88,77,15,85.0,13091,1397.0,829.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,14127,11155,2671,195,88,18,78.0,14179,1710.0,826.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/04 00:00:00,1398/12/05 00:00:00,1325.0,11133,9027,1860,154,65,27,73.0,12484,1468.0,565.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,10331,8160,1892,201,69,9,73.0,10765,1365.0,597.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,9134,7107,1763,200,44,20,70.0,9625,996.0,390.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/07 00:00:00,1398/12/08 00:00:00,1325.0,5052,4100,844,70,32,6,69.0,6693,495.0,143.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/08 00:00:00,1398/12/09 00:00:00,1380.0,8533,7498,911,65,55,4,76.0,8982,1075.0,261.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,10907,9824,935,84,58,6,77.0,10937,1648.0,411.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/10 00:00:00,1398/12/11 00:00:00,1270.0,10668,8484,1944,179,50,11,73.0,11894,1386.0,464.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/11 00:00:00,1398/12/12 00:00:00,1380.0,10047,7831,1984,162,65,5,71.0,10391,1150.0,313.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/12 00:00:00,1398/12/13 00:00:00,1430.0,8513,6376,1917,153,56,11,67.0,8581,759.0,207.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/13 00:00:00,1398/12/14 00:00:00,1425.0,8671,6569,1885,168,39,10,69.0,8784,885.0,281.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/14 00:00:00,1398/12/15 00:00:00,1370.0,8784,7015,1513,189,59,8,70.0,9286,517.0,229.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,9112,7678,1246,111,77,0,73.0,9146,263.0,150.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/16 00:00:00,1398/12/17 00:00:00,1325.0,11815,10747,903,109,56,0,75.0,13432,325.0,386.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/17 00:00:00,1398/12/18 00:00:00,1320.0,8577,6764,1603,154,51,5,72.0,9449,209.0,192.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,10012,8124,1698,138,49,3,74.0,10038,311.0,277.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/19 00:00:00,1398/12/19 23:55:00,1420.0,8513,6610,1647,189,62,5,72.0,8615,276.0,147.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/20 00:50:00,1398/12/21 00:00:00,1380.0,8098,6164,1679,184,68,3,69.0,8380,150.0,149.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,8002,6030,1730,177,62,3,69.0,8035,145.0,149.0,0.0
163214,آمل - رودهن (شاه زيد - سه راه بلده),1398/12/22 00:00:00,1398/12/23 00:00:00,1405.0,6614,5259,1196,102,54,3,71.0,6855,153.0,89.0,0.0
