Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,13132,10187,1204,1564,145,32,79.0,13171,949.0,816.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,10040,8352,816,693,145,34,87.0,10057,1702.0,591.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,14111,8632,2505,2778,152,44,81.0,14146,1340.0,998.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/04 00:00:00,1398/12/05 00:00:00,1325.0,13956,9197,2261,2308,146,44,82.0,15789,1464.0,1039.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,14398,9482,2303,2426,158,29,82.0,14990,1454.0,1110.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/06 00:00:00,1398/12/07 00:00:00,1330.0,10934,6954,2032,1835,85,28,76.0,12657,647.0,721.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,8939,6588,1169,1113,62,7,79.0,9427,827.0,473.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,12664,10055,1270,1196,118,25,85.0,12701,1818.0,760.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,8506,7017,628,731,104,26,88.0,8769,1376.0,357.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/10 00:00:00,1398/12/11 00:00:00,1390.0,12539,7580,2704,2076,131,48,80.0,12998,1071.0,721.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/11 00:00:00,1398/12/12 00:00:00,1325.0,12003,7257,2694,1931,107,14,79.0,13152,832.0,675.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,11315,6676,2617,1892,114,16,71.0,11341,302.0,486.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,11096,6679,2483,1821,91,22,75.0,11827,573.0,535.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,14170,9858,2449,1730,109,24,83.0,14205,1688.0,864.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/15 00:00:00,1398/12/16 00:00:00,1380.0,13260,9635,1963,1536,98,28,85.0,13894,1865.0,782.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/16 00:00:00,1398/12/17 00:00:00,1325.0,7849,5870,1092,789,81,17,84.0,8584,1015.0,313.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/17 00:00:00,1398/12/18 00:00:00,1385.0,8786,5091,2295,1302,78,20,79.0,9116,678.0,338.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/18 00:00:00,1398/12/19 00:00:00,1325.0,7758,4095,2338,1248,66,11,79.0,8342,525.0,244.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/19 00:00:00,1398/12/20 00:00:00,1365.0,8343,4831,2360,1055,86,11,78.0,8876,622.0,246.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/20 00:00:00,1398/12/21 00:00:00,1435.0,9574,5571,2514,1387,83,19,79.0,9606,690.0,329.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,9722,5761,2474,1371,92,24,80.0,9752,826.0,366.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/22 00:00:00,1398/12/23 00:00:00,1380.0,8438,5356,1786,1178,87,31,81.0,8837,835.0,252.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,6112,4579,926,517,79,11,83.0,6126,707.0,115.0,0.0
163263,رودهن - آمل (شاه زيد - سه راه سنگچال),1398/12/24 00:00:00,1398/12/25 00:00:00,1435.0,9645,6048,2432,1075,67,23,80.0,9675,861.0,311.0,0.0
