Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,16611,14835,562,704,121,389,61.0,16611.0,50.0,2700.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,15421,14109,412,507,108,285,62.0,15421.0,40.0,2510.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,15040,13491,497,593,118,341,62.0,15040.0,56.0,1931.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,16353,14655,560,662,128,348,62.0,16353.0,59.0,2451.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,16842,14970,589,710,131,442,62.0,16842.0,66.0,2669.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,14375,12559,596,717,146,357,62.0,14375.0,69.0,2307.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/07 00:00:00,1398/12/07 21:10:00,610.0,3773,3282,149,197,33,112,61.0,12769.0,12.0,784.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/08 03:15:00,1398/12/09 00:00:00,855.0,8240,7396,228,347,76,193,69.0,14377.0,37.0,2866.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,9475,8441,324,388,80,242,68.0,9475.0,48.0,2719.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,8993,7792,376,435,81,309,69.0,8993.0,49.0,1617.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/11 00:00:00,1398/12/11 09:40:00,580.0,2511,1979,177,175,36,144,66.0,10153.0,13.0,296.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/12 10:00:00,1398/12/13 00:00:00,840.0,8059,7217,268,299,77,198,60.0,11210.0,20.0,1440.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/13 00:00:00,1398/12/14 00:00:00,865.0,7661,6867,248,281,73,192,63.0,11621.0,22.0,1253.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/14 00:00:00,1398/12/15 00:00:00,1110.0,12653,11300,439,548,104,262,63.0,14518.0,99.0,2883.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,15742,13907,611,662,131,431,63.0,15742.0,111.0,3354.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,11571,10414,381,437,93,246,63.0,13160.0,76.0,2097.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,12395,10857,528,545,136,329,62.0,12395.0,63.0,1971.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,10001,8671,452,437,110,331,62.0,10001.0,42.0,1384.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,11592,10106,483,514,120,369,62.0,11592.0,32.0,1877.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,12164,10428,590,602,140,404,62.0,12164.0,46.0,1975.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,12716,11029,571,587,141,388,62.0,12716.0,49.0,2248.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,12381,10762,530,601,124,364,63.0,12381.0,64.0,2150.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,10345,9212,395,395,93,250,61.0,10345.0,59.0,1913.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,11331,9995,468,486,111,271,64.0,11331.0,61.0,1749.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,10146,8880,454,443,102,267,63.0,10854.0,43.0,1480.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,11576,10170,517,467,113,309,63.0,11576.0,41.0,1811.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,11432,10173,471,408,99,281,60.0,11432.0,41.0,1812.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/28 00:00:00,1398/12/28 21:10:00,1095.0,9323,8371,347,333,74,198,62.0,13025.0,24.0,1618.0,0.0
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),1398/12/29 03:10:00,1398/12/29 17:50:00,470.0,4738,4421,144,102,20,51,62.0,10678.0,23.0,795.0,0.0
