Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/01 00:00:00,1398/12/02 00:00:00,1380.0,11936,9574,1329,373,224,436,67.0,12326,235.0,684.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/02 00:00:00,1398/12/03 00:00:00,1260.0,13850,11775,1060,372,172,471,71.0,14935,290.0,1623.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,14134,11500,1370,339,256,669,70.0,14180,336.0,1156.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/04 00:00:00,1398/12/05 00:00:00,1380.0,12756,10109,1316,407,271,653,71.0,13529,512.0,895.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,13339,10437,1552,383,287,680,69.0,13380,267.0,1041.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,11855,9200,1375,401,288,591,64.0,12484,183.0,1188.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,9358,7071,1229,339,240,479,60.0,9385,33.0,386.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,10559,8139,1247,384,235,554,68.0,10582,164.0,566.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,12793,10106,1423,461,212,591,69.0,13633,238.0,1164.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,12510,9961,1326,321,250,652,68.0,12552,301.0,1394.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,11400,8743,1376,377,253,651,68.0,11437,290.0,1024.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/12 00:00:00,1398/12/13 00:00:00,1375.0,8589,6302,1138,308,246,595,66.0,9141,141.0,380.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/13 00:00:00,1398/12/14 00:00:00,1325.0,8698,6218,1240,336,253,651,64.0,9799,96.0,414.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,11000,8005,1601,419,280,695,68.0,11031,246.0,689.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,10853,8534,1195,348,184,592,67.0,10882,311.0,973.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,11051,9027,1091,298,182,453,69.0,11070,336.0,1177.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/17 00:00:00,1398/12/18 00:00:00,1350.0,8806,6786,1004,291,222,503,69.0,9626,308.0,810.0,0.0
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,9917,7844,1106,297,182,488,70.0,9936,374.0,1086.0,0.0
