Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163151,کياسر - ساري (شکتا),1398/12/01 00:00:00,1398/12/02 00:00:00,1375.0,6793,6217,153,386,29,8,65.0,4.0,834.0,0.0,6833.0
163151,کياسر - ساري (شکتا),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,9346,8978,108,237,18,5,70.0,22.0,1814.0,0.0,9469.0
163151,کياسر - ساري (شکتا),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,7082,6467,171,404,20,20,70.0,11.0,912.0,0.0,7082.0
163151,کياسر - ساري (شکتا),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,6677,6016,169,455,20,17,69.0,11.0,862.0,0.0,6677.0
163151,کياسر - ساري (شکتا),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,7335,6624,183,488,27,13,70.0,11.0,1082.0,0.0,7335.0
163151,کياسر - ساري (شکتا),1398/12/06 00:00:00,1398/12/07 00:00:00,1420.0,6306,5664,166,446,19,11,67.0,10.0,790.0,0.0,6432.0
163151,کياسر - ساري (شکتا),1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,4570,4126,130,293,12,9,64.0,4.0,423.0,0.0,4570.0
163151,کياسر - ساري (شکتا),1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,6307,5797,154,327,17,12,69.0,8.0,772.0,0.0,6307.0
163151,کياسر - ساري (شکتا),1398/12/09 00:00:00,1398/12/10 00:00:00,1335.0,10194,9723,169,267,23,12,70.0,24.0,2262.0,0.0,10610.0
163151,کياسر - ساري (شکتا),1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,6891,6289,179,384,27,12,69.0,13.0,878.0,0.0,6891.0
