Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163802,عباس آباد - تنکابن,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,21673,20089,431,758,61,334,69.0,21673.0,136.0,4234.0,0.0
163802,عباس آباد - تنکابن,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,16041,15042,231,452,53,263,73.0,16041.0,135.0,2205.0,0.0
163802,عباس آباد - تنکابن,1398/12/03 00:00:00,1398/12/04 00:00:00,1430.0,19981,18458,425,719,75,304,73.0,20192.0,158.0,3628.0,0.0
163802,عباس آباد - تنکابن,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,20230,18487,453,866,103,321,72.0,20230.0,164.0,3828.0,0.0
163802,عباس آباد - تنکابن,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,19587,17805,474,853,98,357,71.0,19587.0,176.0,3591.0,0.0
163802,عباس آباد - تنکابن,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,18189,16485,452,830,85,337,70.0,18189.0,129.0,3206.0,0.0
163802,عباس آباد - تنکابن,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,16442,15053,318,697,58,316,69.0,16442.0,76.0,2404.0,0.0
163802,عباس آباد - تنکابن,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,17413,16013,401,662,81,256,72.0,17413.0,172.0,2911.0,0.0
163802,عباس آباد - تنکابن,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,13018,11986,242,517,49,224,72.0,13018.0,128.0,1541.0,0.0
163802,عباس آباد - تنکابن,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,18075,16476,380,819,95,305,72.0,18075.0,161.0,3042.0,0.0
163802,عباس آباد - تنکابن,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,16742,15237,408,769,64,264,69.0,16742.0,101.0,2678.0,0.0
163802,عباس آباد - تنکابن,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,15653,14293,349,686,57,268,70.0,15653.0,93.0,2254.0,0.0
163802,عباس آباد - تنکابن,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,15551,14205,353,703,54,236,71.0,15551.0,111.0,2212.0,0.0
163802,عباس آباد - تنکابن,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,17344,15875,375,738,56,300,73.0,17344.0,201.0,2890.0,0.0
163802,عباس آباد - تنکابن,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,17391,15922,409,766,62,232,72.0,17391.0,157.0,2800.0,0.0
163802,عباس آباد - تنکابن,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,11672,10681,218,538,38,197,70.0,11672.0,105.0,1108.0,0.0
163802,عباس آباد - تنکابن,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,14504,13281,355,588,52,228,71.0,14504.0,152.0,1948.0,0.0
163802,عباس آباد - تنکابن,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,11859,10755,318,568,40,178,72.0,11859.0,146.0,1186.0,0.0
163802,عباس آباد - تنکابن,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,14405,13131,361,632,53,228,71.0,14405.0,132.0,1911.0,0.0
163802,عباس آباد - تنکابن,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,14132,12836,384,660,54,198,73.0,14132.0,145.0,1822.0,0.0
163802,عباس آباد - تنکابن,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,14459,13077,365,698,65,254,72.0,14459.0,145.0,1922.0,0.0
163802,عباس آباد - تنکابن,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,14084,12789,335,672,54,234,71.0,14084.0,116.0,1786.0,0.0
163802,عباس آباد - تنکابن,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,9936,9050,235,443,24,184,71.0,9936.0,141.0,853.0,0.0
163802,عباس آباد - تنکابن,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,14761,13529,320,639,53,220,73.0,14761.0,153.0,1949.0,0.0
163802,عباس آباد - تنکابن,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,14501,13288,361,595,44,213,73.0,14501.0,150.0,1920.0,0.0
163802,عباس آباد - تنکابن,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,14477,13406,308,533,55,175,72.0,14477.0,127.0,1827.0,0.0
163802,عباس آباد - تنکابن,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,14132,13170,268,494,37,163,70.0,14132.0,73.0,1692.0,0.0
163802,عباس آباد - تنکابن,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,14177,13417,250,339,39,132,72.0,14177.0,143.0,1784.0,0.0
163802,عباس آباد - تنکابن,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,12817,12400,113,197,25,82,74.0,12817.0,154.0,1443.0,0.0
163802,عباس آباد - تنکابن,1400/01/01 00:00:00,1400/01/02 00:00:00,1230.0,19023,18211,548,138,45,81,80.0,23171.0,404.0,2255.0,0.0
163802,عباس آباد - تنکابن,1400/01/02 00:00:00,1400/01/03 00:00:00,1375.0,26685,25497,815,217,55,101,77.0,27297.0,377.0,3718.0,0.0
163802,عباس آباد - تنکابن,1400/01/03 00:00:00,1400/01/04 00:00:00,1440.0,30234,28624,1079,326,77,128,78.0,30234.0,418.0,4945.0,0.0
163802,عباس آباد - تنکابن,1400/01/04 00:00:00,1400/01/05 00:00:00,1365.0,28048,25945,1500,386,85,132,78.0,29992.0,459.0,4782.0,0.0
