Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164652,عباس آباد - چالوس,1398/12/01 00:25:00,1398/12/02 00:00:00,1190.0,16572,15005,974,346,42,205,63.0,22375.0,303.0,1230.0,0.0
164652,عباس آباد - چالوس,1398/12/02 00:00:00,1398/12/03 00:00:00,1265.0,16791,15137,1158,269,47,180,66.0,20131.0,357.0,1360.0,0.0
164652,عباس آباد - چالوس,1398/12/03 00:00:00,1398/12/04 00:00:00,1265.0,18192,16082,1463,377,65,205,66.0,22232.0,373.0,1568.0,0.0
164652,عباس آباد - چالوس,1398/12/04 00:00:00,1398/12/05 00:00:00,1320.0,19191,16543,1872,442,65,269,65.0,21897.0,367.0,1835.0,0.0
164652,عباس آباد - چالوس,1398/12/05 00:00:00,1398/12/06 00:00:00,1325.0,18975,16032,2021,548,84,290,65.0,21137.0,353.0,1759.0,0.0
164652,عباس آباد - چالوس,1398/12/06 00:00:00,1398/12/07 00:00:00,1270.0,16320,13535,1963,484,94,244,64.0,19866.0,333.0,1377.0,0.0
164652,عباس آباد - چالوس,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,17570,15321,1493,390,90,276,62.0,17603.0,278.0,1139.0,0.0
164652,عباس آباد - چالوس,1398/12/08 00:00:00,1398/12/09 00:00:00,1270.0,15846,13496,1657,419,79,195,66.0,18560.0,328.0,1201.0,0.0
164652,عباس آباد - چالوس,1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,14445,11996,1795,363,65,226,68.0,15286.0,424.0,878.0,0.0
164652,عباس آباد - چالوس,1398/12/10 00:00:00,1398/12/11 00:00:00,1375.0,18648,16349,1543,449,68,239,68.0,19972.0,576.0,1706.0,0.0
164652,عباس آباد - چالوس,1398/12/11 00:00:00,1398/12/12 00:00:00,1155.0,12986,11469,943,358,57,159,70.0,17767.0,514.0,1169.0,0.0
164652,عباس آباد - چالوس,1398/12/12 00:00:00,1398/12/13 00:00:00,1375.0,15598,14000,907,424,74,193,69.0,16668.0,540.0,1215.0,0.0
164652,عباس آباد - چالوس,1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,15809,14327,843,370,49,220,69.0,16888.0,572.0,1254.0,0.0
164652,عباس آباد - چالوس,1398/12/14 00:00:00,1398/12/15 00:00:00,1275.0,15868,14264,979,384,42,199,70.0,18949.0,642.0,1506.0,0.0
164652,عباس آباد - چالوس,1398/12/15 00:00:00,1398/12/16 00:00:00,1310.0,15446,12782,1917,455,77,215,75.0,18107.0,887.0,1483.0,0.0
164652,عباس آباد - چالوس,1398/12/16 00:00:00,1398/12/17 00:00:00,1380.0,13026,10157,2193,409,50,217,78.0,13798.0,1014.0,914.0,0.0
164652,عباس آباد - چالوس,1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,16248,13697,1816,477,55,203,78.0,16276.0,1205.0,1406.0,0.0
164652,عباس آباد - چالوس,1398/12/18 00:00:00,1398/12/19 00:00:00,1325.0,11573,10338,688,336,34,177,80.0,13181.0,1095.0,644.0,0.0
164652,عباس آباد - چالوس,1398/12/19 00:00:00,1398/12/20 00:00:00,1315.0,13730,12242,820,422,44,202,78.0,15735.0,1115.0,1024.0,0.0
164652,عباس آباد - چالوس,1398/12/20 00:00:00,1398/12/21 00:00:00,1270.0,13012,11517,776,447,53,219,77.0,15226.0,966.0,939.0,0.0
164652,عباس آباد - چالوس,1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,15097,13321,963,525,60,228,79.0,15129.0,1251.0,1077.0,0.0
164652,عباس آباد - چالوس,1398/12/22 00:00:00,1398/12/23 00:00:00,1325.0,12292,10920,699,409,43,221,78.0,13756.0,912.0,752.0,0.0
164652,عباس آباد - چالوس,1398/12/23 00:00:00,1398/12/24 00:00:00,1370.0,9903,8828,588,270,38,179,78.0,10798.0,870.0,428.0,0.0
164652,عباس آباد - چالوس,1398/12/24 00:00:00,1398/12/25 00:00:00,1380.0,13834,12520,691,372,37,214,78.0,14798.0,1163.0,925.0,0.0
164652,عباس آباد - چالوس,1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,14573,13541,470,329,54,179,74.0,14679.0,1090.0,816.0,0.0
164652,عباس آباد - چالوس,1398/12/26 00:00:00,1398/12/27 00:00:00,1445.0,14520,13542,426,314,49,189,75.0,14494.0,859.0,836.0,0.0
164652,عباس آباد - چالوس,1398/12/27 00:00:00,1398/12/28 00:00:00,1445.0,14171,13288,446,263,48,126,75.0,14149.0,870.0,772.0,0.0
164652,عباس آباد - چالوس,1398/12/28 00:00:00,1398/12/29 00:00:00,1400.0,13021,12345,303,212,24,137,76.0,13778.0,771.0,661.0,0.0
164652,عباس آباد - چالوس,1398/12/29 00:00:00,1399/01/01 00:00:00,1400.0,12305,11900,172,118,25,90,77.0,12524.0,991.0,542.0,0.0
164652,عباس آباد - چالوس,1400/01/01 00:00:00,1400/01/02 00:00:00,1265.0,19103,18679,231,103,70,20,63.0,21872.0,666.0,2042.0,0.0
164652,عباس آباد - چالوس,1400/01/02 00:00:00,1400/01/03 00:00:00,1220.0,20672,20177,258,142,78,17,63.0,25701.0,659.0,2354.0,0.0
164652,عباس آباد - چالوس,1400/01/03 00:00:00,1400/01/04 00:00:00,1330.0,27450,26655,396,263,100,36,61.0,30427.0,522.0,4036.0,0.0
164652,عباس آباد - چالوس,1400/01/04 00:00:00,1400/01/05 00:00:00,1290.0,29366,28537,394,277,104,54,61.0,33884.0,575.0,4557.0,0.0
164652,عباس آباد - چالوس,1400/01/05 00:00:00,1400/01/06 00:00:00,1440.0,34986,34006,471,308,127,74,60.0,34986.0,518.0,5181.0,0.0
164652,عباس آباد - چالوس,1400/01/06 00:00:00,1400/01/07 00:00:00,1185.0,26982,26180,386,243,110,63,62.0,35494.0,485.0,3885.0,0.0
164652,عباس آباد - چالوس,1400/01/07 00:00:00,1400/01/08 00:00:00,975.0,21503,20763,349,250,83,58,60.0,33879.0,485.0,3227.0,0.0
164652,عباس آباد - چالوس,1400/01/08 00:00:00,1400/01/09 00:00:00,1290.0,28199,27228,447,326,113,85,60.0,31507.0,332.0,4269.0,0.0
