Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
164621,عباس آباد - کلاردشت,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,1162,1138,22,1,0,1,49,0,22,0,1162.0
164621,عباس آباد - کلاردشت,1400/12/02 00:00:00,1400/12/03 00:00:00,1395,1417,1388,19,6,0,4,50,0,40,0,1452.0
164621,عباس آباد - کلاردشت,1400/12/03 00:00:00,1400/12/04 00:00:00,1440,1265,1237,24,2,0,2,50,0,26,0,1265.0
164621,عباس آباد - کلاردشت,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,1578,1547,27,3,0,1,51,0,38,0,1578.0
164621,عباس آباد - کلاردشت,1400/12/05 00:00:00,1400/12/06 00:00:00,1440,2401,2349,47,5,0,0,50,0,130,0,2401.0
164621,عباس آباد - کلاردشت,1400/12/06 00:00:00,1400/12/07 00:00:00,1440,3137,3107,27,0,0,3,48,0,212,0,3137.0
164621,عباس آباد - کلاردشت,1400/12/07 00:00:00,1400/12/08 00:00:00,1425,1717,1685,30,0,0,2,51,0,53,0,1727.0
164621,عباس آباد - کلاردشت,1400/12/08 00:00:00,1400/12/09 00:00:00,1255,1209,1167,36,2,0,4,51,0,31,0,1525.0
164621,عباس آباد - کلاردشت,1400/12/09 00:00:00,1400/12/10 00:00:00,1360,1540,1434,82,9,8,7,51,5,61,0,1618.0
164621,عباس آباد - کلاردشت,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,2020,1979,39,1,0,1,49,0,82,0,2020.0
164621,عباس آباد - کلاردشت,1400/12/11 00:00:00,1400/12/12 00:00:00,1395,2052,2017,33,2,0,0,49,0,62,0,2089.0
164621,عباس آباد - کلاردشت,1400/12/12 00:00:00,1400/12/13 00:00:00,1405,2723,2587,118,15,0,3,48,1,144,0,2874.0
164621,عباس آباد - کلاردشت,1400/12/13 00:00:00,1400/12/14 00:00:00,1435,3252,3232,19,1,0,0,45,0,155,0,3264.0
164621,عباس آباد - کلاردشت,1400/12/14 00:00:00,1400/12/15 00:00:00,1440,1551,1506,38,4,0,3,49,0,43,0,1551.0
164621,عباس آباد - کلاردشت,1400/12/15 00:00:00,1400/12/16 00:00:00,1390,1500,1457,36,3,0,4,50,0,53,0,1535.0
164621,عباس آباد - کلاردشت,1400/12/16 00:00:00,1400/12/17 00:00:00,1405,1560,1536,19,3,0,2,48,0,37,0,1579.0
164621,عباس آباد - کلاردشت,1400/12/17 00:00:00,1400/12/18 00:00:00,1440,1667,1592,69,4,0,2,50,0,47,0,1667.0
164621,عباس آباد - کلاردشت,1400/12/18 00:00:00,1400/12/18 08:50:00,530,160,153,4,0,0,3,47,0,2,0,1550.0
164621,عباس آباد - کلاردشت,1400/12/19 00:40:00,1400/12/20 00:00:00,1400,1579,1547,30,2,0,0,46,0,44,0,1591.0
164621,عباس آباد - کلاردشت,1400/12/20 00:00:00,1400/12/21 00:00:00,1440,2265,2237,14,9,0,5,44,0,82,0,2265.0
