Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163206,فريدونکنار - بابل,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,5396,5051,146,160,21,18,61.0,5396.0,14.0,441.0,0.0
163206,فريدونکنار - بابل,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,4990,4751,108,108,15,8,62.0,4990.0,5.0,396.0,0.0
163206,فريدونکنار - بابل,1398/12/03 00:00:00,1398/12/04 00:00:00,1430.0,5047,4575,156,287,16,13,62.0,5112.0,8.0,476.0,0.0
163206,فريدونکنار - بابل,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,4821,4449,114,239,9,10,64.0,4821.0,5.0,354.0,0.0
163206,فريدونکنار - بابل,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,5004,4605,142,233,9,15,63.0,5004.0,3.0,392.0,0.0
163206,فريدونکنار - بابل,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,5094,4613,147,262,26,46,64.0,5094.0,20.0,452.0,0.0
163206,فريدونکنار - بابل,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,4620,4246,116,169,37,52,63.0,4620.0,17.0,448.0,0.0
163206,فريدونکنار - بابل,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,4965,4655,134,140,15,21,64.0,4965.0,5.0,419.0,0.0
163206,فريدونکنار - بابل,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,4371,4111,87,118,11,44,65.0,4371.0,14.0,300.0,0.0
163206,فريدونکنار - بابل,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,4934,4421,169,301,23,20,64.0,4934.0,9.0,364.0,0.0
163206,فريدونکنار - بابل,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,4688,4157,174,313,21,23,62.0,4688.0,5.0,354.0,0.0
163206,فريدونکنار - بابل,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,4251,3724,164,274,33,56,62.0,4251.0,28.0,252.0,0.0
163206,فريدونکنار - بابل,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,4554,3974,175,249,48,108,63.0,4576.0,19.0,400.0,0.0
163206,فريدونکنار - بابل,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,4608,4241,126,212,14,15,64.0,4608.0,8.0,321.0,0.0
163206,فريدونکنار - بابل,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,4679,4326,135,194,15,9,64.0,4679.0,8.0,381.0,0.0
163206,فريدونکنار - بابل,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,3976,3705,104,133,19,15,63.0,3976.0,7.0,224.0,0.0
163206,فريدونکنار - بابل,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,4570,4134,160,217,17,42,64.0,4570.0,11.0,328.0,0.0
163206,فريدونکنار - بابل,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,3897,3529,140,202,12,14,65.0,3897.0,8.0,185.0,0.0
163206,فريدونکنار - بابل,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,4110,3713,144,223,20,10,65.0,4110.0,12.0,262.0,0.0
163206,فريدونکنار - بابل,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,4413,3869,177,231,50,86,66.0,4413.0,46.0,376.0,0.0
