Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163452,فريدونکنار - بابلسر,1398/12/01 00:00:00,1398/12/02 00:00:00,1325.0,22339,22255,52,31,0,1,41.0,24853.0,1.0,676.0,0.0
163452,فريدونکنار - بابلسر,1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,23371,23294,50,25,2,0,39.0,23387.0,3.0,631.0,0.0
163452,فريدونکنار - بابلسر,1398/12/03 00:00:00,1398/12/04 00:00:00,1380.0,22439,22366,26,44,3,0,41.0,23293.0,3.0,610.0,0.0
163452,فريدونکنار - بابلسر,1398/12/04 00:00:00,1398/12/05 00:00:00,1380.0,20839,20739,55,44,1,0,41.0,21434.0,1.0,593.0,0.0
163452,فريدونکنار - بابلسر,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,21571,21467,62,35,5,2,42.0,21604.0,6.0,594.0,0.0
163452,فريدونکنار - بابلسر,1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,18837,18773,32,29,2,1,41.0,19881.0,2.0,395.0,0.0
163452,فريدونکنار - بابلسر,1398/12/07 00:00:00,1398/12/08 00:00:00,1325.0,17466,17367,45,44,4,6,42.0,18563.0,3.0,379.0,0.0
163452,فريدونکنار - بابلسر,1398/12/08 00:00:00,1398/12/09 00:00:00,1380.0,20935,20836,55,42,0,2,40.0,21622.0,3.0,531.0,0.0
163452,فريدونکنار - بابلسر,1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,19370,19285,51,34,0,0,39.0,19382.0,0.0,467.0,0.0
163452,فريدونکنار - بابلسر,1398/12/10 00:00:00,1398/12/11 00:00:00,1380.0,19471,18923,364,151,20,13,56.0,20518.0,176.0,1333.0,0.0
163452,فريدونکنار - بابلسر,1398/12/11 00:00:00,1398/12/11 23:10:00,1385.0,18763,17665,762,288,23,25,68.0,19213.0,321.0,1713.0,0.0
163452,فريدونکنار - بابلسر,1398/12/12 00:05:00,1398/12/13 00:00:00,1375.0,15970,14916,753,243,21,37,69.0,16492.0,270.0,1071.0,0.0
163452,فريدونکنار - بابلسر,1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,16054,14966,787,250,15,36,69.0,17188.0,320.0,1269.0,0.0
163452,فريدونکنار - بابلسر,1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,19824,18813,699,260,21,31,67.0,19848.0,287.0,1767.0,0.0
