Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163404,فريدون کنار - دابودشت,1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,7424,7284,114,16,4,6,75.0,7438.0,679.0,128.0,0.0
163404,فريدون کنار - دابودشت,1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,7216,7103,98,9,4,2,77.0,7226.0,740.0,127.0,0.0
163404,فريدون کنار - دابودشت,1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,7022,6805,185,15,11,6,77.0,7038.0,761.0,132.0,0.0
163404,فريدون کنار - دابودشت,1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,6617,6344,244,21,3,5,78.0,6634.0,796.0,115.0,0.0
163404,فريدون کنار - دابودشت,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,6514,6230,250,26,5,3,77.0,6530.0,735.0,120.0,0.0
163404,فريدون کنار - دابودشت,1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,5943,5698,209,25,7,4,75.0,6239.0,588.0,100.0,0.0
163404,فريدون کنار - دابودشت,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,5506,5321,166,8,5,6,74.0,5519.0,445.0,85.0,0.0
163404,فريدون کنار - دابودشت,1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,6553,6332,195,10,7,9,78.0,6568.0,688.0,126.0,0.0
163404,فريدون کنار - دابودشت,1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,6249,6073,158,8,6,4,77.0,6255.0,706.0,124.0,0.0
163404,فريدون کنار - دابودشت,1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,6674,6336,302,28,4,4,77.0,6692.0,693.0,116.0,0.0
163404,فريدون کنار - دابودشت,1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,6351,5922,384,37,3,5,75.0,6365.0,603.0,126.0,0.0
163404,فريدون کنار - دابودشت,1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,5602,5224,343,29,3,3,73.0,5614.0,455.0,99.0,0.0
163404,فريدون کنار - دابودشت,1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,5646,5206,397,34,4,5,74.0,5659.0,473.0,118.0,0.0
163404,فريدون کنار - دابودشت,1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,6230,5834,359,26,2,9,77.0,6244.0,679.0,138.0,0.0
163404,فريدون کنار - دابودشت,1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,6379,6006,332,30,5,6,77.0,6390.0,670.0,134.0,0.0
163404,فريدون کنار - دابودشت,1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,5484,5207,250,20,1,6,75.0,5491.0,545.0,109.0,0.0
163404,فريدون کنار - دابودشت,1398/12/17 00:00:00,1398/12/18 00:00:00,1320.0,5415,5051,334,23,6,1,74.0,5719.0,541.0,115.0,0.0
163404,فريدون کنار - دابودشت,1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,5120,4647,424,39,4,6,76.0,5129.0,530.0,104.0,0.0
163404,فريدون کنار - دابودشت,1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,5482,5024,416,35,3,4,77.0,5514.0,612.0,112.0,0.0
163404,فريدون کنار - دابودشت,1398/12/20 00:00:00,1398/12/21 00:00:00,1430.0,5460,4957,455,41,3,4,76.0,5498.0,581.0,101.0,0.0
163404,فريدون کنار - دابودشت,1398/12/21 00:00:00,1398/12/22 00:00:00,1315.0,4999,4531,422,37,4,5,75.0,5378.0,492.0,107.0,0.0
163404,فريدون کنار - دابودشت,1398/12/22 00:00:00,1398/12/23 00:00:00,1435.0,5471,5057,378,27,3,6,74.0,5481.0,478.0,95.0,0.0
163404,فريدون کنار - دابودشت,1398/12/23 00:05:00,1398/12/24 00:00:00,1430.0,4243,3949,270,20,1,3,73.0,4252.0,405.0,67.0,0.0
163404,فريدون کنار - دابودشت,1398/12/24 00:00:00,1398/12/25 00:00:00,1435.0,6380,5910,431,27,8,4,78.0,6394.0,928.0,112.0,0.0
163404,فريدون کنار - دابودشت,1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,7559,7251,281,21,3,3,77.0,7615.0,1225.0,91.0,0.0
163404,فريدون کنار - دابودشت,1398/12/26 00:00:00,1398/12/27 00:00:00,1390.0,7793,7456,306,24,2,5,75.0,7903.0,1169.0,100.0,0.0
163404,فريدون کنار - دابودشت,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,7745,7441,285,11,3,5,77.0,7745.0,1187.0,93.0,0.0
163404,فريدون کنار - دابودشت,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,7795,7540,232,17,4,2,78.0,7795.0,1410.0,82.0,0.0
163404,فريدون کنار - دابودشت,1398/12/29 00:00:00,1399/01/01 00:00:00,1390.0,7442,7204,221,11,2,4,77.0,7626.0,1178.0,94.0,0.0
163404,فريدون کنار - دابودشت,1400/01/01 00:00:00,1400/01/02 00:00:00,1330.0,6518,6010,471,28,6,3,72.0,7446.0,224.0,249.0,0.0
163404,فريدون کنار - دابودشت,1400/01/02 00:00:00,1400/01/03 00:00:00,1375.0,7152,6648,475,23,4,2,72.0,7294.0,212.0,241.0,0.0
163404,فريدون کنار - دابودشت,1400/01/03 00:00:00,1400/01/04 00:00:00,1380.0,7618,7067,520,25,5,1,72.0,8143.0,260.0,287.0,0.0
163404,فريدون کنار - دابودشت,1400/01/04 00:00:00,1400/01/05 00:00:00,1435.0,8243,7616,593,29,5,0,73.0,8250.0,245.0,287.0,0.0
163404,فريدون کنار - دابودشت,1400/01/05 00:00:00,1400/01/06 00:00:00,1380.0,8299,7634,625,31,7,2,72.0,8958.0,265.0,324.0,0.0
163404,فريدون کنار - دابودشت,1400/01/06 00:00:00,1400/01/07 00:00:00,1435.0,8873,8171,655,38,6,3,72.0,8883.0,261.0,388.0,0.0
163404,فريدون کنار - دابودشت,1400/01/07 00:00:00,1400/01/08 00:00:00,1435.0,8924,8242,634,39,8,1,71.0,8936.0,278.0,282.0,0.0
163404,فريدون کنار - دابودشت,1400/01/08 00:00:00,1400/01/09 00:00:00,1375.0,7805,7232,541,23,7,2,71.0,8505.0,198.0,296.0,0.0
163404,فريدون کنار - دابودشت,1400/01/09 00:00:00,1400/01/10 00:00:00,1435.0,8901,8208,629,52,9,3,72.0,8911.0,262.0,339.0,0.0
163404,فريدون کنار - دابودشت,1400/01/10 00:00:00,1400/01/11 00:00:00,1380.0,8421,7730,649,33,5,4,72.0,9061.0,267.0,314.0,0.0
163404,فريدون کنار - دابودشت,1400/01/11 00:00:00,1400/01/11 23:55:00,1430.0,8981,8289,646,37,8,1,70.0,9019.0,234.0,349.0,0.0
163404,فريدون کنار - دابودشت,1400/01/12 00:00:00,1400/01/13 00:00:00,1435.0,8583,7964,583,31,3,2,72.0,8596.0,236.0,327.0,0.0
163404,فريدون کنار - دابودشت,1400/01/13 00:00:00,1400/01/14 00:00:00,1435.0,7484,6955,495,29,5,0,73.0,7493.0,275.0,237.0,0.0
163404,فريدون کنار - دابودشت,1400/01/14 00:00:00,1400/01/15 00:00:00,1435.0,8237,7562,623,40,8,4,71.0,8255.0,234.0,272.0,0.0
163404,فريدون کنار - دابودشت,1400/01/15 00:00:00,1400/01/16 00:00:00,1435.0,7684,6970,660,35,15,4,72.0,7696.0,232.0,241.0,0.0
163404,فريدون کنار - دابودشت,1400/01/16 00:00:00,1400/01/17 00:00:00,1435.0,7606,6821,724,42,13,6,73.0,7619.0,260.0,244.0,0.0
163404,فريدون کنار - دابودشت,1400/01/17 00:00:00,1400/01/18 00:00:00,1435.0,7479,6734,682,47,10,6,72.0,7494.0,236.0,199.0,0.0
163404,فريدون کنار - دابودشت,1400/01/18 00:00:00,1400/01/19 00:00:00,1375.0,6999,6311,608,58,12,10,71.0,7459.0,210.0,201.0,0.0
163404,فريدون کنار - دابودشت,1400/01/19 00:00:00,1400/01/20 00:00:00,1430.0,7662,6927,669,46,14,6,72.0,7713.0,248.0,230.0,0.0
163404,فريدون کنار - دابودشت,1400/01/20 00:00:00,1400/01/21 00:00:00,1435.0,7260,6704,512,33,8,3,72.0,7266.0,231.0,202.0,0.0
163404,فريدون کنار - دابودشت,1400/01/21 00:00:00,1400/01/22 00:00:00,1385.0,6898,6202,634,44,14,4,71.0,7220.0,211.0,202.0,0.0
163404,فريدون کنار - دابودشت,1400/01/22 00:00:00,1400/01/23 00:00:00,1435.0,6914,6222,631,41,16,4,72.0,6927.0,211.0,199.0,0.0
163404,فريدون کنار - دابودشت,1400/01/23 00:00:00,1400/01/23 23:45:00,1420.0,6945,6228,633,67,12,5,72.0,7010.0,235.0,190.0,0.0
163404,فريدون کنار - دابودشت,1400/01/24 00:40:00,1400/01/25 00:00:00,1395.0,6672,5969,638,45,13,7,71.0,6772.0,208.0,206.0,0.0
163404,فريدون کنار - دابودشت,1400/01/25 00:00:00,1400/01/26 00:00:00,1435.0,6539,5873,600,50,10,6,72.0,6552.0,219.0,181.0,0.0
163404,فريدون کنار - دابودشت,1400/01/26 00:00:00,1400/01/27 00:00:00,1435.0,6704,6023,615,50,10,6,72.0,6717.0,236.0,198.0,0.0
163404,فريدون کنار - دابودشت,1400/01/27 00:00:00,1400/01/28 00:00:00,1435.0,6334,5790,487,43,10,4,71.0,6345.0,188.0,169.0,0.0
163404,فريدون کنار - دابودشت,1400/01/28 00:00:00,1400/01/29 00:00:00,1435.0,7021,6239,710,54,14,4,72.0,7040.0,231.0,203.0,0.0
163404,فريدون کنار - دابودشت,1400/01/29 00:00:00,1400/01/30 00:00:00,1435.0,6701,6017,627,45,10,2,71.0,6723.0,211.0,171.0,0.0
163404,فريدون کنار - دابودشت,1400/01/30 00:00:00,1400/01/31 00:00:00,1425.0,6689,6002,640,37,4,6,71.0,6758.0,211.0,189.0,0.0
163404,فريدون کنار - دابودشت,1400/01/31 00:00:00,1400/02/01 00:00:00,1430.0,6925,6239,615,50,9,12,72.0,6983.0,204.0,196.0,0.0
163404,فريدون کنار - دابودشت,1400/12/01 00:00:00,1400/12/01 21:15:00,1275.0,5340,5002,224,74,6,34,80.0,5715.0,535.0,296.0,8.0
