Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163401,فريدونکنار - محمودآباد,1398/12/01 00:00:00,1398/12/02 00:00:00,1380.0,14230,13841,269,86,12,22,83.0,14956.0,520.0,611.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,13677,13338,265,43,10,21,84.0,13692.0,623.0,629.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/03 00:00:00,1398/12/04 00:00:00,1380.0,12770,12293,352,81,8,36,85.0,13553.0,680.0,565.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/04 00:00:00,1398/12/05 00:00:00,1305.0,11803,11360,306,100,6,31,85.0,13186.0,568.0,534.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,13095,12587,371,91,10,36,85.0,13124.0,691.0,566.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,11946,11458,338,100,11,39,84.0,12566.0,538.0,501.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,11337,10979,257,71,4,26,83.0,11354.0,445.0,358.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/08 00:00:00,1398/12/09 00:00:00,1325.0,11633,11255,287,58,5,28,85.0,13136.0,611.0,518.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,10487,10185,218,62,6,16,84.0,11043.0,506.0,373.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/10 00:00:00,1398/12/11 00:00:00,1380.0,11649,11218,314,83,5,29,85.0,12303.0,590.0,477.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/11 00:00:00,1398/12/12 00:00:00,1315.0,10243,9834,284,94,9,22,84.0,11754.0,467.0,326.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/12 00:00:00,1398/12/13 00:00:00,1375.0,9434,9175,184,57,4,14,81.0,9973.0,244.0,254.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,10133,9823,222,66,1,21,82.0,10756.0,362.0,299.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,12075,11576,366,110,1,22,85.0,12097.0,670.0,425.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,12647,12209,308,92,11,27,83.0,12669.0,509.0,569.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,10025,9729,199,75,2,20,80.0,10039.0,230.0,310.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,10422,10031,253,95,7,36,79.0,10443.0,226.0,362.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/18 00:00:00,1398/12/19 00:00:00,1380.0,7984,7701,190,66,4,23,80.0,8630.0,191.0,208.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/19 00:00:00,1398/12/20 00:00:00,1375.0,9067,8721,242,81,2,21,81.0,9836.0,216.0,310.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/20 00:00:00,1398/12/21 00:00:00,1370.0,9189,8859,205,95,4,26,81.0,9779.0,186.0,319.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/21 00:00:00,1398/12/22 00:00:00,1380.0,8735,8472,177,65,3,18,80.0,9285.0,156.0,287.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/22 00:00:00,1398/12/23 00:00:00,1435.0,9546,9224,212,88,1,21,80.0,9569.0,206.0,288.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,7286,7054,158,56,2,16,79.0,7300.0,142.0,168.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/24 00:00:00,1398/12/25 00:00:00,1435.0,12053,11699,235,89,4,26,80.0,12073.0,631.0,300.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,15950,15627,211,87,3,22,81.0,16052.0,1520.0,300.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/26 00:00:00,1398/12/27 00:00:00,1395.0,15472,15188,198,64,5,17,80.0,16129.0,1191.0,320.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/27 00:00:00,1398/12/28 00:00:00,1445.0,15890,15594,191,73,6,26,80.0,15865.0,1445.0,275.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/28 00:00:00,1398/12/29 00:00:00,1350.0,14281,14060,160,45,4,12,83.0,15589.0,1745.0,229.0,0.0
163401,فريدونکنار - محمودآباد,1398/12/29 00:00:00,1399/01/01 00:00:00,1445.0,14884,14739,120,20,0,5,80.0,14864.0,1274.0,244.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/01 00:00:00,1400/01/02 00:00:00,1260.0,13823,13553,229,27,11,3,77.0,17176.0,3778.0,1047.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/02 00:00:00,1400/01/03 00:00:00,1330.0,18736,18298,382,42,6,8,77.0,20281.0,5563.0,1830.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/03 00:00:00,1400/01/04 00:00:00,1390.0,22179,21652,451,57,10,9,77.0,23409.0,6553.0,2644.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/04 00:00:00,1400/01/05 00:00:00,1335.0,22852,21739,931,165,10,7,77.0,25132.0,7157.0,2845.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/05 00:00:00,1400/01/06 00:00:00,1180.0,18121,17888,187,33,6,7,69.0,24510.0,2984.0,1397.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/06 00:00:00,1400/01/07 00:00:00,1325.0,20594,20474,78,35,5,2,69.0,23187.0,3389.0,1546.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/07 00:00:00,1400/01/08 00:00:00,1335.0,20756,20587,116,37,8,8,69.0,22289.0,3559.0,1417.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/08 00:00:00,1400/01/09 00:00:00,1225.0,16990,16851,98,26,6,9,69.0,21008.0,3007.0,1143.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/09 00:00:00,1400/01/10 00:00:00,1385.0,21382,21196,122,38,9,17,70.0,22751.0,4311.0,1566.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/10 00:00:00,1400/01/11 00:00:00,1380.0,21517,21334,122,46,5,10,69.0,23161.0,3913.0,1568.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/11 00:00:00,1400/01/11 23:55:00,1380.0,20720,20521,135,50,8,6,69.0,21259.0,3604.0,1314.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/12 00:00:00,1400/01/13 00:00:00,1440.0,19199,19033,101,46,8,11,70.0,19199.0,3759.0,1176.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/13 00:00:00,1400/01/14 00:00:00,1430.0,14285,14183,83,13,0,6,69.0,14414.0,2451.0,675.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/14 00:00:00,1400/01/15 00:00:00,1400.0,14253,13923,275,26,10,19,71.0,14649.0,2491.0,581.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/15 00:00:00,1400/01/16 00:00:00,1415.0,14505,14149,300,27,21,8,72.0,14741.0,2939.0,538.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/16 00:00:00,1400/01/17 00:00:00,1415.0,14353,14043,252,29,12,17,71.0,14674.0,2587.0,557.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/17 00:00:00,1400/01/18 00:00:00,1405.0,14154,13891,208,26,17,12,70.0,14514.0,2169.0,561.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/18 00:00:00,1400/01/19 00:00:00,1430.0,14265,13976,227,34,11,17,71.0,14418.0,2627.0,596.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/19 00:00:00,1400/01/20 00:00:00,1425.0,14540,14212,285,21,10,12,72.0,14767.0,2849.0,543.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/20 00:00:00,1400/01/21 00:00:00,1420.0,12789,12606,140,21,11,11,71.0,13030.0,2258.0,462.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/21 00:00:00,1400/01/22 00:00:00,1410.0,12544,12273,218,27,12,14,70.0,12924.0,1985.0,482.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/22 00:00:00,1400/01/23 00:00:00,1430.0,12425,12204,167,25,13,16,68.0,12555.0,1540.0,370.0,0.0
163401,فريدونکنار - محمودآباد,1400/01/23 00:00:00,1400/01/24 00:00:00,1425.0,12652,12383,218,21,5,25,72.0,12831.0,2431.0,509.0,0.0
