Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/14 10:25:00,1401/12/15 00:00:00,815,4938,4106,433,156,81,162,72,103,691,0,4918
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/15 10:40:00,1401/12/16 00:00:00,800,4918,4090,431,155,81,161,72,100,689,0,6948
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/16 00:00:00,1401/12/17 00:00:00,1440,8052,6731,679,229,128,285,69,97,1111,0,8052
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/17 00:00:00,1401/12/18 00:00:00,1440,6657,5381,589,260,110,317,69,112,764,0,6657
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/18 00:00:00,1401/12/19 00:00:00,1440,7443,6210,585,218,135,295,71,144,1003,0,7443
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/19 00:00:00,1401/12/20 00:00:00,1440,5279,4374,409,164,91,241,71,113,430,0,5279
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/20 00:00:00,1401/12/21 00:00:00,1440,7738,6394,707,226,109,302,71,155,1111,0,7738
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/21 00:00:00,1401/12/22 00:00:00,1440,7627,6146,752,266,131,332,70,116,1052,0,7627
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/22 00:00:00,1401/12/23 00:00:00,1440,7615,6204,723,256,138,294,69,100,1064,0,7615
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/23 00:00:00,1401/12/24 00:00:00,1440,7840,6333,809,260,154,284,69,103,1064,0,7840
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/24 00:00:00,1401/12/25 00:00:00,1440,8113,6555,797,293,151,317,70,119,1193,0,8113
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/25 00:00:00,1401/12/26 00:00:00,1440,8360,6897,779,241,147,296,69,93,1109,0,8360
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/26 00:00:00,1401/12/27 00:00:00,1440,6264,5256,507,178,101,222,71,117,729,0,6264
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/27 00:00:00,1401/12/28 00:00:00,1440,8837,7626,686,198,127,200,72,146,1357,0,8837
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/28 00:00:00,1401/12/29 00:00:00,1440,8495,7454,597,142,102,200,73,168,1278,0,8495
163320,کمربندي جنوبي بابل (بابل - آمل),1401/12/29 00:00:00,1402/01/01 00:00:00,1440,7195,6731,237,71,60,96,76,187,959,0,7195
163320,کمربندي جنوبي بابل (بابل - آمل),1402/01/01 00:00:00,1402/01/02 00:00:00,1440,5082,4974,39,18,17,34,76,119,511,0,5082
163320,کمربندي جنوبي بابل (بابل - آمل),1402/01/02 00:00:00,1402/01/03 00:00:00,1370,5608,5453,63,16,28,48,72,20,607,0,6416
163320,کمربندي جنوبي بابل (بابل - آمل),1402/01/03 00:00:00,1402/01/04 00:00:00,1440,8471,8206,90,27,42,106,77,184,1564,0,8471
163320,کمربندي جنوبي بابل (بابل - آمل),1402/01/04 00:00:00,1402/01/05 00:00:00,1440,9630,9316,143,36,37,98,77,299,1781,0,9630
