Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164351,قائمشهر - جويبار,1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,7170,6996,130,15,13,16,68.0,7180.0,39.0,82.0,97.0
164351,قائمشهر - جويبار,1398/12/02 00:00:00,1398/12/03 00:00:00,1320.0,6527,6442,63,12,1,9,70.0,7712.0,26.0,69.0,62.0
164351,قائمشهر - جويبار,1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,6624,6423,151,20,15,15,70.0,6635.0,35.0,59.0,108.0
164351,قائمشهر - جويبار,1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,6442,6273,127,16,13,13,69.0,6453.0,43.0,49.0,100.0
164351,قائمشهر - جويبار,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,6742,6610,102,11,13,6,69.0,6753.0,42.0,51.0,96.0
164351,قائمشهر - جويبار,1398/12/06 00:00:00,1398/12/07 00:00:00,1330.0,5626,5500,95,18,6,7,69.0,6213.0,45.0,39.0,95.0
164351,قائمشهر - جويبار,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,5532,5410,92,6,9,15,70.0,5540.0,34.0,27.0,97.0
164351,قائمشهر - جويبار,1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,6502,6344,104,25,11,18,70.0,6512.0,47.0,47.0,107.0
164351,قائمشهر - جويبار,1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,5235,5143,67,8,5,12,71.0,5602.0,42.0,31.0,82.0
164351,قائمشهر - جويبار,1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,6522,6364,104,12,16,26,68.0,6532.0,40.0,38.0,99.0
164351,قائمشهر - جويبار,1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,6107,5979,103,5,4,16,65.0,6116.0,17.0,27.0,87.0
164351,قائمشهر - جويبار,1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,5119,5031,60,10,4,14,64.0,5126.0,18.0,29.0,98.0
164351,قائمشهر - جويبار,1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,5620,5521,72,10,8,9,64.0,5628.0,8.0,23.0,99.0
164351,قائمشهر - جويبار,1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,6279,6165,80,11,2,21,65.0,6290.0,14.0,38.0,113.0
164351,قائمشهر - جويبار,1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,6389,6292,65,11,5,16,65.0,6398.0,13.0,29.0,99.0
164351,قائمشهر - جويبار,1398/12/16 00:00:00,1398/12/17 00:00:00,1380.0,4862,4813,39,5,0,5,66.0,5302.0,20.0,29.0,101.0
164351,قائمشهر - جويبار,1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,5595,5509,62,7,5,12,63.0,5603.0,9.0,22.0,92.0
164351,قائمشهر - جويبار,1398/12/18 00:00:00,1398/12/19 00:00:00,1375.0,4323,4272,34,8,3,6,64.0,4530.0,10.0,17.0,81.0
164351,قائمشهر - جويبار,1398/12/19 00:00:00,1398/12/20 00:00:00,1430.0,5453,5376,42,15,9,11,63.0,5473.0,12.0,31.0,93.0
164351,قائمشهر - جويبار,1398/12/20 00:00:00,1398/12/21 00:00:00,1370.0,5031,4972,34,6,4,15,63.0,5465.0,6.0,39.0,82.0
164351,قائمشهر - جويبار,1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,5580,5506,49,9,5,11,63.0,5588.0,13.0,33.0,112.0
164351,قائمشهر - جويبار,1398/12/22 00:00:00,1398/12/23 00:00:00,1435.0,5327,5261,50,7,6,3,64.0,5335.0,18.0,26.0,104.0
164351,قائمشهر - جويبار,1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,4053,4010,30,3,2,8,63.0,4058.0,13.0,16.0,83.0
164351,قائمشهر - جويبار,1398/12/24 00:00:00,1398/12/25 00:00:00,1435.0,5297,5238,38,11,2,8,64.0,5305.0,8.0,38.0,105.0
164351,قائمشهر - جويبار,1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,5194,5122,49,2,9,12,64.0,5223.0,11.0,36.0,91.0
164351,قائمشهر - جويبار,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,5513,5423,66,10,7,7,64.0,5513.0,6.0,49.0,91.0
164351,قائمشهر - جويبار,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,5052,4969,57,8,7,11,63.0,5052.0,8.0,37.0,78.0
164351,قائمشهر - جويبار,1398/12/28 00:00:00,1398/12/29 00:00:00,1445.0,5328,5266,48,6,3,5,64.0,5320.0,7.0,32.0,109.0
164351,قائمشهر - جويبار,1398/12/29 00:00:00,1399/01/01 00:00:00,1395.0,4465,4430,23,9,2,1,66.0,4470.0,11.0,33.0,81.0
164351,قائمشهر - جويبار,1400/01/01 00:00:00,1400/01/02 00:00:00,1335.0,4802,4504,271,21,3,3,65.0,5560.0,32.0,373.0,63.0
164351,قائمشهر - جويبار,1400/01/02 00:00:00,1400/01/03 00:00:00,1380.0,5442,5121,277,33,5,6,65.0,5543.0,44.0,367.0,80.0
164351,قائمشهر - جويبار,1400/01/03 00:00:00,1400/01/04 00:00:00,1435.0,6315,5860,395,48,7,5,64.0,6318.0,46.0,453.0,91.0
164351,قائمشهر - جويبار,1400/01/04 00:00:00,1400/01/05 00:00:00,1390.0,6049,5644,357,33,8,7,65.0,6308.0,51.0,473.0,88.0
164351,قائمشهر - جويبار,1400/01/05 00:00:00,1400/01/06 00:00:00,1435.0,6968,6548,360,47,9,4,63.0,6973.0,41.0,488.0,90.0
164351,قائمشهر - جويبار,1400/01/06 00:00:00,1400/01/07 00:00:00,1440.0,6742,6347,352,34,4,5,63.0,6742.0,29.0,500.0,106.0
164351,قائمشهر - جويبار,1400/01/07 00:00:00,1400/01/08 00:00:00,1435.0,7197,6655,451,69,10,12,62.0,7204.0,35.0,541.0,97.0
164351,قائمشهر - جويبار,1400/01/08 00:00:00,1400/01/09 00:00:00,1435.0,6869,6358,419,63,6,23,62.0,6875.0,35.0,514.0,113.0
164351,قائمشهر - جويبار,1400/01/09 00:00:00,1400/01/10 00:00:00,1385.0,6361,5825,449,68,5,14,63.0,6848.0,46.0,493.0,75.0
164351,قائمشهر - جويبار,1400/01/10 00:00:00,1400/01/11 00:00:00,1440.0,7669,7004,557,83,10,15,63.0,7669.0,60.0,665.0,109.0
164351,قائمشهر - جويبار,1400/01/11 00:00:00,1400/01/11 23:55:00,1380.0,7001,6486,444,53,12,6,62.0,7385.0,35.0,538.0,108.0
164351,قائمشهر - جويبار,1400/01/12 00:00:00,1400/01/13 00:00:00,1435.0,6707,6273,366,54,8,6,62.0,6713.0,45.0,493.0,110.0
164351,قائمشهر - جويبار,1400/01/13 00:00:00,1400/01/14 00:00:00,1440.0,5290,4945,311,30,3,1,66.0,5290.0,54.0,352.0,75.0
164351,قائمشهر - جويبار,1400/01/14 00:00:00,1400/01/15 00:00:00,1440.0,6978,6377,501,75,13,12,62.0,6978.0,46.0,514.0,105.0
164351,قائمشهر - جويبار,1400/01/15 00:00:00,1400/01/16 00:00:00,1435.0,7050,6413,521,74,27,15,62.0,7059.0,57.0,606.0,122.0
164351,قائمشهر - جويبار,1400/01/16 00:00:00,1400/01/17 00:00:00,1440.0,7134,6549,468,79,22,16,62.0,7134.0,53.0,564.0,117.0
164351,قائمشهر - جويبار,1400/01/17 00:00:00,1400/01/18 00:00:00,1440.0,7283,6554,592,98,19,20,62.0,7283.0,49.0,555.0,118.0
164351,قائمشهر - جويبار,1400/01/18 00:00:00,1400/01/19 00:00:00,1435.0,7141,6495,503,92,26,25,62.0,7182.0,39.0,588.0,129.0
164351,قائمشهر - جويبار,1400/01/19 00:00:00,1400/01/20 00:00:00,1375.0,6643,6057,462,86,21,17,62.0,7164.0,38.0,507.0,106.0
164351,قائمشهر - جويبار,1400/01/20 00:00:00,1400/01/21 00:00:00,1385.0,5777,5368,344,40,8,17,62.0,6057.0,39.0,351.0,109.0
164351,قائمشهر - جويبار,1400/01/21 00:00:00,1400/01/22 00:00:00,1265.0,6236,5620,519,58,20,19,62.0,6958.0,52.0,517.0,117.0
164351,قائمشهر - جويبار,1400/01/22 00:00:00,1400/01/23 00:00:00,1385.0,6327,5758,470,62,16,21,62.0,6679.0,43.0,520.0,92.0
164351,قائمشهر - جويبار,1400/01/23 00:00:00,1400/01/24 00:00:00,1385.0,6549,5976,485,70,12,6,63.0,6852.0,37.0,507.0,117.0
164351,قائمشهر - جويبار,1400/01/24 00:00:00,1400/01/25 00:00:00,1385.0,6409,5766,528,87,10,18,62.0,6893.0,51.0,537.0,91.0
164351,قائمشهر - جويبار,1400/01/25 00:00:00,1400/01/26 00:00:00,1430.0,6573,5929,519,93,16,16,63.0,6616.0,47.0,529.0,136.0
164351,قائمشهر - جويبار,1400/01/26 00:00:00,1400/01/27 00:00:00,1435.0,6708,6178,436,67,11,16,62.0,6734.0,52.0,503.0,118.0
164351,قائمشهر - جويبار,1400/01/27 00:00:00,1400/01/28 00:00:00,1440.0,5777,5345,362,54,7,9,63.0,5777.0,35.0,387.0,124.0
164351,قائمشهر - جويبار,1400/01/28 00:00:00,1400/01/29 00:00:00,1435.0,6848,6239,488,91,16,14,62.0,6872.0,46.0,524.0,145.0
164351,قائمشهر - جويبار,1400/01/29 00:00:00,1400/01/30 00:00:00,1440.0,6611,5918,583,83,12,15,63.0,6611.0,52.0,540.0,141.0
164351,قائمشهر - جويبار,1400/01/30 00:00:00,1400/01/31 00:00:00,1375.0,6146,5559,465,97,10,15,62.0,6544.0,52.0,451.0,143.0
164351,قائمشهر - جويبار,1400/01/31 00:00:00,1400/02/01 00:00:00,1435.0,6741,6071,557,81,11,21,62.0,6776.0,39.0,520.0,132.0
164351,قائمشهر - جويبار,1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,7714,7440,196,57,6,15,64.0,7714.0,0.0,568.0,0.0
164351,قائمشهر - جويبار,1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,7837,7521,243,54,6,13,63.0,7837.0,0.0,643.0,0.0
164351,قائمشهر - جويبار,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,8125,7765,278,58,6,18,63.0,8125.0,1.0,659.0,0.0
164351,قائمشهر - جويبار,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,8312,8044,196,52,7,13,63.0,8312.0,2.0,687.0,0.0
164351,قائمشهر - جويبار,1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,7877,7714,121,35,3,4,60.0,7877.0,1.0,632.0,0.0
164351,قائمشهر - جويبار,1401/12/06 00:00:00,1401/12/07 00:00:00,1440.0,7925,7600,236,62,8,19,63.0,7925.0,0.0,613.0,0.0
164351,قائمشهر - جويبار,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,7729,7423,222,58,10,16,63.0,7729.0,0.0,573.0,0.0
164351,قائمشهر - جويبار,1401/12/08 00:00:00,1401/12/09 00:00:00,1440.0,8015,7675,243,75,8,14,64.0,8015.0,1.0,608.0,0.0
164351,قائمشهر - جويبار,1401/12/09 00:00:00,1401/12/10 00:00:00,1440.0,7926,7581,248,75,6,16,62.0,7926.0,2.0,634.0,0.0
164351,قائمشهر - جويبار,1401/12/10 00:00:00,1401/12/11 00:00:00,1440.0,7982,7653,230,76,9,14,63.0,7982.0,0.0,628.0,0.0
164351,قائمشهر - جويبار,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,8190,7966,169,41,5,9,62.0,8190.0,3.0,626.0,0.0
164351,قائمشهر - جويبار,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,9268,9063,144,43,6,12,62.0,9268.0,0.0,908.0,0.0
164351,قائمشهر - جويبار,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,7963,7627,256,56,10,14,62.0,7963.0,0.0,608.0,0.0
164351,قائمشهر - جويبار,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,7921,7618,221,59,8,15,64.0,7921.0,0.0,587.0,0.0
164351,قائمشهر - جويبار,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,8090,7757,247,65,4,17,64.0,8090.0,1.0,569.0,0.0
164351,قائمشهر - جويبار,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,7916,7592,218,72,16,18,61.0,7916.0,0.0,588.0,0.0
164351,قائمشهر - جويبار,1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,6846,6559,206,59,7,15,62.0,6846.0,0.0,436.0,0.0
164351,قائمشهر - جويبار,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,8165,7914,182,49,4,16,63.0,8165.0,1.0,603.0,0.0
164351,قائمشهر - جويبار,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,9541,9320,151,44,4,22,62.0,9541.0,0.0,924.0,0.0
164351,قائمشهر - جويبار,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,8254,7937,225,64,7,21,64.0,8254.0,0.0,598.0,0.0
164351,قائمشهر - جويبار,1401/12/21 00:00:00,1401/12/22 00:00:00,1440.0,8027,7700,234,65,8,20,64.0,8027.0,1.0,595.0,0.0
164351,قائمشهر - جويبار,1401/12/22 00:00:00,1401/12/23 00:00:00,1440.0,8046,7729,231,66,7,13,63.0,8046.0,1.0,609.0,0.0
164351,قائمشهر - جويبار,1401/12/23 00:00:00,1401/12/24 00:00:00,1440.0,8130,7767,264,76,5,18,62.0,8130.0,1.0,597.0,0.0
164351,قائمشهر - جويبار,1401/12/24 00:00:00,1401/12/25 00:00:00,1440.0,8362,7981,279,73,11,18,63.0,8362.0,1.0,679.0,0.0
164351,قائمشهر - جويبار,1401/12/25 00:00:00,1401/12/26 00:00:00,1205.0,6655,6451,137,49,7,11,62.0,8537.0,2.0,503.0,0.0
164351,قائمشهر - جويبار,1401/12/26 00:00:00,1401/12/27 00:00:00,1400.0,10529,10262,196,47,9,15,62.0,10545.0,1.0,1200.0,0.0
164351,قائمشهر - جويبار,1401/12/27 00:00:00,1401/12/28 00:00:00,1425.0,8460,8177,217,47,6,13,63.0,8931.0,1.0,691.0,0.0
164351,قائمشهر - جويبار,1401/12/28 00:00:00,1401/12/29 00:00:00,1420.0,7981,7737,205,22,3,14,63.0,7994.0,1.0,613.0,0.0
164351,قائمشهر - جويبار,1401/12/29 00:00:00,1402/01/01 00:00:00,1430.0,6344,6290,43,8,1,2,64.0,6349.0,2.0,388.0,0.0
164351,قائمشهر - جويبار,1402/01/01 00:00:00,1402/01/02 00:00:00,1380.0,6574,6550,19,3,0,2,63.0,6614.0,0.0,459.0,0.0
164351,قائمشهر - جويبار,1402/01/02 00:00:00,1402/01/03 00:00:00,1365.0,6456,6424,29,0,0,3,60.0,6493.0,0.0,457.0,0.0
164351,قائمشهر - جويبار,1402/01/03 00:00:00,1402/01/04 00:00:00,1410.0,6544,6506,26,7,2,3,63.0,6555.0,0.0,449.0,0.0
164351,قائمشهر - جويبار,1402/01/04 00:00:00,1402/01/05 00:00:00,1405.0,8397,8317,70,4,1,5,64.0,8418.0,1.0,743.0,0.0
164351,قائمشهر - جويبار,1402/01/05 00:00:00,1402/01/06 00:00:00,1440.0,7896,7766,94,21,4,11,64.0,7896.0,1.0,626.0,0.0
164351,قائمشهر - جويبار,1402/01/06 00:00:00,1402/01/07 00:00:00,1440.0,8046,7868,139,29,2,8,64.0,8046.0,0.0,618.0,0.0
164351,قائمشهر - جويبار,1402/01/07 00:00:00,1402/01/08 00:00:00,1440.0,8025,7838,136,39,5,7,63.0,8025.0,0.0,663.0,0.0
164351,قائمشهر - جويبار,1402/01/08 00:00:00,1402/01/09 00:00:00,1440.0,8056,7866,144,39,1,6,63.0,8056.0,3.0,626.0,0.0
164351,قائمشهر - جويبار,1402/01/09 00:00:00,1402/01/10 00:00:00,1440.0,8386,8170,149,47,4,16,64.0,8386.0,3.0,643.0,0.0
164351,قائمشهر - جويبار,1402/01/10 00:00:00,1402/01/11 00:00:00,1440.0,8404,8214,139,30,6,15,63.0,8404.0,0.0,715.0,0.0
164351,قائمشهر - جويبار,1402/01/11 00:00:00,1402/01/12 00:00:00,1440.0,7693,7579,83,24,1,6,60.0,7693.0,1.0,584.0,0.0
164351,قائمشهر - جويبار,1402/01/12 00:00:00,1402/01/13 00:00:00,1440.0,6048,5968,59,13,2,6,60.0,6048.0,0.0,347.0,0.0
