Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163152,قائمشهر - ساري,1398/12/01 00:00:00,1398/12/02 00:00:00,1420.0,42726,39794,875,1161,321,575,80.0,43527.0,453.0,18515.0,0.0
163152,قائمشهر - ساري,1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,32762,30624,644,799,247,448,83.0,32873.0,478.0,11211.0,0.0
163152,قائمشهر - ساري,1398/12/03 00:00:00,1398/12/04 00:00:00,1430.0,41982,39023,837,1242,334,546,82.0,42196.0,598.0,18416.0,0.0
163152,قائمشهر - ساري,1398/12/04 00:00:00,1398/12/05 00:00:00,1430.0,42894,39685,910,1350,357,592,82.0,43365.0,557.0,19044.0,0.0
163152,قائمشهر - ساري,1398/12/05 00:00:00,1398/12/06 00:00:00,1425.0,42331,39164,963,1242,346,616,82.0,42990.0,550.0,18679.0,0.0
163152,قائمشهر - ساري,1398/12/06 00:00:00,1398/12/07 00:00:00,1430.0,39898,36770,911,1265,359,593,81.0,40114.0,450.0,16812.0,0.0
163152,قائمشهر - ساري,1398/12/07 00:00:00,1398/12/08 00:00:00,1425.0,35971,33287,788,1099,307,490,79.0,36402.0,278.0,13739.0,0.0
163152,قائمشهر - ساري,1398/12/08 00:00:00,1398/12/09 00:00:00,1420.0,37343,34494,858,1136,309,546,83.0,37807.0,607.0,14694.0,0.0
163152,قائمشهر - ساري,1398/12/09 00:00:00,1398/12/10 00:00:00,1305.0,24941,23111,541,696,216,377,83.0,27212.0,439.0,7364.0,0.0
163152,قائمشهر - ساري,1398/12/10 00:00:00,1398/12/11 00:00:00,1405.0,37696,34815,932,1137,310,502,82.0,38828.0,563.0,15712.0,0.0
163152,قائمشهر - ساري,1398/12/11 00:00:00,1398/12/12 00:00:00,1410.0,36491,33510,899,1235,313,534,81.0,37400.0,422.0,14657.0,0.0
163152,قائمشهر - ساري,1398/12/12 00:00:00,1398/12/13 00:00:00,1425.0,33006,27221,3151,1498,466,670,79.0,33458.0,797.0,11748.0,0.0
163152,قائمشهر - ساري,1398/12/13 00:00:00,1398/12/14 00:00:00,1420.0,33860,31026,922,1121,277,514,81.0,34557.0,356.0,12675.0,0.0
163152,قائمشهر - ساري,1398/12/14 00:00:00,1398/12/15 00:00:00,1410.0,36056,33108,924,1183,309,532,82.0,37177.0,543.0,14386.0,0.0
163152,قائمشهر - ساري,1398/12/15 00:00:00,1398/12/16 00:00:00,1410.0,34366,31719,800,1060,259,528,82.0,35366.0,534.0,13008.0,0.0
163152,قائمشهر - ساري,1398/12/16 00:00:00,1398/12/17 00:00:00,1430.0,23172,21391,557,668,213,343,83.0,23379.0,452.0,5516.0,0.0
163152,قائمشهر - ساري,1398/12/17 00:00:00,1398/12/18 00:00:00,1410.0,30008,27579,675,1026,275,453,83.0,30759.0,482.0,9608.0,0.0
163152,قائمشهر - ساري,1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,22341,20367,576,786,201,411,82.0,22453.0,376.0,5082.0,0.0
163152,قائمشهر - ساري,1398/12/19 00:05:00,1398/12/20 00:00:00,1405.0,30162,27891,687,913,248,423,83.0,31216.0,509.0,10199.0,0.0
163152,قائمشهر - ساري,1398/12/20 00:00:00,1398/12/21 00:00:00,1415.0,29783,27325,755,1003,251,449,83.0,30389.0,453.0,9831.0,0.0
163152,قائمشهر - ساري,1398/12/21 00:00:00,1398/12/22 00:00:00,1425.0,30400,27872,827,972,257,472,83.0,30754.0,473.0,10008.0,0.0
163152,قائمشهر - ساري,1398/12/22 00:00:00,1398/12/23 00:00:00,1420.0,27622,25395,650,861,263,453,83.0,28161.0,455.0,8205.0,0.0
163152,قائمشهر - ساري,1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,19248,17657,435,642,167,347,83.0,19340.0,413.0,3757.0,0.0
163152,قائمشهر - ساري,1398/12/24 00:00:00,1398/12/25 00:00:00,1420.0,29281,27117,692,862,196,414,84.0,29888.0,593.0,9372.0,0.0
163152,قائمشهر - ساري,1398/12/25 00:00:00,1398/12/26 00:00:00,1415.0,29545,27131,782,920,247,465,83.0,30279.0,537.0,9418.0,0.0
163152,قائمشهر - ساري,1398/12/26 00:00:00,1398/12/27 00:00:00,1420.0,30008,27607,741,953,248,459,83.0,30548.0,439.0,9427.0,0.0
163152,قائمشهر - ساري,1398/12/27 00:00:00,1398/12/28 00:00:00,1425.0,29823,27312,755,1039,256,461,83.0,30049.0,407.0,9235.0,0.0
163152,قائمشهر - ساري,1398/12/28 00:00:00,1398/12/29 00:00:00,1430.0,28887,26921,569,779,222,396,83.0,29179.0,474.0,8559.0,0.0
163152,قائمشهر - ساري,1398/12/29 00:00:00,1399/01/01 00:00:00,1435.0,22042,20628,451,539,148,276,85.0,22140.0,643.0,4874.0,0.0
163152,قائمشهر - ساري,1400/01/01 00:00:00,1400/01/02 00:00:00,1200.0,26778,23027,2934,492,105,220,91.0,31694.0,4463.0,8905.0,0.0
163152,قائمشهر - ساري,1400/01/02 00:00:00,1400/01/03 00:00:00,1230.0,27763,24572,2367,460,98,266,84.0,34483.0,2358.0,6876.0,0.0
163152,قائمشهر - ساري,1400/01/03 00:00:00,1400/01/04 00:00:00,1335.0,33227,28839,3341,602,136,309,90.0,36638.0,4371.0,8683.0,0.0
163152,قائمشهر - ساري,1400/01/04 00:00:00,1400/01/04 23:55:00,1300.0,33053,28688,3381,555,131,298,91.0,38428.0,4804.0,8699.0,0.0
163152,قائمشهر - ساري,1400/01/05 00:35:00,1400/01/06 00:00:00,1260.0,37611,32380,3983,737,180,331,88.0,42966.0,3875.0,11502.0,0.0
163152,قائمشهر - ساري,1400/01/06 00:00:00,1400/01/06 23:25:00,1300.0,39796,32869,5183,1133,197,414,87.0,43329.0,5429.0,15350.0,0.0
163152,قائمشهر - ساري,1400/01/07 00:00:00,1400/01/08 00:00:00,1265.0,45667,38579,4918,1337,214,619,80.0,52736.0,3905.0,17415.0,0.0
163152,قائمشهر - ساري,1400/01/08 00:00:00,1400/01/08 23:55:00,1230.0,38523,33425,3290,986,203,619,84.0,45403.0,3039.0,12709.0,0.0
