Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163255,محمودآباد - آمل,1398/12/01 00:00:00,1398/12/02 00:00:00,1160.0,22832,21659,778,155,89,151,69.0,30880.0,640.0,2251.0,0.0
163255,محمودآباد - آمل,1398/12/02 00:00:00,1398/12/03 00:00:00,1165.0,19970,19232,445,127,81,85,71.0,26666.0,680.0,1746.0,0.0
163255,محمودآباد - آمل,1398/12/03 00:00:00,1398/12/03 23:00:00,1320.0,28195,26339,1375,220,92,169,72.0,30281.0,1169.0,3097.0,0.0
163255,محمودآباد - آمل,1398/12/04 00:00:00,1398/12/05 00:00:00,1160.0,22080,20382,1250,203,92,153,73.0,28988.0,983.0,2428.0,0.0
163255,محمودآباد - آمل,1398/12/05 00:00:00,1398/12/06 00:00:00,1330.0,24818,22672,1596,237,117,196,73.0,28211.0,1783.0,2681.0,0.0
163255,محمودآباد - آمل,1398/12/06 00:00:00,1398/12/06 23:50:00,1370.0,25298,23530,1231,247,121,169,70.0,26923.0,686.0,2378.0,0.0
163255,محمودآباد - آمل,1398/12/07 00:45:00,1398/12/08 00:00:00,1340.0,23238,21873,896,213,103,153,68.0,25005.0,402.0,1886.0,0.0
163255,محمودآباد - آمل,1398/12/08 00:00:00,1398/12/09 00:00:00,1325.0,25798,24222,1068,236,98,174,71.0,28216.0,908.0,2746.0,0.0
163255,محمودآباد - آمل,1398/12/09 00:00:00,1398/12/10 00:00:00,1275.0,19447,18458,625,148,79,137,72.0,23120.0,804.0,1430.0,0.0
163255,محمودآباد - آمل,1398/12/10 00:00:00,1398/12/11 00:00:00,1380.0,25799,24004,1276,246,83,190,72.0,27719.0,974.0,2625.0,0.0
163255,محمودآباد - آمل,1398/12/11 00:00:00,1398/12/12 00:00:00,1380.0,24099,22298,1290,227,87,197,71.0,25346.0,939.0,2179.0,0.0
163255,محمودآباد - آمل,1398/12/12 00:00:00,1398/12/13 00:00:00,1380.0,22417,20846,1109,221,81,160,69.0,23120.0,539.0,1778.0,0.0
163255,محمودآباد - آمل,1398/12/13 00:00:00,1398/12/14 00:00:00,1265.0,20707,19317,971,180,67,172,68.0,23646.0,327.0,1576.0,0.0
163255,محمودآباد - آمل,1398/12/14 00:00:00,1398/12/15 00:00:00,1325.0,23521,21982,1087,213,84,155,71.0,25831.0,728.0,2297.0,0.0
163255,محمودآباد - آمل,1398/12/15 00:00:00,1398/12/16 00:00:00,1325.0,23753,22264,1043,191,91,164,70.0,26289.0,618.0,2297.0,0.0
163255,محمودآباد - آمل,1398/12/16 00:00:00,1398/12/17 00:00:00,1325.0,20166,19066,733,167,71,129,71.0,22714.0,684.0,1569.0,0.0
163255,محمودآباد - آمل,1398/12/17 00:00:00,1398/12/18 00:00:00,1270.0,18818,17406,1012,188,71,141,73.0,22802.0,1129.0,1529.0,0.0
163255,محمودآباد - آمل,1398/12/18 00:00:00,1398/12/19 00:00:00,1320.0,17868,16433,1078,174,51,132,73.0,19320.0,1028.0,1202.0,0.0
163255,محمودآباد - آمل,1398/12/19 00:00:00,1398/12/19 23:55:00,1310.0,19700,18289,987,188,86,150,71.0,22626.0,758.0,1489.0,0.0
