Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163451,محمودآباد - فريدونکنار,1398/12/01 00:00:00,1398/12/02 00:00:00,1380.0,14517,13901,464,114,13,25,76.0,15404.0,173.0,891.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,13497,12982,401,74,26,14,77.0,13507.0,259.0,877.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/03 00:00:00,1398/12/04 00:00:00,1380.0,12784,12097,516,127,20,24,77.0,13571.0,228.0,832.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/04 00:00:00,1398/12/05 00:00:00,1305.0,11840,11258,398,134,18,32,77.0,13620.0,180.0,692.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,13260,12603,462,136,19,40,77.0,13270.0,270.0,850.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,11933,11282,491,107,17,36,77.0,12645.0,243.0,708.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,11325,10825,367,94,16,23,76.0,11335.0,192.0,552.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/08 00:00:00,1398/12/09 00:00:00,1325.0,11464,10902,389,116,22,35,77.0,13251.0,216.0,673.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,10530,10027,386,86,12,19,78.0,11079.0,313.0,570.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/10 00:00:00,1398/12/11 00:00:00,1380.0,11557,10964,459,99,15,20,78.0,12315.0,256.0,693.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/11 00:00:00,1398/12/12 00:00:00,1315.0,10132,9575,391,135,10,21,77.0,11901.0,203.0,529.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/12 00:00:00,1398/12/13 00:00:00,1375.0,9489,9000,350,102,16,21,77.0,10116.0,203.0,431.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,10045,9544,348,125,10,18,77.0,10778.0,203.0,460.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,12242,11549,511,141,13,28,77.0,12251.0,261.0,736.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,12883,12049,622,168,18,26,77.0,12894.0,387.0,756.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,9819,9312,378,101,6,22,77.0,9826.0,249.0,465.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,10421,9759,480,136,16,30,78.0,10433.0,252.0,527.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/18 00:00:00,1398/12/19 00:00:00,1380.0,8014,7591,312,87,6,18,77.0,8698.0,177.0,331.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/19 00:00:00,1398/12/20 00:00:00,1375.0,9178,8694,356,103,13,12,77.0,9906.0,173.0,431.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/20 00:00:00,1398/12/21 00:00:00,1370.0,9236,8761,338,108,8,21,76.0,9900.0,157.0,456.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/21 00:00:00,1398/12/22 00:00:00,1380.0,8915,8474,336,83,8,14,77.0,9502.0,199.0,373.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/22 00:00:00,1398/12/23 00:00:00,1435.0,9737,9283,330,92,8,24,76.0,9747.0,172.0,401.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,7234,6892,243,71,8,20,77.0,7240.0,170.0,269.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/24 00:00:00,1398/12/25 00:00:00,1435.0,9496,8976,377,106,14,23,78.0,9506.0,248.0,479.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,9215,8637,457,88,9,24,78.0,9271.0,247.0,419.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/26 00:00:00,1398/12/27 00:00:00,1395.0,8802,8354,323,92,14,19,78.0,9186.0,237.0,404.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/27 00:00:00,1398/12/28 00:00:00,1445.0,9058,8629,314,83,10,22,77.0,9049.0,176.0,397.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/28 00:00:00,1398/12/29 00:00:00,1350.0,7987,7682,226,59,4,16,77.0,8703.0,173.0,378.0,0.0
163451,محمودآباد - فريدونکنار,1398/12/29 00:00:00,1399/01/01 00:00:00,1445.0,8481,8193,230,43,9,6,78.0,8474.0,200.0,320.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/01 00:00:00,1400/01/02 00:00:00,1260.0,13937,13760,123,44,9,1,75.0,17407.0,5130.0,979.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/02 00:00:00,1400/01/03 00:00:00,1330.0,18207,17933,188,67,18,1,76.0,19875.0,7225.0,1580.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/03 00:00:00,1400/01/04 00:00:00,1390.0,22215,21829,238,114,25,9,75.0,23363.0,7942.0,2281.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/04 00:00:00,1400/01/05 00:00:00,1335.0,22426,22066,243,82,31,4,74.0,25269.0,7710.0,2429.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/05 00:00:00,1400/01/06 00:00:00,1180.0,18519,18111,295,84,25,4,75.0,25138.0,6591.0,1776.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/06 00:00:00,1400/01/07 00:00:00,1325.0,21056,20601,336,90,21,8,75.0,23842.0,7491.0,2028.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/07 00:00:00,1400/01/08 00:00:00,1335.0,20833,20438,272,91,22,10,74.0,22482.0,7312.0,1750.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/08 00:00:00,1400/01/09 00:00:00,1225.0,17083,16694,284,78,11,16,75.0,21212.0,6016.0,1447.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/09 00:00:00,1400/01/10 00:00:00,1385.0,21194,20747,298,86,27,36,74.0,22927.0,7403.0,1912.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/10 00:00:00,1400/01/11 00:00:00,1380.0,21707,21274,309,84,22,18,75.0,23196.0,7981.0,1922.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/11 00:00:00,1400/01/11 23:55:00,1380.0,20728,20281,301,99,29,18,74.0,21237.0,7233.0,1717.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/12 00:00:00,1400/01/13 00:00:00,1440.0,18987,18603,264,88,16,16,75.0,18987.0,7127.0,1439.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/13 00:00:00,1400/01/14 00:00:00,1430.0,15065,14811,189,35,6,24,75.0,15215.0,5239.0,952.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/14 00:00:00,1400/01/15 00:00:00,1400.0,14829,14359,402,36,8,24,76.0,15258.0,5450.0,746.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/15 00:00:00,1400/01/16 00:00:00,1415.0,14684,14316,307,39,10,12,74.0,14890.0,4409.0,779.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/16 00:00:00,1400/01/17 00:00:00,1415.0,14680,14267,321,43,7,42,74.0,14991.0,4191.0,752.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/17 00:00:00,1400/01/18 00:00:00,1405.0,14630,14204,336,46,10,34,75.0,14929.0,4960.0,783.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/18 00:00:00,1400/01/19 00:00:00,1430.0,14543,14153,283,45,14,48,74.0,14712.0,4122.0,720.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/19 00:00:00,1400/01/20 00:00:00,1425.0,15134,14779,294,42,7,12,74.0,15388.0,4431.0,777.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/20 00:00:00,1400/01/21 00:00:00,1420.0,12928,12722,138,34,10,24,74.0,13189.0,3948.0,629.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/21 00:00:00,1400/01/22 00:00:00,1410.0,12735,12492,192,27,5,19,75.0,13171.0,4212.0,604.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/22 00:00:00,1400/01/23 00:00:00,1430.0,12688,12388,241,34,12,13,76.0,12829.0,4439.0,600.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/23 00:00:00,1400/01/24 00:00:00,1425.0,12993,12714,215,38,8,18,74.0,13136.0,3692.0,568.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/24 00:00:00,1400/01/25 00:00:00,1430.0,12776,12495,221,36,5,19,74.0,12920.0,3928.0,575.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/25 00:00:00,1400/01/26 00:00:00,1435.0,12434,12163,193,47,15,16,74.0,12436.0,3744.0,536.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/26 00:00:00,1400/01/27 00:00:00,1430.0,12659,12376,211,48,7,17,74.0,12782.0,3923.0,555.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/27 00:00:00,1400/01/28 00:00:00,1430.0,10724,10536,128,36,11,13,75.0,10897.0,3272.0,413.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/28 00:00:00,1400/01/29 00:00:00,1440.0,12344,12078,205,31,12,18,74.0,12344.0,3489.0,505.0,0.0
163451,محمودآباد - فريدونکنار,1400/01/29 00:00:00,1400/01/30 00:00:00,1430.0,12451,12164,212,54,8,13,74.0,12586.0,3660.0,518.0,0.0
