Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163701,محمودآباد - نور,1398/12/01 00:00:00,1398/12/02 00:00:00,1045.0,14586,12685,1359,303,58,181,81.0,20571.0,655.0,1815.0,0.0
163701,محمودآباد - نور,1398/12/02 00:00:00,1398/12/03 00:00:00,1155.0,13475,11503,1546,240,47,139,85.0,18025.0,1078.0,1485.0,0.0
163701,محمودآباد - نور,1398/12/03 00:00:00,1398/12/04 00:00:00,1210.0,16542,14180,1722,369,83,188,84.0,19124.0,1112.0,1884.0,0.0
163701,محمودآباد - نور,1398/12/04 00:00:00,1398/12/05 00:00:00,1270.0,15480,13640,1225,355,73,187,85.0,18525.0,1065.0,1676.0,0.0
163701,محمودآباد - نور,1398/12/05 00:00:00,1398/12/06 00:00:00,1160.0,13240,11653,1035,340,60,152,84.0,18028.0,861.0,1368.0,0.0
163701,محمودآباد - نور,1398/12/06 00:00:00,1398/12/07 00:00:00,1185.0,12695,11087,992,356,73,187,81.0,16140.0,677.0,1149.0,0.0
163701,محمودآباد - نور,1398/12/07 00:00:00,1398/12/08 00:00:00,1380.0,14899,13329,972,352,79,167,81.0,15787.0,638.0,1127.0,0.0
163701,محمودآباد - نور,1398/12/08 00:00:00,1398/12/09 00:00:00,1280.0,15451,13920,1021,310,60,140,85.0,18172.0,1123.0,1334.0,0.0
163701,محمودآباد - نور,1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,14066,12849,820,241,47,109,84.0,14655.0,1013.0,1020.0,0.0
163701,محمودآباد - نور,1398/12/10 00:00:00,1398/12/11 00:00:00,1270.0,14222,12658,1072,289,53,150,84.0,16268.0,986.0,1291.0,0.0
163701,محمودآباد - نور,1398/12/11 00:00:00,1398/12/12 00:00:00,1325.0,14033,12616,877,298,60,182,81.0,15713.0,693.0,1093.0,0.0
163701,محمودآباد - نور,1398/12/12 00:00:00,1398/12/13 00:00:00,1380.0,13044,11613,906,278,75,172,78.0,13937.0,479.0,825.0,0.0
163701,محمودآباد - نور,1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,13977,12525,898,284,77,193,79.0,14823.0,527.0,855.0,0.0
163701,محمودآباد - نور,1398/12/14 00:00:00,1398/12/15 00:00:00,1380.0,15546,14093,926,288,55,184,84.0,16337.0,1104.0,1338.0,0.0
163701,محمودآباد - نور,1398/12/15 00:00:00,1398/12/16 00:00:00,1270.0,13966,12378,1035,345,62,146,86.0,16862.0,1501.0,1158.0,0.0
163701,محمودآباد - نور,1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,12513,11513,635,202,47,116,82.0,12543.0,773.0,723.0,0.0
163701,محمودآباد - نور,1398/12/17 00:00:00,1398/12/18 00:00:00,1380.0,12496,11374,710,218,62,132,84.0,13256.0,764.0,805.0,0.0
163701,محمودآباد - نور,1398/12/18 00:00:00,1398/12/19 00:00:00,1380.0,10501,9427,713,188,54,119,83.0,11049.0,673.0,571.0,0.0
163701,محمودآباد - نور,1398/12/19 00:00:00,1398/12/20 00:00:00,1320.0,11050,9966,726,178,45,135,85.0,12363.0,840.0,616.0,0.0
163701,محمودآباد - نور,1398/12/20 00:00:00,1398/12/21 00:00:00,1435.0,12464,11076,888,271,77,152,85.0,12509.0,1007.0,695.0,0.0
163701,محمودآباد - نور,1398/12/21 00:00:00,1398/12/21 23:55:00,1320.0,11216,10088,752,167,60,149,84.0,12424.0,721.0,603.0,0.0
163701,محمودآباد - نور,1398/12/22 00:55:00,1398/12/23 00:00:00,1380.0,11640,10500,739,205,64,132,81.0,11814.0,651.0,701.0,0.0
163701,محمودآباد - نور,1398/12/23 00:00:00,1398/12/24 00:00:00,1380.0,8437,7713,423,126,53,122,84.0,8865.0,642.0,332.0,0.0
163701,محمودآباد - نور,1398/12/24 01:05:00,1398/12/25 00:00:00,1370.0,13858,12862,674,142,54,126,85.0,14138.0,1509.0,695.0,0.0
163701,محمودآباد - نور,1398/12/25 00:00:00,1398/12/26 00:00:00,1385.0,17233,15880,897,284,49,123,85.0,17917.0,2831.0,635.0,0.0
163701,محمودآباد - نور,1398/12/26 00:00:00,1398/12/27 00:00:00,1400.0,17339,16387,622,179,57,94,83.0,17989.0,2555.0,584.0,0.0
