Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/01 00:00:00,1398/12/02 00:00:00,1270.0,13079,11561,1217,192,46,63,69.0,14431,658.0,2352.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/02 00:00:00,1398/12/03 00:00:00,1270.0,9750,8686,829,139,35,61,73.0,11479,561.0,2194.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/03 00:00:00,1398/12/04 00:00:00,1225.0,11393,10396,693,174,39,91,67.0,13736,545.0,2479.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/04 00:00:00,1398/12/05 00:00:00,1215.0,11917,11314,380,95,49,79,58.0,14653,405.0,2337.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/05 00:00:00,1398/12/05 23:45:00,1145.0,10969,10493,308,73,42,53,58.0,14390,334.0,1902.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/06 00:40:00,1398/12/07 00:00:00,1145.0,9062,8566,251,99,46,100,56.0,12447,287.0,2249.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/07 00:00:00,1398/12/08 00:00:00,1315.0,7873,7442,223,95,49,64,51.0,8504,225.0,2535.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/08 00:00:00,1398/12/09 00:00:00,1320.0,7361,7006,216,58,32,49,57.0,7998,275.0,1890.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,7827,7471,232,55,26,43,61.0,8023,321.0,1875.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/10 00:00:00,1398/12/11 00:00:00,1025.0,8011,7580,248,66,37,80,57.0,11066,65.0,1625.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/11 00:00:00,1398/12/12 00:00:00,1160.0,10107,9558,286,104,63,96,59.0,12630,192.0,2555.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/12 00:00:00,1398/12/13 00:00:00,1320.0,10138,9577,391,82,41,47,65.0,10588,382.0,2423.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,11003,10352,488,92,41,30,67.0,11281,471.0,2080.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/14 00:00:00,1398/12/15 00:00:00,1325.0,12486,11840,451,101,49,45,69.0,13873,468.0,2277.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/15 00:00:00,1398/12/16 00:00:00,1240.0,13952,13371,353,104,41,83,64.0,16716,426.0,3675.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/16 00:00:00,1398/12/17 00:00:00,1195.0,13758,13141,182,156,77,202,57.0,16968,372.0,5113.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/17 00:00:00,1398/12/18 00:00:00,1165.0,12187,11358,425,139,65,200,54.0,14960,207.0,4153.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/18 00:00:00,1398/12/19 00:00:00,1095.0,10969,10444,226,99,52,148,54.0,14455,181.0,3809.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/19 00:00:00,1398/12/20 00:00:00,1175.0,14152,13386,365,151,77,173,54.0,16529,237.0,4731.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/20 00:00:00,1398/12/21 00:00:00,990.0,11719,10947,400,129,63,180,51.0,16666,129.0,3751.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/21 00:00:00,1398/12/21 23:55:00,830.0,8766,8284,237,84,54,107,54.0,15755,136.0,3005.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/22 00:55:00,1398/12/22 23:30:00,1030.0,10726,10167,268,127,60,104,56.0,15480,176.0,3055.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/23 00:25:00,1398/12/24 00:00:00,1195.0,14018,13585,151,109,52,121,63.0,16403,440.0,5688.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/24 00:00:00,1398/12/25 00:00:00,1165.0,13608,13088,346,71,37,66,66.0,16766,328.0,4235.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/25 00:00:00,1398/12/26 00:00:00,1225.0,13493,13076,295,67,21,34,65.0,15737,369.0,3933.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/26 00:00:00,1398/12/27 00:00:00,1350.0,10970,10600,216,68,18,68,66.0,11695,230.0,2462.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/27 00:00:00,1398/12/28 00:00:00,1355.0,9561,9247,144,71,24,75,63.0,10192,150.0,1958.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/28 00:00:00,1398/12/29 00:00:00,1305.0,11094,10857,73,45,27,92,66.0,11888,211.0,2792.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1398/12/29 00:00:00,1399/01/01 00:00:00,1225.0,11368,11002,81,110,57,118,60.0,13272,224.0,3452.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/01 00:00:00,1400/01/02 00:00:00,1385.0,22923,22585,237,57,24,20,69.0,24035,92.0,2599.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/02 00:00:00,1400/01/03 00:00:00,1310.0,23026,22726,207,52,9,32,67.0,24781,57.0,2633.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/03 00:00:00,1400/01/04 00:00:00,1405.0,26548,26153,288,57,17,33,67.0,26926,82.0,3196.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/04 00:00:00,1400/01/05 00:00:00,1370.0,17582,17228,268,46,19,21,68.0,19120,125.0,1689.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/05 00:00:00,1400/01/06 00:00:00,1365.0,16042,15778,165,51,24,24,64.0,17181,59.0,1375.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/06 00:00:00,1400/01/07 00:00:00,1405.0,16343,16094,132,52,33,32,68.0,16876,56.0,1446.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/07 00:00:00,1400/01/08 00:00:00,1440.0,21609,21069,385,90,29,36,66.0,21609,93.0,2229.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/08 00:00:00,1400/01/09 00:00:00,1370.0,18396,17946,332,65,22,31,66.0,19769,87.0,1862.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/09 00:00:00,1400/01/10 00:00:00,1340.0,15855,15482,230,87,28,28,67.0,17467,26.0,1459.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/10 00:00:00,1400/01/11 00:00:00,1440.0,15396,14956,317,69,25,29,67.0,15396,59.0,1272.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/11 00:00:00,1400/01/11 23:55:00,1400.0,11672,11206,326,82,30,28,65.0,12029,61.0,763.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/12 00:00:00,1400/01/13 00:00:00,1405.0,7803,7529,166,50,36,22,66.0,8064,31.0,380.0,0.0
164154,کرج - چالوس (مرزن آباد - دوآب),1400/01/13 00:00:00,1400/01/14 00:00:00,1405.0,6198,6068,60,31,21,18,68.0,6293,37.0,271.0,0.0
