Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,2789,2736,8,10,22,13,48.0,0.0,667.0,59.0,2789.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,6253,6177,14,27,19,16,49.0,6.0,2392.0,35.0,6253.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,4505,4432,8,29,21,15,49.0,8.0,1456.0,48.0,4505.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,2811,2748,12,21,11,19,50.0,3.0,796.0,55.0,2811.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,2796,2739,12,16,16,13,49.0,3.0,893.0,38.0,2796.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,1907,1864,7,14,9,13,48.0,4.0,449.0,18.0,2158.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,154,139,8,4,2,1,41.0,1.0,3.0,1.0,1216.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,239,230,3,6,0,0,45.0,0.0,9.0,1.0,1131.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,2460,2427,8,10,7,8,49.0,1.0,787.0,18.0,3047.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/10 00:00:00,1398/12/11 00:00:00,1390.0,2626,2580,9,15,13,9,50.0,4.0,670.0,29.0,2777.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,2615,2579,8,14,6,8,49.0,1.0,698.0,38.0,2615.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,1901,1878,0,6,8,9,47.0,0.0,399.0,34.0,1901.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,1940,1913,7,6,7,7,49.0,0.0,430.0,25.0,1940.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,2289,2256,10,9,9,5,49.0,4.0,615.0,50.0,2289.0
164654,چالوس - کرج (مرزن آباد - مکارود),1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,2210,2187,6,7,5,5,50.0,1.0,575.0,67.0,2210.0
