Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/01 00:00:00,1398/12/02 00:00:00,1440,6424,6242,119,37,10,16,83.0,299,307,0,6424.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/02 00:00:00,1398/12/03 00:00:00,1440,4715,4637,55,11,4,8,84.0,191,199,0,4715.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/03 00:00:00,1398/12/04 00:00:00,1440,5289,5082,131,41,15,20,84.0,266,217,0,5289.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/04 00:00:00,1398/12/05 00:00:00,1440,5839,5690,100,24,12,13,85.0,276,283,0,5839.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/05 00:00:00,1398/12/06 00:00:00,1440,6040,5896,101,20,10,13,85.0,269,298,0,6040.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/06 00:00:00,1398/12/07 00:00:00,1440,4437,4325,76,19,8,9,82.0,159,198,0,4437.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/07 00:00:00,1398/12/08 00:00:00,1440,2193,2056,96,27,5,9,74.0,48,36,0,2359.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/08 00:00:00,1398/12/09 00:00:00,1440,2360,2313,27,11,3,6,83.0,90,43,0,2616.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/09 00:00:00,1398/12/10 00:00:00,1440,2968,2921,27,9,4,7,84.0,133,122,0,3009.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/10 00:00:00,1398/12/11 00:00:00,1430,5081,4996,49,16,12,8,84.0,214,229,0,5135.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/11 00:00:00,1398/12/12 00:00:00,1440,4736,4664,40,17,6,9,82.0,141,199,0,4736.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/12 00:00:00,1398/12/13 00:00:00,1440,3888,3815,34,25,5,9,81.0,101,103,0,3888.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/13 00:00:00,1398/12/14 00:00:00,1440,4577,4472,61,29,8,7,82.0,151,132,0,4577.0
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),1398/12/14 00:00:00,1398/12/15 00:00:00,1440,6352,6244,73,16,4,15,86.0,319,406,0,6352.0
