Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,4488,4333,21,44,87,3,56.0,8.0,986.0,109.0,5452.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,2990,2887,22,25,54,2,56.0,6.0,752.0,64.0,2998.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,3675,3530,29,45,66,5,56.0,10.0,985.0,58.0,4779.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,3652,3508,23,35,81,5,56.0,10.0,980.0,47.0,8046.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,3592,3449,24,33,75,11,56.0,6.0,905.0,40.0,3592.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,2455,2370,14,25,43,3,56.0,4.0,433.0,93.0,2455.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,302,284,3,5,10,0,55.0,0.0,6.0,44.0,2150.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,370,355,2,5,8,0,57.0,1.0,9.0,53.0,613.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,1117,1088,4,8,17,0,56.0,2.0,188.0,22.0,1653.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/10 00:00:00,1398/12/11 00:00:00,1390.0,2925,2824,18,36,41,6,56.0,2.0,698.0,65.0,3101.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,3059,2947,20,28,50,14,56.0,2.0,740.0,30.0,3059.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,2347,2260,16,25,40,6,56.0,4.0,371.0,123.0,2347.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,2828,2736,17,22,47,6,56.0,1.0,485.0,40.0,2828.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,3921,3766,25,51,70,9,56.0,3.0,1047.0,57.0,3921.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,4371,4206,34,47,68,16,56.0,7.0,1198.0,49.0,4371.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,1058,1021,7,7,21,2,57.0,3.0,142.0,39.0,1983.0
164604,کرج - چالوس (مکارود - مرزن آباد),1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,1285,1234,7,10,30,4,56.0,2.0,152.0,26.0,1285.0
