Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164607,چالوس - کرج (مکارود - هزارچم),1398/12/16 10:20:00,1398/12/17 00:00:00,815.0,813,811,1,1,0,0,54.0,7010,2.0,62.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,3547,3486,31,6,23,1,56.0,3840,6.0,499.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,4139,4069,47,5,18,0,56.0,4143,15.0,663.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,2620,2560,30,12,17,1,56.0,2638,11.0,356.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1398/12/20 00:00:00,1398/12/20 14:20:00,855.0,535,512,12,4,7,0,60.0,2527,6.0,35.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1398/12/26 12:05:00,1398/12/27 00:00:00,715.0,1650,1601,31,6,10,2,48.0,2527,19.0,208.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1398/12/27 00:00:00,1398/12/28 00:00:00,1385.0,2074,2020,26,5,23,0,45.0,2147,0.0,154.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,2041,1961,50,12,17,1,43.0,2041,4.0,151.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,1584,1462,46,10,53,13,58.0,1584,28.0,183.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1400/01/02 09:30:00,1400/01/03 00:00:00,655.0,2926,2873,28,11,13,1,35.0,3914,31.0,1463.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1400/01/03 00:00:00,1400/01/04 00:00:00,1140.0,3673,3561,71,14,21,6,38.0,5388,32.0,1352.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1400/01/04 00:00:00,1400/01/05 00:00:00,1360.0,3596,3524,34,14,17,7,41.0,3766,34.0,1067.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1400/01/05 00:00:00,1400/01/05 23:40:00,685.0,4420,4379,19,11,7,4,33.0,10167,62.0,2234.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1400/01/06 00:15:00,1400/01/06 23:40:00,575.0,6269,6235,11,11,11,1,31.0,14905,10.0,3357.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1400/01/07 00:55:00,1400/01/07 22:25:00,720.0,7101,7065,14,14,7,1,30.0,13328,22.0,3403.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1400/01/08 00:55:00,1400/01/09 00:00:00,675.0,5842,5687,70,39,26,20,34.0,13801,374.0,2378.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1400/01/09 00:00:00,1400/01/10 00:00:00,590.0,5185,5152,11,13,9,0,29.0,12961,5.0,2623.0,0.0
164607,چالوس - کرج (مکارود - هزارچم),1400/01/10 00:00:00,1400/01/10 23:45:00,560.0,4417,4382,9,13,12,1,30.0,13289,9.0,1878.0,0.0
