Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
164402,نور - نوشهر (نور - سي سنگان),1398/12/01 00:00:00,1398/12/02 00:00:00,1320,15522,13884,767,517,113,241,80,119,1085,0,16873
164402,نور - نوشهر (نور - سي سنگان),1398/12/02 00:00:00,1398/12/03 00:00:00,1435,12982,11869,480,358,82,193,83,216,691,0,12999
164402,نور - نوشهر (نور - سي سنگان),1398/12/03 00:00:00,1398/12/04 00:00:00,1330,14656,12762,983,570,96,245,82,162,1010,0,15484
164402,نور - نوشهر (نور - سي سنگان),1398/12/04 00:00:00,1398/12/05 00:00:00,1270,13742,11712,974,661,127,268,83,173,976,0,16198
164402,نور - نوشهر (نور - سي سنگان),1398/12/05 00:00:00,1398/12/06 00:00:00,1325,14284,12242,999,691,83,269,82,186,983,0,15606
164402,نور - نوشهر (نور - سي سنگان),1398/12/06 00:00:00,1398/12/07 00:00:00,1295,12491,10653,896,557,105,280,78,94,780,0,14788
164402,نور - نوشهر (نور - سي سنگان),1398/12/07 00:00:00,1398/12/08 00:00:00,1435,13289,11580,762,593,97,257,77,53,634,0,13319
164402,نور - نوشهر (نور - سي سنگان),1398/12/08 00:00:00,1398/12/09 00:00:00,1435,15764,14058,858,532,97,219,80,195,1044,0,15798
164402,نور - نوشهر (نور - سي سنگان),1398/12/09 00:00:00,1398/12/10 00:00:00,1435,12176,10881,608,434,65,188,83,207,633,0,12191
164402,نور - نوشهر (نور - سي سنگان),1398/12/10 00:00:00,1398/12/11 00:00:00,1380,13795,11896,947,644,81,227,82,160,911,0,14408
164402,نور - نوشهر (نور - سي سنگان),1398/12/11 00:00:00,1398/12/12 00:00:00,1435,14024,11979,1042,645,88,270,79,102,912,0,14064
164402,نور - نوشهر (نور - سي سنگان),1398/12/12 00:00:00,1398/12/13 00:00:00,1435,11733,9923,891,603,95,221,76,40,520,0,11759
164402,نور - نوشهر (نور - سي سنگان),1398/12/13 00:00:00,1398/12/14 00:00:00,1380,11536,9835,817,587,84,213,78,70,514,0,12195
164402,نور - نوشهر (نور - سي سنگان),1398/12/14 00:00:00,1398/12/15 00:00:00,1380,13773,11769,979,663,105,257,82,196,930,0,14681
164402,نور - نوشهر (نور - سي سنگان),1398/12/15 00:00:00,1398/12/16 00:00:00,1430,14768,12728,1036,672,93,239,81,208,1042,0,14875
164402,نور - نوشهر (نور - سي سنگان),1398/12/16 00:00:00,1398/12/17 00:00:00,1325,9912,8698,606,395,56,157,82,163,454,0,10733
164402,نور - نوشهر (نور - سي سنگان),1398/12/17 00:00:00,1398/12/18 00:00:00,1325,11079,9484,803,518,81,193,81,133,635,0,12290
164402,نور - نوشهر (نور - سي سنگان),1398/12/18 00:00:00,1398/12/19 00:00:00,1435,10051,8461,800,537,71,182,80,135,414,0,10072
164402,نور - نوشهر (نور - سي سنگان),1398/12/19 00:00:00,1398/12/20 00:00:00,1430,10981,9200,882,575,82,242,81,152,633,0,11032
164402,نور - نوشهر (نور - سي سنگان),1398/12/20 00:00:00,1398/12/21 00:00:00,1430,10904,8894,989,699,82,240,82,163,545,0,10945
164402,نور - نوشهر (نور - سي سنگان),1398/12/21 00:00:00,1398/12/22 00:00:00,1380,10100,8305,887,597,73,238,82,140,493,0,10777
164402,نور - نوشهر (نور - سي سنگان),1398/12/22 00:00:00,1398/12/23 00:00:00,1325,9278,7582,786,609,87,214,81,125,422,0,10065
164402,نور - نوشهر (نور - سي سنگان),1398/12/23 00:00:00,1398/12/24 00:00:00,1435,7228,6125,526,333,68,176,80,114,242,0,7243
164402,نور - نوشهر (نور - سي سنگان),1398/12/24 00:00:00,1398/12/25 00:00:00,1435,12128,10653,719,495,75,186,80,160,434,0,12158
164402,نور - نوشهر (نور - سي سنگان),1398/12/25 00:00:00,1398/12/26 00:00:00,1430,14731,13061,855,533,60,222,82,199,427,0,14829
164402,نور - نوشهر (نور - سي سنگان),1398/12/26 00:00:00,1398/12/27 00:00:00,1390,13752,12449,654,440,74,135,80,87,378,0,14194
164402,نور - نوشهر (نور - سي سنگان),1398/12/27 00:00:00,1398/12/28 00:00:00,1440,13420,12285,539,393,57,146,78,83,279,0,13420
164402,نور - نوشهر (نور - سي سنگان),1398/12/28 00:00:00,1398/12/29 00:00:00,1395,10305,9547,345,271,36,106,81,101,226,0,10636
164402,نور - نوشهر (نور - سي سنگان),1398/12/29 00:00:00,1399/01/01 00:00:00,1440,7564,7117,218,152,23,54,84,156,213,0,7564
164402,نور - نوشهر (نور - سي سنگان),1400/01/01 00:00:00,1400/01/02 00:00:00,1260,17924,17470,281,90,43,40,81,205,1883,0,21540
164402,نور - نوشهر (نور - سي سنگان),1400/01/02 00:00:00,1400/01/03 00:00:00,1175,20148,19675,269,108,56,40,80,189,2570,0,24465
164402,نور - نوشهر (نور - سي سنگان),1400/01/03 00:00:00,1400/01/04 00:00:00,1390,29226,28170,678,221,102,55,76,178,4846,0,30001
164402,نور - نوشهر (نور - سي سنگان),1400/01/04 00:00:00,1400/01/05 00:00:00,1390,31880,31006,430,261,116,67,75,145,5371,0,32362
164402,نور - نوشهر (نور - سي سنگان),1400/01/05 00:00:00,1400/01/06 00:00:00,1290,25178,24371,451,210,77,69,77,200,3479,0,30451
164402,نور - نوشهر (نور - سي سنگان),1400/01/06 00:00:00,1400/01/07 00:00:00,1140,20017,19469,271,160,72,45,76,129,2448,0,27547
164402,نور - نوشهر (نور - سي سنگان),1400/01/07 00:00:00,1400/01/08 00:00:00,1140,19378,18658,306,248,87,79,73,100,2270,0,27728
164402,نور - نوشهر (نور - سي سنگان),1400/01/08 00:00:00,1400/01/09 00:00:00,1190,23598,22621,461,325,82,109,75,94,3139,0,28265
164402,نور - نوشهر (نور - سي سنگان),1400/01/09 00:00:00,1400/01/10 00:00:00,1240,24952,23784,577,345,104,142,79,170,3777,0,29584
164402,نور - نوشهر (نور - سي سنگان),1400/01/10 00:00:00,1400/01/11 00:00:00,1390,27117,25790,659,389,116,163,79,181,3753,0,28353
164402,نور - نوشهر (نور - سي سنگان),1400/01/11 00:00:00,1400/01/11 23:55:00,1180,19937,18857,475,338,118,149,73,73,2458,0,26194
164402,نور - نوشهر (نور - سي سنگان),1400/01/12 00:00:00,1400/01/13 00:00:00,1335,21011,20100,465,222,96,128,79,173,2221,0,21997
164402,نور - نوشهر (نور - سي سنگان),1400/01/13 00:00:00,1400/01/14 00:00:00,1385,13074,12727,199,57,43,48,79,190,677,0,13525
164402,نور - نوشهر (نور - سي سنگان),1400/01/14 00:00:00,1400/01/15 00:00:00,1390,17862,16695,550,390,85,142,77,144,1348,0,18848
164402,نور - نوشهر (نور - سي سنگان),1400/01/15 00:00:00,1400/01/16 00:00:00,1335,17117,15469,783,537,124,204,77,118,1477,0,18329
164402,نور - نوشهر (نور - سي سنگان),1400/01/16 00:00:00,1400/01/17 00:00:00,1340,16202,14406,799,595,140,262,78,117,1236,0,17975
164402,نور - نوشهر (نور - سي سنگان),1400/01/17 00:00:00,1400/01/18 00:00:00,1390,17297,15318,946,620,132,281,80,161,1350,0,17445
164402,نور - نوشهر (نور - سي سنگان),1400/01/18 00:00:00,1400/01/19 00:00:00,1335,16133,14219,881,610,157,266,80,170,1315,0,17682
164402,نور - نوشهر (نور - سي سنگان),1400/01/19 00:00:00,1400/01/20 00:00:00,1380,15979,14186,856,573,137,227,76,147,1240,0,17033
164402,نور - نوشهر (نور - سي سنگان),1400/01/20 00:00:00,1400/01/21 00:00:00,1440,13689,12596,487,337,83,186,77,127,822,0,13689
164402,نور - نوشهر (نور - سي سنگان),1400/01/21 00:00:00,1400/01/22 00:00:00,1335,15000,13223,837,580,120,240,78,126,955,0,15834
164402,نور - نوشهر (نور - سي سنگان),1400/01/22 00:00:00,1400/01/23 00:00:00,1340,14218,12342,927,623,114,212,79,107,867,0,15325
164402,نور - نوشهر (نور - سي سنگان),1400/01/23 00:00:00,1400/01/24 00:00:00,1440,16197,13994,1054,714,128,307,77,125,1222,0,16197
164402,نور - نوشهر (نور - سي سنگان),1400/01/24 00:00:00,1400/01/25 00:00:00,1440,15747,13760,956,654,124,253,74,130,1099,0,15747
164402,نور - نوشهر (نور - سي سنگان),1400/01/25 00:00:00,1400/01/26 00:00:00,1440,15458,13424,974,668,121,271,79,180,984,0,15458
164402,نور - نوشهر (نور - سي سنگان),1400/01/26 00:00:00,1400/01/27 00:00:00,1390,14721,13017,791,568,104,241,80,180,980,0,14911
164402,نور - نوشهر (نور - سي سنگان),1400/01/27 00:00:00,1400/01/28 00:00:00,1440,11305,10253,394,363,86,209,77,119,548,0,11305
164402,نور - نوشهر (نور - سي سنگان),1400/01/28 00:00:00,1400/01/28 23:40:00,1420,15076,13190,909,611,129,237,77,109,1110,0,15172
164402,نور - نوشهر (نور - سي سنگان),1400/01/29 00:30:00,1400/01/30 00:00:00,1405,15166,13248,910,667,91,250,77,154,974,0,15348
164402,نور - نوشهر (نور - سي سنگان),1400/01/30 00:00:00,1400/01/31 00:00:00,1335,13834,12015,824,607,111,277,77,123,871,0,15276
164402,نور - نوشهر (نور - سي سنگان),1400/01/31 00:00:00,1400/02/01 00:00:00,1440,15489,13506,921,660,111,291,75,111,1049,0,15489
164402,نور - نوشهر (نور - سي سنگان),1400/12/01 00:35:00,1400/12/01 00:45:00,10,220,182,37,1,0,0,71,5,109,0,9924
164402,نور - نوشهر (نور - سي سنگان),1400/12/03 00:10:00,1400/12/04 00:00:00,60,1736,1547,149,9,11,20,73,25,659,0,13709
164402,نور - نوشهر (نور - سي سنگان),1400/12/04 00:15:00,1400/12/04 23:00:00,820,25952,22446,2947,202,135,222,72,313,10047,0,42584
164402,نور - نوشهر (نور - سي سنگان),1400/12/05 01:05:00,1400/12/06 00:00:00,820,26266,21997,3640,257,96,276,72,365,9076,0,42802
164402,نور - نوشهر (نور - سي سنگان),1400/12/06 00:05:00,1400/12/06 23:55:00,690,16316,14371,1671,81,84,109,72,139,5156,0,37146
164402,نور - نوشهر (نور - سي سنگان),1400/12/07 00:30:00,1400/12/08 00:00:00,740,23204,18489,4113,228,90,284,70,203,8784,0,43641
164402,نور - نوشهر (نور - سي سنگان),1400/12/08 00:00:00,1400/12/08 23:30:00,750,19775,15457,3894,175,38,211,75,416,7560,0,39627
164402,نور - نوشهر (نور - سي سنگان),1400/12/09 00:30:00,1400/12/10 00:00:00,640,22229,19118,2748,163,54,146,79,238,9006,0,47444
164402,نور - نوشهر (نور - سي سنگان),1400/12/10 00:00:00,1400/12/10 23:55:00,540,15578,13186,2130,101,52,109,75,183,5859,0,46016
164402,نور - نوشهر (نور - سي سنگان),1400/12/11 01:05:00,1400/12/11 21:45:00,775,26338,21842,3954,219,180,143,76,297,10253,0,46430
164402,نور - نوشهر (نور - سي سنگان),1400/12/12 00:25:00,1400/12/12 23:40:00,705,23536,19285,3851,177,128,95,72,176,8795,0,43332
164402,نور - نوشهر (نور - سي سنگان),1400/12/13 00:15:00,1400/12/14 00:00:00,795,17892,14147,3335,140,41,229,74,244,5564,0,33920
164402,نور - نوشهر (نور - سي سنگان),1400/12/14 00:00:00,1400/12/14 23:55:00,900,26934,23136,3331,151,106,210,72,345,8830,0,42611
164402,نور - نوشهر (نور - سي سنگان),1400/12/15 00:20:00,1400/12/16 00:00:00,690,19830,15971,3383,199,104,173,73,157,8024,0,40995
164402,نور - نوشهر (نور - سي سنگان),1400/12/16 00:00:00,1400/12/17 00:00:00,1275,19501,15961,2514,348,45,633,76,282,4427,0,22534
164402,نور - نوشهر (نور - سي سنگان),1400/12/17 00:00:00,1400/12/18 00:00:00,1215,19381,15636,2983,346,89,327,78,369,3053,0,24796
164402,نور - نوشهر (نور - سي سنگان),1400/12/18 00:10:00,1400/12/19 00:00:00,1235,24437,20056,3320,502,64,495,77,456,3965,0,27500
164402,نور - نوشهر (نور - سي سنگان),1400/12/19 00:00:00,1400/12/20 00:00:00,1195,21167,15852,4015,620,78,602,74,457,2807,0,24189
164402,نور - نوشهر (نور - سي سنگان),1400/12/20 00:00:00,1400/12/21 00:00:00,1440,17001,14286,1919,406,50,340,77,151,1371,0,17001
164402,نور - نوشهر (نور - سي سنگان),1400/12/21 00:00:00,1400/12/22 00:00:00,1435,19965,15744,3189,435,44,553,78,249,2170,0,20015
164402,نور - نوشهر (نور - سي سنگان),1400/12/22 00:00:00,1400/12/23 00:00:00,1440,19647,16231,2474,459,31,452,79,160,2079,0,19647
164402,نور - نوشهر (نور - سي سنگان),1400/12/23 00:00:00,1400/12/23 23:00:00,1215,19182,15809,2555,395,45,378,77,192,2103,0,20524
164402,نور - نوشهر (نور - سي سنگان),1400/12/24 00:05:00,1400/12/25 00:00:00,1360,23614,19658,2998,469,48,441,77,241,3117,0,24859
164402,نور - نوشهر (نور - سي سنگان),1400/12/25 00:05:00,1400/12/26 00:00:00,1005,17246,14599,2023,279,33,312,75,156,2119,0,23845
164402,نور - نوشهر (نور - سي سنگان),1400/12/26 00:00:00,1400/12/27 00:00:00,1405,22902,18893,3099,399,46,465,77,255,2851,0,23133
164402,نور - نوشهر (نور - سي سنگان),1400/12/27 00:00:00,1400/12/27 23:00:00,1095,20566,17261,2651,276,68,310,75,170,2844,0,25174
164402,نور - نوشهر (نور - سي سنگان),1400/12/28 00:45:00,1400/12/28 22:00:00,1060,23026,19602,2854,219,56,295,73,177,3720,0,28295
164402,نور - نوشهر (نور - سي سنگان),1400/12/29 01:10:00,1401/01/01 00:00:00,1295,20635,18330,1892,108,37,268,76,148,2739,0,21838
164402,نور - نوشهر (نور - سي سنگان),1401/12/01 00:00:00,1401/12/02 00:00:00,1265,17119,15907,936,93,28,155,69,162,610,0,19334
164402,نور - نوشهر (نور - سي سنگان),1401/12/02 00:00:00,1401/12/03 00:00:00,1380,19476,17633,1354,115,41,333,72,444,1490,0,20700
164402,نور - نوشهر (نور - سي سنگان),1401/12/03 00:00:00,1401/12/04 00:00:00,1365,19237,17833,1071,93,36,204,71,231,726,0,20723
164402,نور - نوشهر (نور - سي سنگان),1401/12/04 00:00:00,1401/12/05 00:00:00,1370,18927,17729,909,82,29,178,70,233,657,0,20104
164402,نور - نوشهر (نور - سي سنگان),1401/12/05 00:00:00,1401/12/06 00:00:00,1395,15385,14648,506,75,20,136,68,80,202,0,15617
164402,نور - نوشهر (نور - سي سنگان),1401/12/06 00:00:00,1401/12/07 00:00:00,1330,17487,16181,954,121,32,199,73,340,580,0,19243
164402,نور - نوشهر (نور - سي سنگان),1401/12/07 00:00:00,1401/12/08 00:00:00,1395,18524,17009,1160,110,40,205,72,294,660,0,19298
164402,نور - نوشهر (نور - سي سنگان),1401/12/08 00:00:00,1401/12/08 23:35:00,615,4841,4187,502,46,16,90,76,185,157,0,18153
164402,نور - نوشهر (نور - سي سنگان),1401/12/09 10:45:00,1401/12/10 00:00:00,425,8160,7711,350,40,5,54,68,28,299,0,19682
164402,نور - نوشهر (نور - سي سنگان),1401/12/10 00:00:00,1401/12/10 22:25:00,625,6736,6049,536,36,19,96,72,94,259,0,20390
164402,نور - نوشهر (نور - سي سنگان),1401/12/11 11:40:00,1401/12/12 00:00:00,705,13092,12348,553,55,12,124,75,407,580,0,20547
164402,نور - نوشهر (نور - سي سنگان),1401/12/12 00:00:00,1401/12/13 00:00:00,1405,17711,16683,739,82,27,180,75,561,492,0,18464
164402,نور - نوشهر (نور - سي سنگان),1401/12/13 00:00:00,1401/12/14 00:00:00,1375,18609,17235,1013,97,38,226,72,236,660,0,19895
164402,نور - نوشهر (نور - سي سنگان),1401/12/14 00:00:00,1401/12/15 00:00:00,1405,19181,17640,1168,122,19,232,70,119,665,0,19914
164402,نور - نوشهر (نور - سي سنگان),1401/12/15 00:00:00,1401/12/16 00:00:00,1265,16781,15405,987,107,30,252,71,117,599,0,20435
164402,نور - نوشهر (نور - سي سنگان),1401/12/16 00:00:00,1401/12/17 00:00:00,1405,20113,18709,1045,93,16,250,67,76,626,0,20895
164402,نور - نوشهر (نور - سي سنگان),1401/12/17 00:00:00,1401/12/18 00:00:00,1335,18312,17104,890,103,24,191,69,99,623,0,20350
164402,نور - نوشهر (نور - سي سنگان),1401/12/18 00:00:00,1401/12/19 00:00:00,1335,19798,18736,761,102,27,172,70,84,804,0,22185
164402,نور - نوشهر (نور - سي سنگان),1401/12/19 00:00:00,1401/12/20 00:00:00,1370,17963,17123,560,92,26,162,71,145,552,0,19189
164402,نور - نوشهر (نور - سي سنگان),1401/12/20 00:00:00,1401/12/21 00:00:00,1245,16915,15762,851,92,17,193,70,104,635,0,21109
164402,نور - نوشهر (نور - سي سنگان),1401/12/21 00:00:00,1401/12/22 00:00:00,1190,16193,14933,931,124,11,194,70,75,558,0,20591
164402,نور - نوشهر (نور - سي سنگان),1401/12/22 00:00:00,1401/12/23 00:00:00,1170,16516,15290,908,110,13,195,68,82,636,0,20621
164402,نور - نوشهر (نور - سي سنگان),1401/12/23 00:00:00,1401/12/24 00:00:00,1305,17548,16201,1019,113,16,199,70,114,571,0,19903
164402,نور - نوشهر (نور - سي سنگان),1401/12/24 00:00:00,1401/12/25 00:00:00,1360,19237,17789,1043,140,30,235,67,89,642,0,20895
164402,نور - نوشهر (نور - سي سنگان),1401/12/25 00:00:00,1401/12/26 00:00:00,1335,19551,18317,886,108,24,216,67,83,676,0,21686
164402,نور - نوشهر (نور - سي سنگان),1401/12/26 00:00:00,1401/12/27 00:00:00,1360,18797,17883,677,90,18,129,69,133,604,0,20642
164402,نور - نوشهر (نور - سي سنگان),1401/12/27 00:00:00,1401/12/28 00:00:00,1300,20746,19797,720,71,20,138,70,133,793,0,24281
164402,نور - نوشهر (نور - سي سنگان),1401/12/28 00:00:00,1401/12/29 00:00:00,1115,21454,20878,436,51,15,74,70,120,838,0,24643
164402,نور - نوشهر (نور - سي سنگان),1401/12/29 00:00:00,1401/12/29 23:50:00,1395,25381,25020,254,47,25,35,70,194,1091,0,26079
164402,نور - نوشهر (نور - سي سنگان),1402/01/01 00:25:00,1402/01/02 00:00:00,1380,25667,25530,88,18,11,20,67,113,856,0,26873
164402,نور - نوشهر (نور - سي سنگان),1402/01/02 01:05:00,1402/01/03 00:00:00,1195,26111,25931,116,21,16,27,64,33,906,0,33842
164402,نور - نوشهر (نور - سي سنگان),1402/01/03 00:00:00,1402/01/04 00:00:00,1360,36580,36292,207,40,14,27,68,144,2190,0,39397
164402,نور - نوشهر (نور - سي سنگان),1402/01/04 00:00:00,1402/01/05 00:00:00,1260,38290,37965,223,46,28,28,65,222,2612,0,43653
164402,نور - نوشهر (نور - سي سنگان),1402/01/05 00:00:00,1402/01/06 00:00:00,1335,40347,39903,328,64,19,33,67,195,2805,0,44956
164402,نور - نوشهر (نور - سي سنگان),1402/01/06 00:00:00,1402/01/07 00:00:00,1050,26575,26093,336,55,21,70,68,129,1591,0,40131
164402,نور - نوشهر (نور - سي سنگان),1402/01/07 00:00:00,1402/01/08 00:00:00,1065,27147,26522,459,54,19,93,67,139,1777,0,39483
164402,نور - نوشهر (نور - سي سنگان),1402/01/08 00:00:00,1402/01/09 00:00:00,1190,29399,28786,451,70,21,71,66,139,1721,0,38399
164402,نور - نوشهر (نور - سي سنگان),1402/01/09 00:00:00,1402/01/10 00:00:00,1145,28090,27458,454,78,17,83,64,129,1451,0,39098
164402,نور - نوشهر (نور - سي سنگان),1402/01/10 00:00:00,1402/01/11 00:00:00,1285,31812,31117,464,97,30,104,67,145,1924,0,37199
164402,نور - نوشهر (نور - سي سنگان),1402/01/11 00:00:00,1402/01/12 00:00:00,1075,23818,23447,240,69,14,48,63,24,927,0,30251
164402,نور - نوشهر (نور - سي سنگان),1402/01/12 00:00:00,1402/01/13 00:00:00,1265,21885,21641,165,36,17,26,65,45,572,0,25574
164402,نور - نوشهر (نور - سي سنگان),1402/01/13 00:00:00,1402/01/14 00:00:00,1440,20232,20100,79,24,9,20,71,162,627,0,20232
164402,نور - نوشهر (نور - سي سنگان),1402/01/14 00:00:00,1402/01/15 00:00:00,1320,19433,18878,400,45,17,93,71,131,992,0,22214
164402,نور - نوشهر (نور - سي سنگان),1402/01/15 00:00:00,1402/01/16 00:00:00,1330,18672,17688,689,109,17,169,68,135,614,0,20776
164402,نور - نوشهر (نور - سي سنگان),1402/01/16 00:00:00,1402/01/17 00:00:00,1250,16767,15591,762,105,24,285,69,150,809,0,20559
164402,نور - نوشهر (نور - سي سنگان),1402/01/17 00:00:00,1402/01/18 00:00:00,1440,19435,18376,706,119,21,213,71,143,645,0,19435
164402,نور - نوشهر (نور - سي سنگان),1402/01/18 00:00:00,1402/01/19 00:00:00,1350,15676,15041,386,92,14,143,71,170,383,0,16999
164402,نور - نوشهر (نور - سي سنگان),1402/01/19 00:00:00,1402/01/20 00:00:00,1335,16306,15234,752,120,19,181,68,82,477,0,18265
164402,نور - نوشهر (نور - سي سنگان),1402/01/20 00:00:00,1402/01/21 00:00:00,1135,11924,10996,690,87,18,133,71,85,295,0,17036
164402,نور - نوشهر (نور - سي سنگان),1402/01/21 00:00:00,1402/01/22 00:00:00,1245,15421,14316,772,121,12,200,70,94,432,0,17596
164402,نور - نوشهر (نور - سي سنگان),1402/01/22 00:20:00,1402/01/23 00:00:00,1305,16700,15598,830,96,20,156,72,156,481,0,19064
164402,نور - نوشهر (نور - سي سنگان),1402/01/23 00:00:00,1402/01/24 00:00:00,1365,16120,15289,548,108,16,159,71,145,430,0,17593
164402,نور - نوشهر (نور - سي سنگان),1402/01/24 00:00:00,1402/01/25 00:00:00,1385,19057,18186,630,86,12,143,65,128,536,0,20120
164402,نور - نوشهر (نور - سي سنگان),1402/01/25 00:00:00,1402/01/26 00:00:00,1330,16471,15762,448,95,19,147,70,165,529,0,18363
164402,نور - نوشهر (نور - سي سنگان),1402/01/26 00:00:00,1402/01/27 00:00:00,1385,18536,16965,1108,193,29,241,73,359,741,0,19217
164402,نور - نوشهر (نور - سي سنگان),1402/01/27 00:00:00,1402/01/28 00:00:00,1370,16128,14920,889,101,23,195,65,45,392,0,17391
164402,نور - نوشهر (نور - سي سنگان),1402/01/28 00:00:00,1402/01/29 00:00:00,1405,16596,15381,869,135,22,189,69,107,499,0,17206
164402,نور - نوشهر (نور - سي سنگان),1402/01/29 00:00:00,1402/01/30 00:00:00,1335,17319,16065,886,104,26,238,69,135,603,0,19293
164402,نور - نوشهر (نور - سي سنگان),1402/01/30 00:00:00,1402/01/31 00:00:00,1220,18093,17074,704,110,12,193,71,114,768,0,22893
164402,نور - نوشهر (نور - سي سنگان),1402/01/31 00:00:00,1402/02/01 00:00:00,1265,23480,22164,940,178,28,170,71,274,1639,0,28831
164402,نور - نوشهر (نور - سي سنگان),1398/01/01 00:00:00,1398/01/02 00:00:00,1233,18472,18247,114,51,60,0,83,349,1618,0,23186
164402,نور - نوشهر (نور - سي سنگان),1398/01/02 00:00:00,1398/01/03 00:00:00,932,15788,15558,107,57,66,0,82,281,1940,0,31093
164402,نور - نوشهر (نور - سي سنگان),1398/01/03 00:00:00,1398/01/04 00:00:00,825,13437,13216,94,75,52,0,83,248,1477,0,15882
164402,نور - نوشهر (نور - سي سنگان),1398/01/04 00:00:00,1398/01/05 00:00:00,721,11769,11558,109,57,45,0,82,223,1197,0,17347
164402,نور - نوشهر (نور - سي سنگان),1398/01/05 00:00:00,1398/01/06 00:00:00,771,11057,10832,99,71,55,0,74,40,762,0,23597
164402,نور - نوشهر (نور - سي سنگان),1398/01/06 00:00:00,1398/01/07 00:00:00,907,13865,13548,124,115,78,0,77,68,1445,0,23830
164402,نور - نوشهر (نور - سي سنگان),1398/01/07 00:00:00,1398/01/08 00:00:00,668,8258,7993,90,112,63,0,80,73,601,0,25195
164402,نور - نوشهر (نور - سي سنگان),1398/01/08 00:00:00,1398/01/09 00:00:00,952,17613,17203,157,139,114,0,79,206,1947,0,27853
164402,نور - نوشهر (نور - سي سنگان),1398/01/09 00:00:00,1398/01/10 00:00:00,942,17309,16928,138,137,106,0,79,164,2042,0,25699
164402,نور - نوشهر (نور - سي سنگان),1398/01/10 00:00:00,1398/01/11 00:00:00,730,10072,9775,117,98,82,0,82,228,728,0,25139
164402,نور - نوشهر (نور - سي سنگان),1398/01/11 00:00:00,1398/01/11 23:55:00,874,13767,13321,164,158,124,0,75,26,1131,0,23345
164402,نور - نوشهر (نور - سي سنگان),1398/01/12 00:00:00,1398/01/13 00:00:00,787,11164,10860,110,101,93,0,76,72,765,0,15656
164402,نور - نوشهر (نور - سي سنگان),1398/01/13 00:00:00,1398/01/14 00:00:00,1269,20262,20022,87,80,72,1,81,260,2011,0,23188
164402,نور - نوشهر (نور - سي سنگان),1398/01/14 00:00:00,1398/01/15 00:00:00,784,8476,8233,113,64,65,1,84,176,557,0,24238
164402,نور - نوشهر (نور - سي سنگان),1398/01/15 00:00:00,1398/01/16 00:00:00,1434,21541,20927,224,238,152,0,83,422,1827,0,21581
164402,نور - نوشهر (نور - سي سنگان),1398/01/16 00:00:00,1398/01/17 00:00:00,1371,15577,15104,175,141,157,0,85,352,1013,0,16612
164402,نور - نوشهر (نور - سي سنگان),1398/01/17 00:05:00,1398/01/18 00:00:00,1333,15204,14382,317,297,207,1,84,330,962,0,16518
164402,نور - نوشهر (نور - سي سنگان),1398/01/18 00:00:00,1398/01/19 00:00:00,1383,13702,12560,513,392,237,0,83,260,770,0,14589
164402,نور - نوشهر (نور - سي سنگان),1398/01/19 00:00:00,1398/01/20 00:00:00,1321,13213,11960,493,483,276,1,84,321,706,0,14565
164402,نور - نوشهر (نور - سي سنگان),1398/01/20 00:00:00,1398/01/21 00:00:00,1432,15841,14284,704,556,297,0,85,403,1051,0,15938
164402,نور - نوشهر (نور - سي سنگان),1398/01/21 00:00:00,1398/01/22 00:00:00,1439,17683,16112,659,535,374,3,85,397,1306,0,17690
164402,نور - نوشهر (نور - سي سنگان),1398/01/22 00:00:00,1398/01/23 00:00:00,1393,16907,15555,531,522,297,2,84,320,1229,0,17677
164402,نور - نوشهر (نور - سي سنگان),1398/01/23 00:00:00,1398/01/24 00:00:00,1315,12532,11782,255,283,211,1,82,236,613,0,14274
164402,نور - نوشهر (نور - سي سنگان),1398/01/24 00:00:00,1398/01/25 00:00:00,1363,14065,12725,622,469,249,0,84,318,851,0,15078
164402,نور - نوشهر (نور - سي سنگان),1398/01/25 00:00:00,1398/01/26 00:00:00,1360,14918,13314,708,544,350,2,84,355,1016,0,16135
164402,نور - نوشهر (نور - سي سنگان),1398/01/26 00:00:00,1398/01/27 00:00:00,1371,15012,13520,689,522,279,2,84,306,1001,0,16023
164402,نور - نوشهر (نور - سي سنگان),1398/01/27 00:00:00,1398/01/28 00:00:00,1409,16507,14794,759,596,356,2,84,329,1230,0,17012
164402,نور - نوشهر (نور - سي سنگان),1398/01/28 00:00:00,1398/01/29 00:00:00,1351,17094,15611,627,568,288,0,84,352,1296,0,18234
164402,نور - نوشهر (نور - سي سنگان),1398/01/29 00:00:00,1398/01/30 00:00:00,387,2764,2424,123,133,84,0,82,58,105,0,20422
164402,نور - نوشهر (نور - سي سنگان),1398/01/30 00:00:00,1398/01/31 00:00:00,1315,15494,14795,286,224,188,1,76,63,908,0,17360
164402,نور - نوشهر (نور - سي سنگان),1398/01/31 00:00:00,1398/01/31 23:55:00,1260,16833,15671,553,373,236,0,78,127,1162,0,19494
