Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163751,نور - محمودآباد,1398/12/01 00:00:00,1398/12/02 00:00:00,1045.0,14001,13002,632,144,94,129,78.0,20967.0,656.0,931.0,0.0
163751,نور - محمودآباد,1398/12/02 00:00:00,1398/12/03 00:00:00,1155.0,15296,14462,444,176,92,122,80.0,20918.0,912.0,1242.0,0.0
163751,نور - محمودآباد,1398/12/03 00:00:00,1398/12/04 00:00:00,1210.0,17698,16223,973,227,100,175,80.0,20565.0,1295.0,1255.0,0.0
163751,نور - محمودآباد,1398/12/04 00:00:00,1398/12/04 05:55:00,355.0,1220,1005,134,30,22,29,70.0,18316.0,58.0,16.0,0.0
163751,نور - محمودآباد,1398/12/07 12:55:00,1398/12/08 00:00:00,610.0,9983,9202,492,128,68,93,75.0,17161.0,509.0,641.0,0.0
163751,نور - محمودآباد,1398/12/08 00:00:00,1398/12/09 00:00:00,1280.0,15713,14287,873,264,93,196,77.0,19264.0,1096.0,1030.0,0.0
163751,نور - محمودآباد,1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,16400,15051,894,201,94,160,78.0,16887.0,1567.0,1036.0,0.0
163751,نور - محمودآباد,1398/12/10 00:00:00,1398/12/11 00:00:00,1270.0,15641,13531,1451,374,84,201,80.0,18421.0,1179.0,1424.0,0.0
163751,نور - محمودآباد,1398/12/11 00:00:00,1398/12/12 00:00:00,1325.0,15389,12731,1751,594,60,253,79.0,17411.0,811.0,1386.0,0.0
163751,نور - محمودآباد,1398/12/12 00:00:00,1398/12/13 00:00:00,1380.0,13939,11493,1571,580,61,234,79.0,14879.0,825.0,1052.0,0.0
163751,نور - محمودآباد,1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,14295,11981,1463,543,58,250,78.0,15289.0,710.0,1013.0,0.0
163751,نور - محمودآباد,1398/12/14 00:00:00,1398/12/15 00:00:00,1380.0,16356,13380,2010,616,87,263,81.0,17445.0,1270.0,1631.0,0.0
163751,نور - محمودآباد,1398/12/15 00:00:00,1398/12/16 00:00:00,1270.0,14964,12322,1778,574,61,229,81.0,18076.0,1171.0,1532.0,0.0
