Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/01 00:00:00,1398/12/02 00:00:00,1435,17897,16176,1088,315,193,125,66,85,1517,0,17930
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/02 00:00:00,1398/12/03 00:00:00,1350,13123,12102,574,216,144,87,69,129,896,0,14317
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/03 00:00:00,1398/12/04 00:00:00,1395,15836,14009,1227,287,189,124,67,105,1131,0,16673
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/04 00:00:00,1398/12/05 00:00:00,1435,17112,15067,1344,392,165,144,66,92,1383,0,17150
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/05 00:00:00,1398/12/06 00:00:00,1395,16126,14200,1294,351,164,117,66,81,1272,0,16611
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/06 00:00:00,1398/12/07 00:00:00,1340,13788,12021,1153,319,155,140,63,50,999,0,15313
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/07 00:00:00,1398/12/08 00:00:00,1395,12944,11440,982,272,157,93,63,43,617,0,13487
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/08 00:00:00,1398/12/09 00:00:00,1395,15928,14031,1274,338,161,124,70,184,1256,0,16052
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/09 00:00:00,1398/12/10 00:00:00,1395,12630,11222,884,292,115,117,69,205,870,0,12736
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/10 00:00:00,1398/12/11 00:00:00,1400,15062,13451,854,457,136,164,69,180,1227,0,15510
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/11 00:00:00,1398/12/12 00:00:00,1435,14463,13661,0,470,133,199,68,143,1039,0,14497
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/12 00:00:00,1398/12/13 00:00:00,1400,11849,11131,0,431,137,150,67,70,596,0,12332
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/13 00:00:00,1398/12/14 00:00:00,1435,12571,11810,0,464,132,165,67,91,653,0,12598
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/14 00:00:00,1398/12/15 00:00:00,1395,14439,13624,0,479,149,187,67,162,1254,0,15203
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/15 00:00:00,1398/12/16 00:00:00,1325,13414,12675,0,459,120,160,70,176,1007,0,15044
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/16 00:00:00,1398/12/17 00:00:00,1435,11131,10573,0,333,107,118,70,207,614,0,11149
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/17 00:00:00,1398/12/18 00:00:00,1435,12898,11479,707,436,106,170,70,173,806,0,12928
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/18 00:00:00,1398/12/19 00:00:00,1435,10749,8501,1484,513,95,156,70,154,535,0,10768
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/19 00:00:00,1398/12/20 00:00:00,1430,11893,9331,1752,502,130,178,71,161,750,0,11943
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/20 00:00:00,1398/12/21 00:00:00,1430,11480,8833,1795,537,135,180,69,149,724,0,11521
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/21 00:00:00,1398/12/22 00:00:00,1435,11360,8798,1764,479,139,180,70,182,693,0,11389
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/22 00:00:00,1398/12/23 00:00:00,1360,10264,7987,1462,522,122,171,69,134,614,0,10819
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/23 00:00:00,1398/12/24 00:00:00,1435,7799,6259,962,338,104,136,71,146,267,0,7814
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/24 00:00:00,1398/12/25 00:00:00,1395,10422,8468,1299,389,116,150,71,174,600,0,10843
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/25 00:00:00,1398/12/26 00:00:00,1390,10049,8479,962,342,122,144,72,160,445,0,10491
164451,نوشهر - نور (نوشهر - سي سنگان),1398/12/26 00:00:00,1398/12/27 00:00:00,1440,10309,8902,860,337,100,110,71,163,428,0,10309
