Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164501,کمربندي نوشهر - چالوس,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,23924,21687,627,1277,144,189,61.0,23924.0,80.0,5702.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,19041,17743,376,675,97,150,66.0,19041.0,87.0,3465.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,23330,21117,576,1361,94,182,64.0,23330.0,92.0,5531.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,22845,20391,625,1455,154,220,66.0,22845.0,118.0,5184.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,22890,20419,647,1503,134,187,65.0,22890.0,94.0,5219.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,21033,18701,617,1381,120,214,63.0,21033.0,83.0,4379.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,18315,16443,478,1152,109,133,62.0,18315.0,38.0,3350.0,3.0
164501,کمربندي نوشهر - چالوس,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,21564,19520,623,1132,103,186,65.0,21564.0,123.0,4638.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,16793,15447,372,768,89,117,67.0,16793.0,106.0,2810.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,21491,19203,619,1381,132,156,66.0,21491.0,107.0,4581.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,19937,17632,591,1461,95,158,63.0,19937.0,78.0,4000.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,17700,15796,524,1172,99,109,61.0,17700.0,46.0,3005.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,17648,15672,520,1212,91,153,62.0,17648.0,50.0,2992.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,20939,18718,583,1357,105,176,65.0,20939.0,91.0,4387.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,21272,19055,655,1310,102,150,65.0,21272.0,99.0,4462.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,15274,13915,379,791,71,118,66.0,15274.0,79.0,2231.0,0.0
164501,کمربندي نوشهر - چالوس,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,18568,16550,544,1271,80,123,64.0,18568.0,78.0,3410.0,0.0
