Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164701,نکا - بهشهر,1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,23067,20397,1362,543,301,464,89.0,23113.0,6346.0,1957.0,0.0
164701,نکا - بهشهر,1398/12/02 00:00:00,1398/12/03 00:00:00,1395.0,17654,15698,892,393,282,389,92.0,18126.0,5979.0,1201.0,0.0
164701,نکا - بهشهر,1398/12/03 00:00:00,1398/12/04 00:00:00,1320.0,18218,16005,1088,419,277,429,90.0,20673.0,5512.0,1439.0,0.0
164701,نکا - بهشهر,1398/12/04 00:00:00,1398/12/05 00:00:00,1395.0,20845,18277,1357,498,313,400,91.0,21820.0,6744.0,1939.0,0.0
164701,نکا - بهشهر,1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,21769,18859,1540,575,290,505,90.0,21821.0,6741.0,1908.0,0.0
164701,نکا - بهشهر,1398/12/06 00:00:00,1398/12/07 00:00:00,1300.0,17282,14950,1249,432,241,410,87.0,20042.0,4019.0,1371.0,0.0
164701,نکا - بهشهر,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,17014,14890,1026,417,271,410,80.0,17052.0,1661.0,820.0,0.0
164701,نکا - بهشهر,1398/12/08 00:00:00,1398/12/09 00:00:00,1355.0,18846,16653,1101,478,232,382,89.0,20407.0,5158.0,1466.0,0.0
164701,نکا - بهشهر,1398/12/09 00:00:00,1398/12/10 00:00:00,1395.0,15165,13270,884,383,277,351,90.0,15499.0,4626.0,932.0,0.0
164701,نکا - بهشهر,1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,19542,16928,1377,483,277,477,91.0,19592.0,6199.0,1490.0,0.0
164701,نکا - بهشهر,1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,18966,16117,1599,529,247,474,87.0,19013.0,4676.0,1458.0,0.0
164701,نکا - بهشهر,1398/12/12 00:00:00,1398/12/13 00:00:00,1390.0,15870,13508,1134,484,253,491,83.0,16046.0,2236.0,747.0,0.0
164701,نکا - بهشهر,1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,16399,14100,1122,474,246,457,85.0,16433.0,3275.0,874.0,0.0
164701,نکا - بهشهر,1398/12/14 00:00:00,1398/12/15 00:00:00,1355.0,16846,14561,1160,480,215,430,90.0,18251.0,5176.0,1259.0,0.0
164701,نکا - بهشهر,1398/12/15 00:00:00,1398/12/16 00:00:00,1395.0,17445,15209,1194,429,219,394,89.0,18147.0,5254.0,1202.0,0.0
164701,نکا - بهشهر,1398/12/16 00:00:00,1398/12/17 00:00:00,1315.0,11638,9881,854,363,186,354,91.0,13310.0,3700.0,576.0,0.0
164701,نکا - بهشهر,1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,15130,12926,1120,459,213,412,92.0,15165.0,5172.0,956.0,0.0
164701,نکا - بهشهر,1398/12/18 00:00:00,1398/12/19 00:00:00,1395.0,11416,9440,1032,412,166,366,90.0,11936.0,3578.0,487.0,0.0
164701,نکا - بهشهر,1398/12/19 00:00:00,1398/12/20 00:00:00,1400.0,14339,12225,1106,382,213,413,89.0,14945.0,4232.0,822.0,0.0
164701,نکا - بهشهر,1398/12/20 00:00:00,1398/12/21 00:00:00,1435.0,15094,12689,1314,429,232,430,88.0,15134.0,4075.0,878.0,0.0
164701,نکا - بهشهر,1398/12/21 00:00:00,1398/12/22 00:00:00,1395.0,14865,12466,1286,456,198,459,90.0,15487.0,4378.0,957.0,0.0
164701,نکا - بهشهر,1398/12/22 00:00:00,1398/12/23 00:00:00,1435.0,14968,12662,1168,463,201,474,90.0,15005.0,4601.0,891.0,0.0
164701,نکا - بهشهر,1398/12/23 00:00:00,1398/12/24 00:00:00,1390.0,10803,9100,866,339,176,322,91.0,10998.0,3509.0,445.0,0.0
164701,نکا - بهشهر,1398/12/24 00:00:00,1398/12/25 00:00:00,1395.0,16780,14649,1138,396,199,398,90.0,17601.0,5360.0,914.0,0.0
164701,نکا - بهشهر,1398/12/25 00:00:00,1398/12/26 00:00:00,1395.0,22291,19922,1265,477,203,424,87.0,23195.0,6373.0,854.0,0.0
164701,نکا - بهشهر,1398/12/26 00:00:00,1398/12/27 00:00:00,1380.0,22389,20312,1085,399,211,382,86.0,23767.0,5777.0,901.0,0.0
164701,نکا - بهشهر,1398/12/27 00:00:00,1398/12/28 00:00:00,1415.0,22567,20506,1073,406,173,409,85.0,23122.0,5483.0,865.0,0.0
164701,نکا - بهشهر,1398/12/28 00:00:00,1398/12/29 00:00:00,1380.0,22861,21155,910,334,193,269,87.0,23550.0,6375.0,877.0,0.0
164701,نکا - بهشهر,1398/12/29 00:00:00,1399/01/01 00:00:00,1355.0,17293,16302,511,183,136,161,91.0,18746.0,5858.0,466.0,0.0
164701,نکا - بهشهر,1400/01/01 00:00:00,1400/01/02 00:00:00,1255.0,14425,13719,393,110,63,140,97.0,17164.0,8895.0,1246.0,0.0
164701,نکا - بهشهر,1400/01/02 00:00:00,1400/01/03 00:00:00,1330.0,17270,16125,673,162,84,226,98.0,18344.0,10640.0,1600.0,0.0
164701,نکا - بهشهر,1400/01/03 00:00:00,1400/01/04 00:00:00,1340.0,18106,16717,707,318,121,243,96.0,20373.0,10471.0,1824.0,0.0
164701,نکا - بهشهر,1400/01/04 00:00:00,1400/01/05 00:00:00,1340.0,19190,17596,824,372,102,296,96.0,21073.0,11525.0,2018.0,0.0
164701,نکا - بهشهر,1400/01/05 00:00:00,1400/01/06 00:00:00,1345.0,21857,20024,960,403,133,337,95.0,22882.0,11847.0,2614.0,0.0
164701,نکا - بهشهر,1400/01/06 00:00:00,1400/01/07 00:00:00,1290.0,20038,18356,862,369,131,320,96.0,23776.0,12103.0,2351.0,0.0
164701,نکا - بهشهر,1400/01/07 00:00:00,1400/01/08 00:00:00,1440.0,24204,21490,1382,724,147,461,95.0,24204.0,13476.0,2922.0,0.0
164701,نکا - بهشهر,1400/01/08 00:00:00,1400/01/09 00:00:00,1440.0,22760,20301,1146,645,167,501,94.0,22760.0,12170.0,2594.0,0.0
164701,نکا - بهشهر,1400/01/09 00:00:00,1400/01/10 00:00:00,1340.0,20563,18300,1075,598,117,473,95.0,22936.0,11244.0,2370.0,0.0
164701,نکا - بهشهر,1400/01/10 00:00:00,1400/01/11 00:00:00,1390.0,22810,19931,1302,887,156,534,95.0,24015.0,12438.0,2799.0,0.0
164701,نکا - بهشهر,1400/01/11 00:00:00,1400/01/11 23:35:00,1365.0,23887,20901,1453,839,187,507,94.0,24410.0,12448.0,3122.0,0.0
164701,نکا - بهشهر,1400/01/12 00:35:00,1400/01/13 00:00:00,1355.0,19010,16965,982,494,185,384,94.0,20298.0,10612.0,1878.0,0.0
164701,نکا - بهشهر,1400/01/13 00:00:00,1400/01/14 00:00:00,1440.0,13847,12922,419,176,119,211,96.0,13847.0,7929.0,888.0,0.0
164701,نکا - بهشهر,1400/01/14 00:00:00,1400/01/15 00:00:00,1340.0,19135,16880,1083,601,139,432,94.0,20478.0,10053.0,1929.0,0.0
164701,نکا - بهشهر,1400/01/15 00:00:00,1400/01/16 00:00:00,1410.0,20488,17609,1158,868,175,678,96.0,21162.0,10775.0,2166.0,0.0
164701,نکا - بهشهر,1400/01/16 00:00:00,1400/01/17 00:00:00,1400.0,20120,17168,1045,1050,152,705,98.0,20866.0,10334.0,2163.0,0.0
164701,نکا - بهشهر,1400/01/17 00:00:00,1400/01/18 00:00:00,1355.0,18946,16077,1017,1012,152,688,100.0,20389.0,10391.0,1966.0,0.0
164701,نکا - بهشهر,1400/01/18 00:00:00,1400/01/19 00:00:00,1380.0,20464,17488,1082,1030,145,719,99.0,21270.0,11139.0,2246.0,0.0
164701,نکا - بهشهر,1400/01/19 00:10:00,1400/01/19 23:50:00,1390.0,19794,16966,1062,983,132,651,99.0,20552.0,10881.0,2082.0,0.0
164701,نکا - بهشهر,1400/01/20 00:00:00,1400/01/21 00:00:00,1410.0,15529,13455,701,699,112,562,102.0,15912.0,9199.0,1181.0,0.0
164701,نکا - بهشهر,1400/01/21 00:00:00,1400/01/22 00:00:00,1385.0,17613,14860,987,1025,137,604,100.0,18575.0,10076.0,1602.0,0.0
164701,نکا - بهشهر,1400/01/22 00:00:00,1400/01/23 00:00:00,1380.0,17206,14181,1091,1103,146,685,98.0,18097.0,8785.0,1588.0,0.0
164701,نکا - بهشهر,1400/01/23 00:00:00,1400/01/24 00:00:00,1375.0,17595,14560,1053,1135,156,691,98.0,18569.0,9052.0,1787.0,0.0
164701,نکا - بهشهر,1400/01/24 00:00:00,1400/01/25 00:00:00,1370.0,17596,14405,1185,1192,145,669,99.0,18388.0,9403.0,1731.0,0.0
164701,نکا - بهشهر,1400/01/25 00:00:00,1400/01/26 00:00:00,1375.0,16929,13794,1117,1170,142,706,99.0,17713.0,9016.0,1675.0,0.0
164701,نکا - بهشهر,1400/01/26 00:00:00,1400/01/27 00:00:00,1400.0,16587,13643,1098,1030,115,701,100.0,17144.0,9148.0,1522.0,0.0
164701,نکا - بهشهر,1400/01/27 00:00:00,1400/01/28 00:00:00,1400.0,12353,10313,725,659,112,544,101.0,12783.0,6994.0,792.0,0.0
164701,نکا - بهشهر,1400/01/28 00:00:00,1400/01/29 00:00:00,1345.0,16150,13321,1039,973,152,665,99.0,17352.0,8497.0,1502.0,0.0
164701,نکا - بهشهر,1400/01/29 00:00:00,1400/01/30 00:00:00,1420.0,17486,14160,1318,1124,149,735,98.0,17795.0,8933.0,1662.0,0.0
164701,نکا - بهشهر,1400/01/30 00:00:00,1400/01/31 00:00:00,1410.0,17249,13986,1213,1167,149,734,99.0,17799.0,9256.0,1589.0,0.0
164701,نکا - بهشهر,1400/01/31 00:00:00,1400/02/01 00:00:00,1385.0,16707,13580,1106,1149,151,721,98.0,17444.0,8528.0,1507.0,0.0
164701,نکا - بهشهر,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,22488,19978,1105,679,296,430,91.0,22488.0,3087.0,5070.0,0.0
164701,نکا - بهشهر,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,21693,19305,946,665,282,495,89.0,21693.0,2531.0,4743.0,0.0
164701,نکا - بهشهر,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,23005,20417,1085,681,305,517,91.0,23005.0,3285.0,5324.0,0.0
164701,نکا - بهشهر,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,24519,21932,1133,714,265,475,90.0,24519.0,3394.0,5967.0,0.0
164701,نکا - بهشهر,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,25163,22636,1084,695,271,477,91.0,25163.0,3736.0,6350.0,0.0
164701,نکا - بهشهر,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,22526,20563,819,531,232,381,92.0,22526.0,3737.0,5109.0,0.0
164701,نکا - بهشهر,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,22716,20346,971,665,290,444,91.0,22716.0,3379.0,5121.0,0.0
164701,نکا - بهشهر,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,21946,19613,936,683,261,453,88.0,21946.0,2638.0,4824.0,0.0
164701,نکا - بهشهر,1400/12/09 00:00:00,1400/12/09 23:55:00,1435.0,24785,22257,1055,718,288,467,90.0,24846.0,3430.0,6041.0,0.0
164701,نکا - بهشهر,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,22112,19785,1004,573,294,456,92.0,22112.0,3699.0,4753.0,0.0
164701,نکا - بهشهر,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,24817,22238,1104,722,286,467,92.0,24817.0,3787.0,6120.0,0.0
164701,نکا - بهشهر,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,25348,22807,1125,701,286,429,92.0,25348.0,3763.0,6408.0,0.0
164701,نکا - بهشهر,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,21674,19818,803,513,208,332,89.0,21674.0,3023.0,4774.0,0.0
164701,نکا - بهشهر,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,23389,21055,955,667,264,448,91.0,23389.0,3358.0,5440.0,0.0
164701,نکا - بهشهر,1400/12/15 00:00:00,1400/12/16 00:00:00,1440.0,23435,20884,1100,717,266,468,89.0,23435.0,2892.0,5394.0,0.0
164701,نکا - بهشهر,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,22980,20429,1070,751,267,463,90.0,22980.0,2891.0,5076.0,0.0
164701,نکا - بهشهر,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,23852,21174,1153,755,293,477,90.0,23852.0,3213.0,5594.0,0.0
164701,نکا - بهشهر,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,24979,22265,1193,767,294,460,91.0,24979.0,3580.0,6236.0,0.0
164701,نکا - بهشهر,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,25313,22758,1130,676,282,467,88.0,25313.0,2492.0,6205.0,0.0
164701,نکا - بهشهر,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,21608,19704,813,519,233,339,91.0,21608.0,2986.0,4538.0,0.0
164701,نکا - بهشهر,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,23772,21475,1018,638,258,383,86.0,23772.0,1870.0,5597.0,0.0
164701,نکا - بهشهر,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,24093,21550,1133,722,262,426,89.0,24093.0,2834.0,5687.0,0.0
164701,نکا - بهشهر,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,25215,22465,1206,837,276,431,90.0,25215.0,3408.0,5991.0,0.0
164701,نکا - بهشهر,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,26296,23560,1262,800,264,410,88.0,26296.0,2628.0,6864.0,0.0
164701,نکا - بهشهر,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,28368,25733,1205,744,265,421,78.0,28368.0,762.0,8054.0,0.0
164701,نکا - بهشهر,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,31610,29104,1161,656,255,434,88.0,31610.0,3340.0,9658.0,0.0
164701,نکا - بهشهر,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,33117,30918,1071,560,242,326,91.0,33117.0,4755.0,10438.0,0.0
164701,نکا - بهشهر,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,33559,31556,959,498,210,336,91.0,33559.0,5037.0,10704.0,0.0
164701,نکا - بهشهر,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,24935,23994,444,198,139,160,92.0,24935.0,4418.0,5507.0,0.0
164701,نکا - بهشهر,1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,22445,20072,1148,565,166,494,102.0,22445.0,1801.0,5203.0,0.0
164701,نکا - بهشهر,1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,23067,20577,1234,544,162,550,103.0,23067.0,1986.0,5561.0,0.0
164701,نکا - بهشهر,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,24377,21820,1226,601,153,577,103.0,24377.0,2003.0,6258.0,0.0
164701,نکا - بهشهر,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,24820,22395,1139,550,156,580,105.0,24820.0,2443.0,6307.0,0.0
164701,نکا - بهشهر,1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,20443,18565,831,406,130,511,98.0,20443.0,921.0,4256.0,0.0
164701,نکا - بهشهر,1401/12/06 00:00:00,1401/12/07 00:00:00,1440.0,21998,19885,949,474,145,545,103.0,21998.0,1793.0,4867.0,0.0
164701,نکا - بهشهر,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,22685,20174,1212,586,155,558,102.0,22685.0,1800.0,5206.0,0.0
164701,نکا - بهشهر,1401/12/08 00:00:00,1401/12/09 00:00:00,1440.0,22619,20135,1155,556,181,592,102.0,22619.0,1753.0,5459.0,0.0
164701,نکا - بهشهر,1401/12/09 00:00:00,1401/12/10 00:00:00,1440.0,23201,20603,1223,573,167,635,102.0,23201.0,1759.0,5837.0,0.0
164701,نکا - بهشهر,1401/12/10 00:00:00,1401/12/11 00:00:00,1440.0,24402,21853,1141,609,158,641,101.0,24402.0,1648.0,6337.0,0.0
164701,نکا - بهشهر,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,24545,22043,1116,581,203,602,104.0,24545.0,2365.0,6143.0,0.0
164701,نکا - بهشهر,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,21413,19465,835,417,163,533,104.0,21413.0,1859.0,4736.0,0.0
164701,نکا - بهشهر,1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,22355,20065,1063,492,179,556,104.0,22355.0,1946.0,5215.0,0.0
164701,نکا - بهشهر,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,22452,19906,1222,533,179,612,102.0,22452.0,1768.0,5245.0,0.0
164701,نکا - بهشهر,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,23621,21119,1162,538,181,621,103.0,23621.0,1933.0,5849.0,0.0
