Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163558,حسين آباد - زاغمرز,1398/12/01 00:00:00,1398/12/02 00:00:00,1440,999,876,23,43,12,45,68,267,27,0,999
163558,حسين آباد - زاغمرز,1398/12/02 00:00:00,1398/12/03 00:00:00,1440,861,781,23,31,2,24,70,226,20,0,861
163558,حسين آباد - زاغمرز,1398/12/03 00:00:00,1398/12/04 00:00:00,1440,955,843,21,35,13,43,70,266,29,0,955
163558,حسين آباد - زاغمرز,1398/12/04 00:00:00,1398/12/05 00:00:00,1440,857,781,20,26,7,23,71,274,13,0,859
163558,حسين آباد - زاغمرز,1398/12/05 00:00:00,1398/12/06 00:00:00,1440,1065,949,25,39,5,47,71,337,35,0,1065
163558,حسين آباد - زاغمرز,1398/12/06 00:00:00,1398/12/07 00:00:00,1440,924,817,25,31,7,44,70,289,17,0,924
163558,حسين آباد - زاغمرز,1398/12/07 00:00:00,1398/12/08 00:00:00,1405,809,707,17,39,7,39,66,163,7,0,838
163558,حسين آباد - زاغمرز,1398/12/08 00:00:00,1398/12/09 00:00:00,1440,977,854,26,34,14,49,68,258,27,0,981
163558,حسين آباد - زاغمرز,1398/12/09 00:00:00,1398/12/10 00:00:00,1440,901,827,26,32,4,12,71,271,28,0,901
163558,حسين آباد - زاغمرز,1398/12/10 00:00:00,1398/12/11 00:00:00,1440,985,882,28,35,6,34,70,312,19,0,985
163558,حسين آباد - زاغمرز,1398/12/11 00:00:00,1398/12/12 00:00:00,1440,921,794,36,45,17,29,68,238,15,0,921
163558,حسين آباد - زاغمرز,1398/12/12 00:00:00,1398/12/13 00:00:00,1440,736,644,19,32,6,35,66,131,11,0,738
163558,حسين آباد - زاغمرز,1398/12/13 00:00:00,1398/12/14 00:00:00,1440,814,726,23,27,7,31,67,171,13,0,820
163558,حسين آباد - زاغمرز,1398/12/14 00:00:00,1398/12/15 00:00:00,1440,968,863,26,37,9,33,71,302,20,0,968
163558,حسين آباد - زاغمرز,1398/12/15 00:00:00,1398/12/16 00:00:00,1440,969,874,26,39,7,23,71,308,26,0,969
163558,حسين آباد - زاغمرز,1398/12/16 00:00:00,1398/12/17 00:00:00,1440,810,731,31,21,6,21,71,254,16,0,817
163558,حسين آباد - زاغمرز,1398/12/17 00:00:00,1398/12/18 00:00:00,1440,812,706,23,39,12,32,69,235,17,0,812
163558,حسين آباد - زاغمرز,1398/12/18 00:00:00,1398/12/19 00:00:00,1440,703,631,23,27,4,18,71,210,12,0,703
163558,حسين آباد - زاغمرز,1398/12/19 00:00:00,1398/12/20 00:00:00,1440,774,697,22,25,7,23,71,243,17,0,774
163558,حسين آباد - زاغمرز,1398/12/20 00:00:00,1398/12/21 00:00:00,1440,813,703,24,45,9,32,71,252,22,0,813
163558,حسين آباد - زاغمرز,1398/12/21 00:00:00,1398/12/22 00:00:00,1440,805,708,23,42,10,22,70,224,17,0,805
163558,حسين آباد - زاغمرز,1398/12/22 00:00:00,1398/12/23 00:00:00,1440,724,632,20,34,7,31,70,196,16,0,728
163558,حسين آباد - زاغمرز,1398/12/23 00:00:00,1398/12/24 00:00:00,1440,706,617,24,49,3,13,71,210,15,0,706
163558,حسين آباد - زاغمرز,1398/12/24 00:00:00,1398/12/25 00:00:00,1440,816,731,17,29,9,30,72,276,19,0,820
163558,حسين آباد - زاغمرز,1398/12/25 00:00:00,1398/12/26 00:00:00,1440,819,711,22,32,15,39,72,292,11,0,820
163558,حسين آباد - زاغمرز,1398/12/26 00:00:00,1398/12/27 00:00:00,1440,815,730,21,37,3,24,69,213,29,0,815
163558,حسين آباد - زاغمرز,1398/12/27 00:00:00,1398/12/28 00:00:00,1440,837,734,26,39,8,30,66,194,16,0,839
163558,حسين آباد - زاغمرز,1398/12/28 00:00:00,1398/12/29 00:00:00,1440,814,734,17,24,5,34,70,239,13,0,814
163558,حسين آباد - زاغمرز,1398/12/29 00:00:00,1399/01/01 00:00:00,1440,721,666,11,17,5,22,72,243,15,0,721
163558,حسين آباد - زاغمرز,1400/01/01 00:00:00,1400/01/02 00:00:00,1390,886,871,8,6,0,1,79,106,66,0,960
163558,حسين آباد - زاغمرز,1400/01/02 00:00:00,1400/01/03 00:00:00,1380,875,852,10,7,3,3,77,79,3,0,886
163558,حسين آباد - زاغمرز,1400/01/03 00:00:00,1400/01/04 00:00:00,1440,1052,1030,10,3,2,7,76,81,9,0,1052
163558,حسين آباد - زاغمرز,1400/01/04 00:00:00,1400/01/05 00:00:00,1440,1147,1100,23,10,10,4,78,119,21,0,1147
163558,حسين آباد - زاغمرز,1400/01/05 00:00:00,1400/01/06 00:00:00,1440,1153,1103,18,11,13,8,76,81,8,0,1587
163558,حسين آباد - زاغمرز,1400/01/06 00:00:00,1400/01/07 00:00:00,1400,1043,1008,14,10,3,8,73,75,8,0,1206
163558,حسين آباد - زاغمرز,1400/01/07 00:00:00,1400/01/08 00:00:00,1405,1076,1032,12,11,6,15,75,74,9,0,1559
