Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163153,نکا - ساري,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,24920,21254,1245,1427,368,626,74.0,24920.0,546.0,5893.0,0.0
163153,نکا - ساري,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,22118,19353,876,1052,274,563,79.0,22118.0,557.0,4624.0,0.0
163153,نکا - ساري,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,26505,22843,1254,1425,316,667,78.0,26505.0,596.0,6488.0,0.0
163153,نکا - ساري,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,26562,22598,1332,1563,351,718,78.0,26562.0,595.0,6649.0,0.0
163153,نکا - ساري,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,25620,21751,1290,1566,312,701,78.0,25620.0,527.0,6157.0,0.0
163153,نکا - ساري,1398/12/06 00:00:00,1398/12/06 23:40:00,1420.0,24260,20775,1104,1412,295,674,75.0,24448.0,391.0,5630.0,0.0
163153,نکا - ساري,1398/12/07 14:10:00,1398/12/08 00:00:00,525.0,6135,5292,287,324,93,139,70.0,19477.0,87.0,1168.0,0.0
163153,نکا - ساري,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,20370,17538,904,1036,354,538,75.0,20370.0,417.0,4109.0,0.0
163153,نکا - ساري,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,18982,16399,835,865,369,514,78.0,18982.0,542.0,3370.0,0.0
163153,نکا - ساري,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,24879,21437,1161,1176,454,651,76.0,24879.0,562.0,5900.0,0.0
163153,نکا - ساري,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,22689,19052,1143,1181,517,796,77.0,22689.0,869.0,5326.0,0.0
163153,نکا - ساري,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,8972,8322,214,214,81,141,76.0,8972.0,108.0,2390.0,0.0
163153,نکا - ساري,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,19249,16293,1202,941,331,482,80.0,19722.0,406.0,5965.0,0.0
163153,نکا - ساري,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,26982,22981,1565,1336,472,628,81.0,26982.0,550.0,7836.0,0.0
163153,نکا - ساري,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,27765,23391,1652,1454,561,707,81.0,27765.0,543.0,8807.0,0.0
163153,نکا - ساري,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,21182,17558,1429,1210,458,527,81.0,21182.0,467.0,5119.0,0.0
163153,نکا - ساري,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,25383,21071,1598,1558,504,652,81.0,25383.0,579.0,7437.0,0.0
163153,نکا - ساري,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,24977,19932,1853,1642,649,901,81.0,24977.0,680.0,8312.0,0.0
163153,نکا - ساري,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,25592,21364,1649,1416,523,640,81.0,25592.0,509.0,7462.0,0.0
163153,نکا - ساري,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,23602,19750,1514,1266,481,591,81.0,23602.0,520.0,6215.0,0.0
163153,نکا - ساري,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,25440,21133,1653,1473,509,672,81.0,25440.0,512.0,7580.0,0.0
163153,نکا - ساري,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,23273,19437,1440,1294,488,614,81.0,23273.0,476.0,6365.0,0.0
163153,نکا - ساري,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,19313,15624,1430,1261,424,574,81.0,19313.0,459.0,5215.0,0.0
163153,نکا - ساري,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,24735,20547,1624,1398,509,657,82.0,24735.0,530.0,7006.0,0.0
163153,نکا - ساري,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,26011,21370,1788,1537,601,715,81.0,26011.0,543.0,8375.0,0.0
163153,نکا - ساري,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,24674,20403,1611,1407,564,689,81.0,24674.0,515.0,6945.0,0.0
163153,نکا - ساري,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,20555,17130,1307,1165,414,539,81.0,20555.0,443.0,4165.0,0.0
163153,نکا - ساري,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,19786,16793,1157,1011,381,444,82.0,19786.0,481.0,3733.0,0.0
163153,نکا - ساري,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,14152,11940,802,776,287,347,83.0,14152.0,438.0,1715.0,0.0
163153,نکا - ساري,1400/01/01 00:00:00,1400/01/02 00:00:00,1310.0,16846,16270,221,103,64,188,88.0,19547.0,3015.0,1243.0,0.0
163153,نکا - ساري,1400/01/02 00:00:00,1400/01/03 00:00:00,1275.0,18753,17987,334,113,97,222,87.0,21645.0,2761.0,1633.0,0.0
163153,نکا - ساري,1400/01/03 00:00:00,1400/01/04 00:00:00,1365.0,22318,21196,525,232,116,249,86.0,23782.0,3216.0,2299.0,0.0
163153,نکا - ساري,1400/01/04 00:00:00,1400/01/05 00:00:00,1405.0,25461,23800,971,243,115,332,89.0,26281.0,4996.0,2912.0,0.0
163153,نکا - ساري,1400/01/05 00:00:00,1400/01/05 16:25:00,905.0,14309,13018,789,191,144,167,85.0,26718.0,2505.0,1579.0,0.0
163153,نکا - ساري,1400/01/06 13:45:00,1400/01/07 00:00:00,510.0,14506,13742,299,187,57,221,86.0,28535.0,1536.0,2162.0,0.0
163153,نکا - ساري,1400/01/07 00:00:00,1400/01/08 00:00:00,1335.0,27106,24910,989,503,170,534,84.0,30270.0,2406.0,3212.0,0.0
163153,نکا - ساري,1400/01/08 00:00:00,1400/01/09 00:00:00,1300.0,25404,23377,856,477,187,507,81.0,27957.0,1659.0,3091.0,0.0
163153,نکا - ساري,1400/01/09 00:00:00,1400/01/10 00:00:00,1335.0,25928,23767,915,554,197,495,85.0,28772.0,2592.0,3029.0,0.0
163153,نکا - ساري,1400/01/10 00:00:00,1400/01/11 00:00:00,1340.0,28479,25992,1095,641,188,563,84.0,31273.0,2611.0,3768.0,0.0
163153,نکا - ساري,1400/01/11 00:00:00,1400/01/11 23:55:00,1190.0,23768,21692,936,481,190,469,82.0,29945.0,1562.0,3070.0,0.0
163153,نکا - ساري,1400/01/12 00:00:00,1400/01/12 18:25:00,1105.0,19409,17848,686,376,152,347,83.0,23651.0,1532.0,1930.0,0.0
163153,نکا - ساري,1400/01/13 12:45:00,1400/01/13 19:55:00,395.0,7035,6807,92,45,13,78,89.0,23955.0,1138.0,612.0,0.0
163153,نکا - ساري,1400/01/14 08:55:00,1400/01/15 00:00:00,765.0,21373,19674,765,412,126,396,80.0,31116.0,732.0,3236.0,0.0
163153,نکا - ساري,1400/01/15 00:00:00,1400/01/16 00:00:00,870.0,15478,13807,689,440,144,398,83.0,31355.0,1395.0,2161.0,0.0
163153,نکا - ساري,1400/01/16 00:00:00,1400/01/17 00:00:00,1295.0,26174,23189,1467,648,240,630,85.0,29745.0,3484.0,3909.0,0.0
163153,نکا - ساري,1400/01/17 00:00:00,1400/01/18 00:00:00,1370.0,28015,24392,1926,732,306,659,83.0,29921.0,3821.0,4623.0,0.0
163153,نکا - ساري,1400/01/18 00:00:00,1400/01/19 00:00:00,1315.0,25996,23091,1290,704,265,646,82.0,29342.0,2155.0,3588.0,0.0
163153,نکا - ساري,1400/01/19 00:00:00,1400/01/20 00:00:00,1325.0,24495,21876,1220,590,257,552,81.0,27272.0,2885.0,3304.0,0.0
163153,نکا - ساري,1400/01/20 00:00:00,1400/01/20 23:25:00,1370.0,21729,19593,986,494,237,419,82.0,22480.0,2537.0,2540.0,0.0
163153,نکا - ساري,1400/01/21 00:00:00,1400/01/22 00:00:00,1300.0,24654,21932,1185,660,250,627,82.0,27367.0,1900.0,3297.0,0.0
163153,نکا - ساري,1400/01/22 00:00:00,1400/01/23 00:00:00,1355.0,24833,21764,1376,745,260,688,81.0,26291.0,1744.0,2968.0,0.0
163153,نکا - ساري,1400/01/23 00:00:00,1400/01/24 00:00:00,1230.0,21412,18673,1240,693,220,586,82.0,25951.0,1918.0,2996.0,0.0
163153,نکا - ساري,1400/01/24 00:00:00,1400/01/25 00:00:00,1335.0,24071,20971,1361,786,273,680,82.0,26728.0,2083.0,3170.0,0.0
163153,نکا - ساري,1400/01/25 00:00:00,1400/01/26 00:00:00,1405.0,24305,21130,1451,798,267,659,82.0,25231.0,2381.0,3119.0,0.0
163153,نکا - ساري,1400/01/26 00:00:00,1400/01/27 00:00:00,1400.0,22650,19780,1196,737,257,680,84.0,23505.0,2512.0,2697.0,0.0
163153,نکا - ساري,1400/01/27 00:00:00,1400/01/28 00:00:00,1330.0,17203,15063,899,515,175,551,85.0,18888.0,2078.0,1589.0,0.0
163153,نکا - ساري,1400/01/28 00:00:00,1400/01/29 00:00:00,1200.0,20054,17452,1157,664,207,574,83.0,25831.0,2122.0,2651.0,0.0
163153,نکا - ساري,1400/01/29 00:00:00,1400/01/30 00:00:00,1400.0,24917,21518,1677,818,275,629,82.0,25600.0,2881.0,3612.0,0.0
163153,نکا - ساري,1400/01/30 00:00:00,1400/01/31 00:00:00,1370.0,24077,20856,1482,838,241,660,83.0,25896.0,2216.0,3020.0,0.0
163153,نکا - ساري,1400/01/31 00:00:00,1400/02/01 00:00:00,1360.0,23463,20364,1581,685,257,576,82.0,25356.0,3503.0,3211.0,0.0
163153,نکا - ساري,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,31127,28413,1248,620,472,374,72.0,31127.0,227.0,9382.0,13.0
163153,نکا - ساري,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,30973,28248,1239,601,544,341,71.0,30973.0,153.0,9456.0,9.0
163153,نکا - ساري,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,32734,29678,1430,681,555,390,72.0,32734.0,233.0,10489.0,14.0
163153,نکا - ساري,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,33548,30576,1373,652,573,374,72.0,33548.0,268.0,10785.0,16.0
163153,نکا - ساري,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,31973,29388,1232,544,463,346,73.0,31973.0,253.0,9949.0,15.0
163153,نکا - ساري,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,29303,27217,932,483,389,282,74.0,29303.0,279.0,8198.0,11.0
163153,نکا - ساري,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,33030,30186,1346,625,498,375,72.0,33030.0,246.0,10251.0,7.0
163153,نکا - ساري,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,30182,27519,1203,637,471,352,71.0,30182.0,198.0,9120.0,9.0
163153,نکا - ساري,1400/12/09 00:00:00,1400/12/09 23:55:00,1435.0,33663,30843,1295,654,503,368,73.0,33730.0,246.0,11339.0,15.0
163153,نکا - ساري,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,29389,26820,1213,563,468,325,72.0,29389.0,203.0,8259.0,4.0
163153,نکا - ساري,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,34186,31275,1408,661,478,364,72.0,34186.0,243.0,11383.0,8.0
163153,نکا - ساري,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,32483,29863,1217,600,483,320,73.0,32483.0,265.0,10127.0,13.0
163153,نکا - ساري,1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,29946,27883,908,446,426,283,71.0,29946.0,198.0,8934.0,4.0
163153,نکا - ساري,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,34208,31275,1411,642,525,355,72.0,34208.0,253.0,11267.0,13.0
163153,نکا - ساري,1400/12/15 00:00:00,1400/12/16 00:00:00,1390.0,31499,28600,1359,670,470,400,71.0,32859.0,229.0,10004.0,8.0
163153,نکا - ساري,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,32037,29195,1329,667,463,383,71.0,32037.0,196.0,9899.0,12.0
