Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,3517,3457,10,37,11,2,32.0,3523,10.0,70.0,113.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/02 00:00:00,1398/12/03 00:00:00,1380.0,8597,8523,10,48,13,3,33.0,8626,55.0,243.0,756.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,5922,5855,16,27,22,2,35.0,5932,60.0,139.0,306.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,4854,4781,15,29,27,2,37.0,4863,98.0,113.0,255.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,4726,4663,15,21,25,2,37.0,5042,88.0,120.0,260.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,2854,2799,18,16,20,1,36.0,3245,24.0,46.0,165.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,84,71,4,7,0,2,28.0,1621,0.0,3.0,21.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,170,153,12,4,1,0,36.0,1269,6.0,0.0,34.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,3936,3903,12,11,8,2,36.0,4214,89.0,79.0,661.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/10 00:00:00,1398/12/11 00:00:00,920.0,4551,4516,7,11,15,2,45.0,5727,813.0,92.0,218.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/11 00:00:00,1398/12/12 00:00:00,1380.0,5777,5715,16,25,17,4,46.0,5932,1171.0,117.0,259.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,4192,4141,10,21,18,2,45.0,4193,827.0,78.0,212.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,4636,4598,6,12,19,1,47.0,4643,958.0,81.0,284.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,6085,6038,10,15,20,2,49.0,6094,1430.0,126.0,164.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,6091,6060,8,7,14,2,50.0,6100,1523.0,165.0,152.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,1584,1573,8,3,0,0,53.0,10663,516.0,32.0,284.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,5659,5626,8,11,14,0,50.0,5670,1389.0,115.0,433.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,7085,7056,6,10,13,0,51.0,7092,1787.0,139.0,549.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,4678,4648,12,4,14,0,54.0,4715,1498.0,78.0,340.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/20 00:00:00,1398/12/21 00:00:00,1435.0,4262,4237,7,6,12,0,53.0,4272,1373.0,59.0,277.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,4054,4025,8,9,12,0,55.0,4061,1367.0,59.0,243.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/22 00:00:00,1398/12/23 00:00:00,1435.0,3584,3556,8,8,12,0,59.0,3591,1365.0,62.0,174.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,4717,4688,10,11,7,1,52.0,4722,1377.0,72.0,516.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/24 00:00:00,1398/12/25 00:00:00,1435.0,5225,5185,15,12,12,1,53.0,5238,1683.0,82.0,335.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,5114,5091,7,2,14,0,57.0,5148,1960.0,93.0,259.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/26 00:00:00,1398/12/27 00:00:00,1405.0,5178,5140,10,11,14,3,55.0,5223,2019.0,85.0,261.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,4786,4757,9,4,16,0,56.0,4786,1903.0,73.0,79.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/28 00:00:00,1398/12/29 00:00:00,1445.0,3177,3147,8,9,13,0,49.0,3166,779.0,93.0,75.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1398/12/29 00:00:00,1399/01/01 00:00:00,1445.0,1728,1697,7,9,15,0,42.0,1725,94.0,75.0,96.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1400/01/01 14:15:00,1400/01/02 00:00:00,530.0,2184,2141,22,3,5,13,39.0,3157,1.0,140.0,0.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1400/01/02 00:00:00,1400/01/03 00:00:00,1345.0,6326,6248,21,14,4,39,39.0,6715,1.0,365.0,0.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1400/01/03 00:00:00,1400/01/04 00:00:00,1405.0,10014,9912,35,20,7,40,34.0,10347,2.0,426.0,0.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1400/01/04 00:00:00,1400/01/05 00:00:00,1160.0,8008,7956,15,10,6,21,32.0,8559,0.0,270.0,0.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1400/01/05 00:00:00,1400/01/06 00:00:00,1405.0,18024,17942,24,11,12,35,34.0,18158,0.0,567.0,0.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1400/01/06 00:00:00,1400/01/07 00:00:00,1365.0,21249,21150,34,9,21,35,34.0,22582,0.0,722.0,0.0
164605,چالوس - کرج (هزارچم - سياه بيشه),1400/01/07 00:00:00,1400/01/08 00:00:00,1285.0,18602,18519,30,16,6,31,33.0,20627,0.0,591.0,0.0
