Road Code,Road Name,Start Time,End Time,Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number,Length of Operation (minutes)
164657,کرج - چالوس (هزارچم- مکارود),1396/01/01 00:00:00,1396/01/01 23:50:00,20005,19262,676,16,25,26,47.68,6.0,11258.0,212.0,20072,1430.0
164657,کرج - چالوس (هزارچم- مکارود),1396/01/02 00:50:00,1396/01/03 00:00:00,19800,18875,837,27,20,41,46.49,14.0,10877.0,206.0,20140,1390.0
164657,کرج - چالوس (هزارچم- مکارود),1396/01/03 00:00:00,1396/01/04 00:00:00,14512,13394,992,28,31,67,43.65,50.0,7214.0,119.0,14512,1440.0
164657,کرج - چالوس (هزارچم- مکارود),1396/01/04 00:00:00,1396/01/05 00:00:00,2999,2673,238,33,13,42,44.53,46.0,1290.0,180.0,2999,1440.0
164657,کرج - چالوس (هزارچم- مکارود),1396/01/21 13:40:00,1396/01/22 00:00:00,4661,4481,145,11,12,12,45.29,3.0,2440.0,83.0,13472,620.0
164657,کرج - چالوس (هزارچم- مکارود),1396/01/22 00:00:00,1396/01/23 00:00:00,10792,10404,310,23,32,23,45.82,9.0,5778.0,195.0,11502,1440.0
164657,کرج - چالوس (هزارچم- مکارود),1396/01/23 00:00:00,1396/01/24 00:00:00,7918,7496,314,45,30,33,44.05,70.0,3827.0,205.0,7918,1440.0
164657,کرج - چالوس (هزارچم- مکارود),1396/01/24 00:00:00,1396/01/25 00:00:00,8364,7978,294,33,25,34,50.33,66.0,4383.0,262.0,8364,1440.0
164657,کرج - چالوس (هزارچم- مکارود),1396/01/25 00:00:00,1396/01/26 00:00:00,4360,4162,140,9,20,29,49.94,9.0,2064.0,98.0,4670,1440.0
164657,کرج - چالوس (هزارچم- مکارود),1396/01/26 00:00:00,1396/01/27 00:00:00,4733,4503,169,12,29,20,47.94,10.0,1968.0,122.0,4733,1440.0
164657,کرج - چالوس (هزارچم- مکارود),1396/01/27 00:00:00,1396/01/28 00:00:00,4296,4028,173,40,26,29,40.63,55.0,1650.0,158.0,4296,1440.0
164657,کرج - چالوس (هزارچم- مکارود),1396/01/28 00:00:00,1396/01/29 00:00:00,4905,4678,150,25,26,26,49.43,21.0,2144.0,185.0,5693,1440.0
