Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/01 00:00:00,1396/01/02 00:00:00,1440,7974,7444,108,179,50,193,65.02,23,1082,0,7974.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/02 00:00:00,1396/01/03 00:00:00,1381,8762,7989,150,335,57,231,66.43,35,1344,0,8869.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/03 00:00:00,1396/01/04 00:00:00,1440,11279,10484,163,286,81,265,62.54,32,1960,0,11279.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/04 00:00:00,1396/01/05 00:00:00,1440,19811,17935,684,697,165,330,60.53,171,5244,0,19811.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/05 00:00:00,1396/01/06 00:00:00,1440,20127,16539,1499,1411,250,428,70.04,1307,5249,0,20127.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/06 00:00:00,1396/01/07 00:00:00,1441,16832,15195,372,684,173,408,64.7,112,3724,0,16816.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/07 00:00:00,1396/01/08 00:00:00,1440,15984,14363,392,671,128,430,63.8,62,3491,0,15984.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/08 00:00:00,1396/01/09 00:00:00,1417,14373,12736,345,680,133,479,64.24,53,2942,0,14581.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/09 00:00:00,1396/01/10 00:00:00,1441,14930,13277,377,704,136,436,64.89,62,3214,0,14910.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/10 00:00:00,1396/01/11 00:00:00,1440,16467,15169,325,518,110,345,65.42,81,3952,0,16467.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/11 00:00:00,1396/01/12 00:00:00,1440,24067,22258,527,741,169,372,61.71,91,7512,0,24067.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/12 00:00:00,1396/01/13 00:00:00,1440,24302,22776,411,618,155,342,60.57,101,7981,0,24302.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/13 00:00:00,1396/01/14 00:00:00,1403,19889,18684,336,494,122,253,62.95,73,4875,0,20355.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/14 00:00:00,1396/01/15 00:00:00,1440,23886,21531,889,842,192,432,54.27,54,7560,0,24518.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/15 00:00:00,1396/01/16 00:00:00,1440,12842,10651,486,907,190,608,64.4,342,2305,0,12842.0
163157,فيروزکوه - قائمشهر (ورسک - گدوک),1396/01/16 00:00:00,1396/01/17 00:00:00,1440,9151,7248,390,810,153,550,63.53,125,1012,0,9151.0
