Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,9794,7703,1042,414,161,474,58.0,9810,179.0,533.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,8327,6580,824,309,174,440,63.0,8335,206.0,464.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/03 00:00:00,1398/12/04 00:00:00,1375.0,7079,5150,901,353,169,506,62.0,7541,217.0,329.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/04 00:00:00,1398/12/05 00:00:00,1385.0,8924,6641,1170,402,197,514,63.0,9363,288.0,579.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,9762,7244,1263,405,196,654,63.0,9779,439.0,805.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,9197,6688,1302,423,234,550,58.0,9577,244.0,534.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/07 00:00:00,1398/12/08 00:00:00,1380.0,6047,4323,809,367,168,380,41.0,10075,11.0,253.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/08 00:00:00,1398/12/09 00:00:00,1330.0,9246,6976,1142,423,171,534,52.0,10353,46.0,586.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/09 00:00:00,1398/12/10 00:00:00,1375.0,6610,4928,774,289,173,446,57.0,7193,98.0,235.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/10 00:00:00,1398/12/11 00:00:00,1325.0,6436,4457,933,338,158,550,59.0,7289,159.0,333.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/11 00:00:00,1398/12/11 23:50:00,1425.0,7102,4843,1066,424,168,601,57.0,7170,188.0,342.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/12 00:45:00,1398/12/13 00:00:00,1390.0,6039,3956,909,374,157,643,51.0,6267,43.0,165.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/13 00:00:00,1398/12/14 00:00:00,1325.0,5845,3975,816,303,174,577,53.0,6377,67.0,189.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,9267,6860,1196,398,203,610,60.0,9281,244.0,796.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/15 00:00:00,1398/12/16 00:00:00,1380.0,9055,6654,1194,423,157,627,62.0,9381,265.0,690.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,5893,4165,803,305,145,475,61.0,7204,204.0,309.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/17 00:00:00,1398/12/18 00:00:00,1380.0,4759,2891,829,333,178,528,58.0,4990,173.0,171.0,0.0
164157,فيروزکوه - قائمشهر (ورسک - گرزين خيل),1398/12/18 00:00:00,1398/12/19 00:00:00,1380.0,4433,2654,787,322,151,519,56.0,4628,106.0,142.0,0.0
