Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,15400,12362,1120,1735,81,102,69.0,102.0,1858.0,0.0,15400.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,12735,11303,469,769,91,103,76.0,170.0,1589.0,0.0,12735.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,16258,10414,1989,3635,100,120,70.0,97.0,2451.0,0.0,16258.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,17864,12054,2024,3574,102,110,71.0,99.0,3190.0,0.0,17864.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,17322,11654,1973,3487,118,90,70.0,125.0,3162.0,0.0,17322.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,14183,9121,1770,3135,93,64,67.0,68.0,2216.0,0.0,14183.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,10059,7571,742,1623,81,42,71.0,93.0,1073.0,0.0,10601.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,14262,11604,1003,1505,71,79,75.0,222.0,1872.0,0.0,14262.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,11815,10267,512,877,76,83,76.0,157.0,1297.0,0.0,11815.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,15242,9318,2100,3624,92,108,70.0,95.0,2200.0,0.0,15242.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,15032,9203,2161,3493,100,75,66.0,56.0,2090.0,0.0,15032.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,12869,7544,1715,3422,110,78,63.0,27.0,1392.0,0.0,12869.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,13447,8047,1780,3396,160,64,66.0,60.0,1491.0,0.0,13447.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,16060,10908,1753,3245,80,74,72.0,153.0,2538.0,0.0,16060.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,16114,11572,1403,2969,89,81,74.0,183.0,2430.0,0.0,16114.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,12129,9321,844,1820,75,69,74.0,152.0,1451.0,0.0,12129.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,11618,6502,1715,3228,100,73,69.0,83.0,1271.0,0.0,11618.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,11042,5996,1920,3005,71,50,68.0,51.0,999.0,0.0,11042.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,11194,6188,1840,3034,59,73,69.0,66.0,1070.0,0.0,11194.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/20 00:00:00,1398/12/20 08:55:00,535.0,3244,1452,785,946,30,31,67.0,10.0,226.0,0.0,11930.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/21 15:55:00,1398/12/22 00:00:00,485.0,4673,3300,479,860,19,15,71.0,43.0,577.0,0.0,11930.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,11261,6998,1577,2554,65,67,70.0,79.0,1141.0,0.0,11261.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,8761,6567,691,1396,51,56,73.0,76.0,763.0,0.0,8761.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,11744,7232,1746,2656,49,61,70.0,87.0,1390.0,0.0,11744.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,11598,7394,1455,2595,88,66,71.0,96.0,1187.0,0.0,11598.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,11094,7717,1206,2043,67,61,69.0,72.0,1135.0,0.0,11094.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,9829,7324,774,1523,144,64,67.0,54.0,805.0,0.0,9829.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,8721,7513,409,677,77,45,69.0,31.0,596.0,0.0,8721.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,7567,6891,221,344,62,49,73.0,68.0,513.0,0.0,7567.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1400/01/01 00:00:00,1400/01/02 00:00:00,1380.0,23084,22544,292,106,21,121,88.0,3216.0,2687.0,0.0,24441.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1400/01/02 00:00:00,1400/01/03 00:00:00,1275.0,25446,24774,349,151,28,144,85.0,2319.0,3493.0,0.0,27870.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1400/01/03 00:00:00,1400/01/04 00:00:00,1440.0,27492,26497,608,197,36,154,85.0,2891.0,3695.0,0.0,27492.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1400/01/04 00:00:00,1400/01/05 00:00:00,1440.0,19728,18992,434,151,28,123,86.0,2412.0,1831.0,0.0,19728.0
163207,رودهن - آمل (پارک جنگلي آمل - آمل),1400/01/05 00:00:00,1400/01/06 00:00:00,1370.0,17329,16376,583,199,26,145,84.0,2030.0,1626.0,0.0,18905.0
