Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/01 00:00:00,1398/12/02 00:00:00,1380,9384,7191,1103,889,124,77,79,416,715,0,9907
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/02 00:00:00,1398/12/03 00:00:00,1320,11769,10137,995,486,120,31,85,935,1086,0,13414
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/03 00:00:00,1398/12/04 00:00:00,1380,16120,11916,2688,1352,109,55,78,996,1688,0,16654
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/04 00:00:00,1398/12/05 00:00:00,1325,13172,9185,2306,1478,149,54,79,703,1273,0,14585
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/05 00:00:00,1398/12/06 00:00:00,1215,11080,7574,2263,1107,97,39,77,592,1048,0,13776
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/06 00:00:00,1398/12/07 00:00:00,1385,11119,7875,2059,1088,70,27,74,516,958,0,11786
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/07 00:00:00,1398/12/08 00:00:00,1380,6300,4240,977,945,102,36,76,231,557,0,12916
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/08 00:00:00,1398/12/09 00:00:00,1345,8968,7128,1205,532,81,22,82,509,679,0,9707
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/09 00:00:00,1398/12/10 00:00:00,1320,10481,8914,988,475,83,21,83,659,833,0,11688
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/10 00:00:00,1398/12/11 00:00:00,1265,12587,8879,2480,1116,94,18,76,600,1178,0,14778
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/11 00:00:00,1398/12/12 00:00:00,1100,9329,6251,1902,1070,80,26,73,394,794,0,12905
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/12 00:00:00,1398/12/13 00:00:00,1435,10550,6510,2315,1562,119,44,69,293,820,0,10600
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/13 00:00:00,1398/12/14 00:00:00,1380,10225,6276,2516,1261,112,60,70,259,848,0,10919
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/14 00:00:00,1398/12/15 00:00:00,1410,10276,7025,2217,944,78,12,72,279,824,0,11263
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/15 00:00:00,1398/12/16 00:00:00,1270,9616,7049,1625,828,82,32,75,37,659,0,11084
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/16 00:00:00,1398/12/17 00:00:00,1380,13781,11667,1387,616,85,26,77,61,1209,0,14755
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/17 00:00:00,1398/12/18 00:00:00,1380,10812,7596,2246,874,76,20,72,42,756,0,11331
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/18 00:00:00,1398/12/19 00:00:00,1380,11326,8361,2308,594,48,15,73,40,759,0,11851
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/19 00:00:00,1398/12/20 00:00:00,1430,10474,7220,2304,858,72,20,74,46,710,0,10554
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/20 00:00:00,1398/12/21 00:00:00,1375,9834,6480,2326,914,85,29,73,36,645,0,10433
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/21 00:00:00,1398/12/22 00:00:00,1325,9553,6378,2295,803,60,17,70,21,646,0,10187
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/22 00:00:00,1398/12/23 00:00:00,1385,8231,5915,1676,562,61,17,71,21,438,0,8638
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/23 00:00:00,1398/12/24 00:00:00,1435,7384,5726,1121,457,70,10,72,22,330,0,7414
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/24 00:00:00,1398/12/25 00:00:00,1380,11250,8469,2032,675,62,12,73,84,575,0,11788
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/25 00:00:00,1398/12/26 00:00:00,1430,13230,10913,1787,453,68,9,73,245,432,0,13333
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/26 00:00:00,1398/12/27 00:00:00,1445,12466,10699,1307,396,56,8,74,233,383,0,12423
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/27 00:00:00,1398/12/28 00:00:00,1445,10382,9043,982,296,52,9,70,275,205,0,10344
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/28 00:00:00,1398/12/29 00:00:00,1445,6712,6140,348,182,42,0,71,87,98,0,6688
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1398/12/29 00:00:00,1399/01/01 00:00:00,1445,3597,3305,136,87,62,7,72,13,68,0,3584
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/01 00:00:00,1400/01/02 00:00:00,1210,5953,5729,102,32,51,39,86,687,623,0,7021
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/02 00:00:00,1400/01/03 00:00:00,1305,7928,7569,179,71,70,39,82,505,563,0,8734
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/03 00:00:00,1400/01/04 00:00:00,1340,10970,10492,258,101,69,50,84,1051,1298,0,12042
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/04 00:00:00,1400/01/05 00:00:00,1405,11171,10746,259,91,45,30,81,858,1193,0,12005
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/05 00:00:00,1400/01/06 00:00:00,1300,14498,14086,223,94,53,42,79,871,1386,0,16429
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/06 00:00:00,1400/01/07 00:00:00,1405,19333,18699,343,181,73,37,80,1483,2293,0,19611
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/07 00:00:00,1400/01/08 00:00:00,1370,13798,13069,419,186,68,56,70,670,1235,0,16887
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/08 00:00:00,1400/01/09 00:00:00,1435,15213,14253,631,192,81,56,77,704,1386,0,15246
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/09 00:00:00,1400/01/10 00:00:00,1370,16805,15916,581,194,66,48,80,1220,2028,0,17912
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/10 00:00:00,1400/01/11 00:00:00,1355,17147,16061,735,205,85,61,75,1049,1769,0,18079
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/11 00:00:00,1400/01/11 23:55:00,1280,12895,12178,488,138,41,50,74,691,1157,0,18560
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/12 00:00:00,1400/01/13 00:00:00,1325,19306,18591,434,164,78,39,82,1200,2275,0,21229
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/13 00:00:00,1400/01/14 00:00:00,1375,15654,15299,175,105,46,29,78,922,1735,0,16371
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/14 00:00:00,1400/01/15 00:00:00,1440,19112,17826,928,242,71,45,82,1342,2100,0,19112
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/15 00:00:00,1400/01/16 00:00:00,1435,15752,14047,1325,255,70,55,74,942,1734,0,15821
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/16 00:00:00,1400/01/17 00:00:00,1370,12430,10499,1524,282,73,52,78,715,1148,0,13155
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/17 00:00:00,1400/01/18 00:00:00,1405,11802,9779,1622,283,69,49,77,841,1135,0,12139
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/18 00:00:00,1400/01/19 00:00:00,1440,12067,9971,1715,278,56,47,75,635,987,0,12067
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/19 00:00:00,1400/01/20 00:00:00,1435,12921,11274,1304,232,61,50,79,735,1093,0,12979
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/20 00:00:00,1400/01/21 00:00:00,1405,11716,10872,580,170,61,33,77,578,1114,0,11894
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/21 00:00:00,1400/01/22 00:00:00,1405,11352,9028,1871,331,63,59,77,657,979,0,11646
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/22 00:00:00,1400/01/23 00:00:00,1405,12057,9490,2118,318,68,63,80,1597,1747,0,12253
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/23 00:00:00,1400/01/24 00:00:00,1405,10616,8253,1896,339,67,61,77,653,913,0,10936
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/24 00:00:00,1400/01/25 00:00:00,1405,11576,9107,2056,296,63,54,80,1453,1561,0,11774
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/25 00:00:00,1400/01/26 00:00:00,1405,11265,9008,1816,316,70,55,82,1548,1614,0,11546
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/26 00:00:00,1400/01/27 00:00:00,1430,13181,11455,1374,255,53,44,87,1988,2007,0,13276
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/27 00:00:00,1400/01/28 00:00:00,1440,10686,9759,643,189,53,42,78,758,1367,0,11424
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/28 00:00:00,1400/01/29 00:00:00,1440,11592,8982,2106,389,51,64,79,867,1098,0,11592
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/29 00:00:00,1400/01/30 00:00:00,1440,11099,8627,2060,309,54,49,77,761,1041,0,11099
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/30 00:00:00,1400/01/31 00:00:00,1395,7870,5966,1552,266,42,44,79,827,947,0,10060
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/01/31 00:00:00,1400/02/01 00:00:00,1440,7861,6001,1489,285,55,31,77,478,576,0,9182
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/09 00:00:00,1400/12/09 21:05:00,1260,13282,10254,2726,219,3,80,55,111,960,0,13949
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/12 17:50:00,1400/12/13 00:00:00,370,2828,2687,125,15,0,1,45,1,127,0,8697
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/13 00:00:00,1400/12/14 00:00:00,1390,17246,13346,3846,49,0,5,54,2,587,0,18089
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/14 00:00:00,1400/12/15 00:00:00,1440,16824,14356,2304,130,2,32,51,18,876,0,16824
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/15 00:00:00,1400/12/16 00:00:00,1300,9701,7696,1878,108,2,17,53,54,481,0,11516
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/16 00:00:00,1400/12/17 00:00:00,1430,12259,9706,2467,77,0,9,46,6,408,0,12380
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/17 00:00:00,1400/12/18 00:00:00,1440,13267,10882,2221,136,1,27,52,37,619,0,13267
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/18 00:00:00,1400/12/19 00:00:00,1435,13532,11162,2166,143,4,57,50,49,824,0,13587
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/19 00:00:00,1400/12/20 00:00:00,1395,9303,7412,1756,103,1,31,51,43,455,0,10294
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/20 00:00:00,1400/12/21 00:00:00,1440,3566,2967,579,14,2,4,52,14,67,0,4415
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/21 00:00:00,1400/12/22 00:00:00,1350,5054,3437,1549,47,0,21,53,62,188,0,6805
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/22 00:00:00,1400/12/23 00:00:00,1385,5565,3687,1823,42,0,13,52,50,147,0,6270
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/23 00:00:00,1400/12/24 00:00:00,1395,5630,3780,1802,35,0,13,54,63,213,0,6438
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/24 00:00:00,1400/12/25 00:00:00,1405,5715,3734,1934,37,0,10,56,82,169,0,6468
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/25 00:00:00,1400/12/26 00:00:00,1405,8301,6289,1865,115,0,32,54,61,313,0,8980
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/26 00:00:00,1400/12/27 00:00:00,1395,11275,10371,770,109,1,24,55,40,313,0,11704
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/27 00:00:00,1400/12/28 00:00:00,1400,10114,9663,328,107,3,13,55,12,314,0,10384
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/28 00:00:00,1400/12/29 00:00:00,1420,8639,8209,297,109,3,21,55,16,255,0,8796
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1400/12/29 00:00:00,1401/01/01 00:00:00,1430,6785,6576,107,92,2,8,54,2,120,0,6848
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1401/12/01 00:00:00,1401/12/01 12:35:00,665,5426,3526,1791,73,9,27,66,228,355,0,12505
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1401/12/02 11:00:00,1401/12/03 00:00:00,730,5640,3213,2131,178,8,110,66,342,372,0,11140
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1401/12/03 00:00:00,1401/12/04 00:00:00,1400,11846,8240,3252,225,18,111,69,644,816,0,12192
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1401/12/04 00:00:00,1401/12/04 21:45:00,1305,11739,8315,3183,137,25,79,79,885,740,0,12376
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),1401/12/08 19:15:00,1401/12/09 00:00:00,210,1492,693,671,69,3,56,83,166,138,0,15187
