Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),1398/12/01 00:00:00,1398/12/02 00:00:00,1380.0,14294,11568,1813,554,97,262,70.0,14708,760.0,2924.0,0.0
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),1398/12/02 00:00:00,1398/12/03 00:00:00,1260.0,11403,7872,2644,502,83,302,77.0,12332,1135.0,1637.0,0.0
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,12742,9397,2199,746,104,296,67.0,12761,1332.0,1306.0,0.0
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),1398/12/04 00:00:00,1398/12/05 00:00:00,1380.0,13337,8643,3291,855,120,428,73.0,14238,2018.0,1763.0,0.0
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,15030,9442,3837,1085,147,519,72.0,15053,2298.0,1805.0,0.0
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,14039,7326,4212,1503,183,815,75.0,14727,2369.0,1214.0,0.0
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,10007,8859,603,312,65,168,50.0,10023,274.0,1092.0,0.0
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,14758,8113,4957,1046,144,498,76.0,14776,2970.0,1913.0,0.0
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,10640,4417,4398,1034,141,650,84.0,11315,2592.0,1229.0,0.0
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),1398/12/10 00:00:00,1398/12/11 00:00:00,1435.0,12205,4170,5372,1550,216,897,86.0,12227,2826.0,1107.0,0.0
