Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,7886,5969,843,398,219,457,63.0,7910,115.0,169.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,12295,10332,865,406,177,515,65.0,13651,212.0,839.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,10403,8239,865,381,226,692,67.0,10435,207.0,398.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/04 00:00:00,1398/12/05 00:00:00,1430.0,9696,7393,979,361,277,686,64.0,9766,142.0,416.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,8831,6613,941,350,239,688,62.0,9378,113.0,306.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,8551,6137,1076,393,262,683,57.0,8909,42.0,270.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,6155,4332,835,326,220,442,48.0,8110,15.0,199.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,6911,4841,898,374,234,564,62.0,6924,89.0,194.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,10505,8255,1081,378,182,609,60.0,10847,85.0,572.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/10 00:00:00,1398/12/11 00:00:00,1320.0,8305,6215,862,299,233,696,64.0,9059,174.0,261.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,7968,5535,1035,395,237,766,60.0,7992,92.0,276.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,6336,4262,834,387,217,636,61.0,6353,58.0,172.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,6671,4346,960,377,235,753,59.0,12200,92.0,167.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,7336,4804,1059,459,224,790,61.0,7354,110.0,286.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,6759,4541,872,406,215,725,65.0,6776,234.0,242.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,8670,6532,919,416,171,632,65.0,8682,280.0,410.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/17 00:00:00,1398/12/18 00:00:00,1375.0,6164,4112,783,375,198,696,63.0,6454,119.0,165.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,7777,5807,817,372,164,617,68.0,7788,209.0,310.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,6411,4271,876,357,188,719,63.0,6476,151.0,168.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/20 00:00:00,1398/12/21 00:00:00,1430.0,5858,3674,891,371,204,718,60.0,7462,125.0,156.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/21 00:00:00,1398/12/22 00:00:00,1375.0,5476,3382,901,362,194,637,60.0,5742,80.0,143.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/22 00:00:00,1398/12/23 00:00:00,1375.0,4741,3032,696,329,142,542,63.0,4993,126.0,102.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,6197,4255,867,331,146,598,63.0,6208,210.0,187.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/24 00:00:00,1398/12/25 00:00:00,1435.0,7453,5448,883,345,175,602,64.0,7473,370.0,133.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,8849,6729,1003,312,182,623,64.0,8914,437.0,159.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/26 00:00:00,1398/12/27 00:00:00,1445.0,8980,6892,1037,344,165,542,64.0,8963,615.0,180.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/27 00:00:00,1398/12/28 00:00:00,1445.0,8349,6444,945,324,164,472,65.0,8329,553.0,126.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/28 00:00:00,1398/12/29 00:00:00,1445.0,5970,4570,712,213,118,357,67.0,5953,293.0,89.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1398/12/29 00:00:00,1399/01/01 00:00:00,1445.0,3279,2645,228,112,69,225,71.0,3272,112.0,37.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/01 00:00:00,1400/01/01 15:35:00,915.0,3285,3118,50,24,34,59,79.0,5133,221.0,61.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/04 15:10:00,1400/01/05 00:00:00,520.0,10232,9601,296,124,75,136,65.0,21226,49.0,1417.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/05 00:00:00,1400/01/06 00:00:00,1440.0,13759,12813,384,185,105,272,70.0,13759,175.0,897.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/06 00:00:00,1400/01/07 00:00:00,1335.0,17482,16342,470,226,140,304,73.0,18804,276.0,1315.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/07 00:00:00,1400/01/08 00:00:00,1440.0,14683,13153,537,283,184,526,72.0,14683,224.0,743.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/08 00:00:00,1400/01/09 00:00:00,1330.0,10239,8876,495,224,146,498,74.0,10987,581.0,407.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/09 00:00:00,1400/01/10 00:00:00,1440.0,12999,11433,610,274,175,507,74.0,12999,347.0,768.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/10 00:00:00,1400/01/11 00:00:00,1440.0,12437,10768,638,283,174,574,73.0,12437,290.0,569.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/11 00:00:00,1400/01/11 23:55:00,1435.0,14230,12689,559,276,188,518,74.0,14256,464.0,836.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/12 00:00:00,1400/01/13 00:00:00,1320.0,15279,14310,382,152,168,267,74.0,17341,469.0,1038.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/13 00:00:00,1400/01/14 00:00:00,1440.0,15173,14586,228,87,105,167,73.0,15173,255.0,649.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/14 00:00:00,1400/01/15 00:00:00,1440.0,20922,19273,505,283,248,613,73.0,20922,376.0,1584.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/15 00:00:00,1400/01/16 00:00:00,1440.0,13790,11821,691,372,259,647,71.0,13790,238.0,664.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/16 00:00:00,1400/01/17 00:00:00,1440.0,10780,8518,851,383,299,729,67.0,10780,177.0,397.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/17 00:00:00,1400/01/18 00:00:00,1435.0,9373,7021,893,460,287,712,65.0,9400,121.0,333.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/18 00:00:00,1400/01/18 09:00:00,540.0,2367,1796,205,129,90,147,68.0,10629,39.0,50.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/20 03:15:00,1400/01/21 00:00:00,1175.0,8687,7367,503,206,151,460,68.0,17086,29.0,411.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/21 00:00:00,1400/01/21 21:00:00,1225.0,7067,5319,637,251,244,616,67.0,8401,46.0,237.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/22 11:30:00,1400/01/22 18:00:00,390.0,2703,1909,306,107,83,298,64.0,14646,11.0,88.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/23 02:20:00,1400/01/24 00:00:00,1020.0,5958,4135,668,262,216,677,64.0,10227,33.0,177.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/24 00:00:00,1400/01/24 20:10:00,1000.0,4660,3207,544,222,203,484,64.0,6811,24.0,129.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/25 01:35:00,1400/01/25 20:30:00,1090.0,5187,3640,634,236,204,473,65.0,8138,38.0,132.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/26 08:20:00,1400/01/27 00:00:00,885.0,4384,3370,325,179,157,353,68.0,6363,71.0,97.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/27 00:00:00,1400/01/28 00:00:00,985.0,3868,3159,224,90,120,275,70.0,12220,124.0,88.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/28 00:00:00,1400/01/29 00:00:00,1435.0,7132,5594,521,209,280,528,68.0,7155,133.0,176.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/29 00:00:00,1400/01/30 00:00:00,1435.0,6504,4945,557,189,273,540,66.0,6522,101.0,134.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/30 00:00:00,1400/01/31 00:00:00,980.0,4061,3108,347,144,167,295,66.0,6890,52.0,84.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/01/31 00:00:00,1400/01/31 09:20:00,560.0,1903,1486,152,68,80,117,70.0,8174,85.0,24.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,8799,6536,580,696,27,960,76.0,8799,753.0,614.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,8085,5937,563,633,29,923,75.0,8085,545.0,546.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,9575,7077,680,695,17,1106,78.0,9575,955.0,882.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/04 00:00:00,1400/12/04 21:00:00,1105.0,7353,5613,471,491,14,764,80.0,9579,738.0,676.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/05 00:30:00,1400/12/05 23:40:00,800.0,6283,4791,369,426,17,680,81.0,9020,567.0,662.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/06 04:55:00,1400/12/07 00:00:00,840.0,12133,10617,564,427,12,513,79.0,14510,665.0,2788.0,1.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/07 00:00:00,1400/12/08 00:00:00,1310.0,10085,7935,620,579,19,932,80.0,11113,1082.0,992.0,1.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/08 00:00:00,1400/12/08 09:35:00,575.0,2950,2417,139,165,8,221,81.0,9421,407.0,150.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/09 11:50:00,1400/12/09 23:55:00,725.0,5981,4409,604,308,172,488,67.0,9067,115.0,583.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,10782,8505,869,459,269,680,68.0,10782,184.0,1284.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,10057,7729,884,431,269,744,68.0,10057,174.0,906.0,1.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,9889,7862,756,368,257,646,68.0,9889,132.0,965.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/13 00:00:00,1400/12/14 00:00:00,1440.0,21260,19071,938,432,276,543,68.0,21260,200.0,6306.0,1.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,12400,9940,941,465,272,782,71.0,12400,302.0,1310.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/15 00:00:00,1400/12/16 00:00:00,1390.0,10957,8347,1011,550,279,770,67.0,11532,224.0,1139.0,1.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/16 00:00:00,1400/12/17 00:00:00,1430.0,10046,7456,1008,535,312,735,65.0,10108,126.0,812.0,1.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,9982,7365,974,534,306,803,66.0,9982,186.0,942.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,10476,7886,955,533,334,768,66.0,10476,166.0,969.0,1.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,11784,9212,997,519,320,736,67.0,11784,192.0,1580.0,1.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,24212,21058,1444,634,393,683,60.0,24212,152.0,8012.0,4.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,20803,16839,1727,907,429,901,66.0,20803,301.0,4460.0,2.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,21000,16989,1867,870,444,830,64.0,21000,286.0,4499.0,3.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,20022,15739,1957,972,430,924,62.0,20022,245.0,4231.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,18135,14235,1812,932,370,786,59.0,18135,114.0,3376.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,15753,12411,1632,697,336,677,63.0,15753,151.0,2472.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,12140,9363,1445,577,269,486,65.0,12140,138.0,1436.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,13190,10635,1437,539,181,398,67.0,13190,213.0,1760.0,1.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,10635,9069,881,313,137,235,71.0,10635,209.0,1023.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,7530,6873,369,107,85,96,74.0,7530,169.0,465.0,1.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,13511,10609,1095,799,83,925,74.0,13511,892.0,1948.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,12634,9821,1060,789,98,866,74.0,12704,669.0,1749.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,12001,9134,938,860,119,950,74.0,12001,799.0,1461.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,10014,7732,829,604,95,754,77.0,10014,768.0,994.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,15555,13245,895,692,66,657,74.0,15555,615.0,3323.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/06 00:00:00,1401/12/07 00:00:00,1330.0,10678,8106,920,680,87,885,75.0,12186,815.0,1359.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,10429,7711,857,747,104,1010,74.0,10429,732.0,987.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/08 00:00:00,1401/12/09 00:00:00,1410.0,9929,7301,828,727,92,981,75.0,10191,782.0,976.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/09 00:00:00,1401/12/10 00:00:00,1435.0,10318,7464,895,797,116,1046,74.0,10350,783.0,1021.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/10 00:00:00,1401/12/11 00:00:00,1435.0,10552,7786,903,781,120,962,74.0,10582,759.0,1116.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,9940,7408,829,672,111,920,75.0,9940,709.0,952.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,15702,13043,1056,687,97,819,77.0,15702,1150.0,3577.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/13 00:00:00,1401/12/14 00:00:00,1440.0,11990,9164,920,699,110,1097,73.0,11990,694.0,1473.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,10653,7789,923,711,112,1118,73.0,10653,748.0,1048.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,11159,8209,905,784,123,1138,71.0,11159,605.0,1232.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,11880,8852,919,887,121,1101,72.0,11880,636.0,1336.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,10791,8003,849,806,112,1021,72.0,10791,571.0,1296.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,10342,7989,764,650,99,840,75.0,10342,706.0,1086.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,22165,19228,1209,715,106,907,74.0,22165,966.0,7322.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/20 00:00:00,1401/12/21 00:00:00,1435.0,14127,11023,1035,808,119,1142,76.0,14176,1289.0,2024.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/21 00:00:00,1401/12/22 00:00:00,1440.0,11585,8439,1025,834,133,1154,71.0,11585,491.0,1278.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/22 00:00:00,1401/12/23 00:00:00,1440.0,11711,8573,1028,892,103,1115,71.0,11711,508.0,1285.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/23 00:00:00,1401/12/24 00:00:00,1440.0,11274,7970,1006,1010,130,1158,72.0,11274,653.0,1224.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/24 00:00:00,1401/12/25 00:00:00,1440.0,11931,8633,1114,972,126,1086,73.0,11931,748.0,1381.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/25 00:00:00,1401/12/26 00:00:00,1440.0,11853,8744,1055,936,139,979,72.0,11853,661.0,1508.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/26 00:00:00,1401/12/27 00:00:00,1440.0,14999,11821,1352,918,104,804,72.0,14999,758.0,2708.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/27 00:00:00,1401/12/28 00:00:00,1440.0,13438,10443,1283,850,78,784,75.0,13438,985.0,1728.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/28 00:00:00,1401/12/29 00:00:00,1440.0,12153,10078,944,581,52,498,78.0,12153,873.0,1407.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401/12/29 00:00:00,1402/01/01 00:00:00,1440.0,10029,9132,454,221,24,198,84.0,10029,883.0,889.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/01 00:00:00,1402/01/02 00:00:00,1440.0,10095,9534,290,95,19,157,82.0,10095,626.0,982.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/02 00:00:00,1402/01/03 00:00:00,1440.0,12598,11670,564,121,31,212,78.0,12598,468.0,1763.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/03 00:00:00,1402/01/04 00:00:00,1440.0,16206,15198,581,117,38,272,82.0,16206,975.0,2904.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/04 00:00:00,1402/01/05 00:00:00,1440.0,25228,23755,881,211,38,343,78.0,25228,1270.0,8130.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/05 00:00:00,1402/01/06 00:00:00,1440.0,27775,25675,1044,409,58,589,74.0,27775,1267.0,9315.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/06 00:00:00,1402/01/07 00:00:00,1440.0,24339,22081,1032,481,74,671,76.0,24339,1013.0,6725.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/07 00:00:00,1402/01/08 00:00:00,1440.0,20021,17929,920,460,63,649,76.0,20021,727.0,4990.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/08 00:00:00,1402/01/09 00:00:00,1440.0,17417,15349,827,486,77,678,77.0,17417,747.0,3751.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/09 00:00:00,1402/01/10 00:00:00,1440.0,17678,15538,878,502,83,677,79.0,17678,908.0,3713.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/10 00:00:00,1402/01/11 00:00:00,1440.0,19656,17810,805,388,81,572,80.0,19656,1021.0,4753.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/11 00:00:00,1402/01/12 00:00:00,1440.0,25205,23389,997,367,68,384,71.0,26112,672.0,9050.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/12 00:00:00,1402/01/13 00:00:00,1430.0,26835,25056,1119,247,59,354,74.0,27131,1049.0,8792.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/13 00:00:00,1402/01/14 00:00:00,1440.0,25851,24569,879,139,30,234,84.0,25851,2262.0,6908.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/14 00:00:00,1402/01/15 00:00:00,1440.0,24613,22445,973,412,69,714,81.0,24613,1790.0,6726.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/15 00:00:00,1402/01/16 00:00:00,1440.0,14429,12213,803,489,93,831,79.0,14429,1123.0,2068.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/16 00:00:00,1402/01/17 00:00:00,1440.0,11123,8799,739,623,95,867,78.0,11123,951.0,1119.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/17 00:00:00,1402/01/18 00:00:00,1440.0,11206,9211,620,495,94,786,80.0,11206,947.0,1262.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/18 00:00:00,1402/01/19 00:00:00,1440.0,15498,13449,802,527,70,650,80.0,15498,1339.0,2954.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/19 00:00:00,1402/01/20 00:00:00,1440.0,11029,8701,752,522,100,954,79.0,11029,1096.0,1162.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/20 00:00:00,1402/01/21 00:00:00,1440.0,9156,6992,658,515,99,892,78.0,9156,868.0,729.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/21 00:00:00,1402/01/22 00:00:00,1440.0,8788,6445,576,657,87,1023,76.0,8788,782.0,663.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/22 00:00:00,1402/01/23 00:00:00,1440.0,8419,6474,499,553,86,807,77.0,8419,806.0,663.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/23 00:00:00,1402/01/24 00:00:00,1405.0,8206,6605,438,471,42,650,76.0,8367,657.0,655.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/24 00:00:00,1402/01/25 00:00:00,1440.0,8841,7060,481,508,75,717,77.0,8841,691.0,736.0,0.0
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402/01/25 00:00:00,1402/01/26 00:00:00,1440.0,19079,17092,709,495,73,710,82.0,19079,1923.0,5104.0,0.0
