Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/01 00:00:00,1400/01/01 23:40:00,1235,10374,9200,458,286,119,311,57,2535,5165,0,16006
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/02 01:55:00,1400/01/03 00:00:00,1215,5917,5252,306,169,62,128,63,1637,1465,0,7970
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/03 00:00:00,1400/01/04 00:00:00,1360,14596,12891,653,402,214,436,62,3629,6102,0,16467
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/04 00:00:00,1400/01/05 00:00:00,1315,4975,4721,133,52,35,34,66,1096,637,0,5751
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/05 00:00:00,1400/01/06 00:00:00,1245,7033,6689,280,19,21,24,70,1323,729,0,8707
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/06 00:00:00,1400/01/07 00:00:00,1230,17316,16103,468,256,104,385,58,3390,5314,0,22785
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/07 00:00:00,1400/01/08 00:00:00,1280,15983,14607,850,292,63,171,66,3968,4545,0,18075
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/08 00:00:00,1400/01/09 00:00:00,1255,13277,12394,390,215,93,185,64,3324,3134,0,17105
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/09 00:00:00,1400/01/10 00:00:00,1400,15576,14164,1030,233,46,103,70,4168,1899,0,16266
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/10 00:00:00,1400/01/11 00:00:00,1365,15777,14861,517,256,64,79,67,3307,1913,0,16799
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/11 00:00:00,1400/01/11 23:55:00,1395,17783,16535,841,271,59,77,68,3861,2160,0,18466
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/12 00:00:00,1400/01/13 00:00:00,1370,16868,16124,459,147,47,91,68,3269,1705,0,18021
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/13 00:00:00,1400/01/14 00:00:00,1435,15548,14703,547,213,42,43,69,4085,2233,0,15579
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/14 00:00:00,1400/01/15 00:00:00,1405,22244,19765,1575,443,130,331,63,5003,5456,0,23271
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/15 00:00:00,1400/01/16 00:00:00,1420,17680,15776,940,492,158,314,59,3168,4503,0,18555
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/16 00:00:00,1400/01/17 00:00:00,1400,9191,8008,663,379,62,79,65,2155,1051,0,9559
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/17 00:00:00,1400/01/18 00:00:00,1440,8262,6968,766,388,66,74,63,1710,615,0,8262
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/18 00:00:00,1400/01/19 00:00:00,1405,7294,6142,689,325,53,85,61,1365,423,0,7526
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/19 00:00:00,1400/01/20 00:00:00,1395,6557,5797,434,205,62,59,69,1825,537,0,6918
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/20 00:00:00,1400/01/21 00:00:00,1400,8838,8251,412,87,39,49,71,2657,1031,0,9300
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/21 00:00:00,1400/01/22 00:00:00,1370,7963,7473,311,91,41,47,71,2660,1146,0,8338
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/22 00:00:00,1400/01/23 00:00:00,1390,6377,5622,501,159,53,42,65,1695,534,0,7510
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/23 00:00:00,1400/01/24 00:00:00,1305,9440,8350,447,245,145,253,55,1867,3148,0,15701
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/24 00:00:00,1400/01/24 14:20:00,850,7011,6007,370,296,123,215,51,977,2873,0,11875
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/25 09:05:00,1400/01/26 00:00:00,740,3224,2710,306,141,32,35,59,554,120,0,6791
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/26 00:00:00,1400/01/27 00:00:00,1435,4855,4020,546,179,63,47,62,897,113,0,4867
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/27 00:00:00,1400/01/28 00:00:00,1425,7996,7269,451,161,67,48,64,1537,468,0,8387
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/28 00:00:00,1400/01/29 00:00:00,1430,7380,6310,673,276,56,65,62,1388,258,0,7426
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/29 00:00:00,1400/01/30 00:00:00,1440,6128,5091,674,271,43,49,60,873,160,0,6128
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/30 00:00:00,1400/01/31 00:00:00,1440,4363,3467,549,257,52,38,57,588,143,0,4786
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/01/31 00:00:00,1400/02/01 00:00:00,1435,4387,3502,568,235,39,43,58,623,100,0,4734
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/05 08:00:00,1400/12/06 00:00:00,935,7664,6008,1484,49,14,109,66,79,782,0,7941
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/06 00:00:00,1400/12/07 00:00:00,1435,15014,12602,2270,47,19,76,65,110,1527,0,15117
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/07 00:00:00,1400/12/08 00:00:00,1440,10986,8825,2014,45,18,84,63,99,737,0,10986
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/08 00:00:00,1400/12/09 00:00:00,1260,7248,5418,1703,46,25,56,63,72,383,0,8546
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/09 00:00:00,1400/12/10 00:00:00,1420,7531,5781,1607,55,20,68,65,79,395,0,7646
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/10 00:00:00,1400/12/11 00:00:00,1440,8535,6857,1535,47,21,75,63,88,582,0,8535
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/11 00:00:00,1400/12/12 00:00:00,1325,9918,7626,2107,49,30,106,64,92,648,0,10631
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/12 00:00:00,1400/12/13 00:00:00,1440,10526,8484,1900,39,24,79,64,92,636,0,10526
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/13 00:00:00,1400/12/14 00:00:00,815,8902,7478,1333,30,9,52,63,65,932,0,17195
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/14 00:00:00,1400/12/15 00:00:00,515,4642,3698,829,42,16,57,61,47,382,0,13434
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/15 00:00:00,1400/12/16 00:00:00,1330,8131,6223,1771,61,22,54,65,93,509,0,10694
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/16 00:00:00,1400/12/17 00:00:00,1385,7811,5767,1875,70,30,69,58,60,425,0,9538
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/17 00:00:00,1400/12/18 00:00:00,1440,9488,6876,2432,64,32,84,60,87,456,0,9488
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/18 00:00:00,1400/12/18 18:00:00,1035,6526,4847,1562,46,17,54,64,83,418,0,9269
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/23 13:55:00,1400/12/24 00:00:00,120,79,55,24,0,0,0,69,4,0,0,2898
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/24 00:00:00,1400/12/25 00:00:00,1365,1457,922,515,14,0,6,60,22,20,0,4126
163271,آمل- رودهن(پلور- امامزاده هاشم),1400/12/25 00:00:00,1400/12/26 00:00:00,1415,4470,3256,1144,28,10,32,61,69,226,0,5375
