Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163208,رودهن - آمل (پلور - گزنک),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,10901,9526,757,287,133,198,52.0,10917.0,103.0,2833.0,1403.0
163208,رودهن - آمل (پلور - گزنک),1398/12/02 00:00:00,1398/12/03 00:00:00,1335.0,14071,12255,832,395,198,391,58.0,16172.0,251.0,5637.0,2844.0
163208,رودهن - آمل (پلور - گزنک),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,9493,8287,615,213,158,220,58.0,9517.0,118.0,2327.0,1359.0
163208,رودهن - آمل (پلور - گزنک),1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,10633,9606,660,141,133,93,58.0,10652.0,115.0,2560.0,624.0
163208,رودهن - آمل (پلور - گزنک),1398/12/05 00:00:00,1398/12/06 00:00:00,1395.0,9298,8313,667,140,117,61,57.0,9878.0,100.0,2010.0,540.0
163208,رودهن - آمل (پلور - گزنک),1398/12/06 00:00:00,1398/12/07 00:00:00,1370.0,9972,8750,620,281,99,222,48.0,11769.0,110.0,3312.0,898.0
163208,رودهن - آمل (پلور - گزنک),1398/12/07 00:00:00,1398/12/08 00:00:00,1350.0,8267,7455,327,187,81,217,46.0,10572.0,76.0,2628.0,791.0
163208,رودهن - آمل (پلور - گزنک),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,10453,9403,469,258,100,223,56.0,10477.0,123.0,2432.0,1366.0
163208,رودهن - آمل (پلور - گزنک),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,9026,8077,466,207,109,167,61.0,9042.0,167.0,2794.0,1237.0
163208,رودهن - آمل (پلور - گزنک),1398/12/10 00:00:00,1398/12/11 00:00:00,1360.0,8540,7560,571,167,108,134,59.0,8998.0,123.0,2350.0,765.0
163208,رودهن - آمل (پلور - گزنک),1398/12/11 00:00:00,1398/12/12 00:00:00,1355.0,9673,8545,740,183,121,84,58.0,10223.0,144.0,2889.0,729.0
163208,رودهن - آمل (پلور - گزنک),1398/12/12 00:00:00,1398/12/13 00:00:00,1315.0,9243,8071,611,224,127,210,49.0,11221.0,129.0,3113.0,1068.0
163208,رودهن - آمل (پلور - گزنک),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,9488,8459,561,212,96,160,56.0,9498.0,148.0,3126.0,733.0
163208,رودهن - آمل (پلور - گزنک),1398/12/14 00:00:00,1398/12/15 00:00:00,1390.0,12467,11401,710,186,106,64,60.0,12805.0,217.0,3749.0,370.0
163208,رودهن - آمل (پلور - گزنک),1398/12/15 00:00:00,1398/12/16 00:00:00,1395.0,11923,10912,694,139,97,81,61.0,12474.0,189.0,3235.0,447.0
163208,رودهن - آمل (پلور - گزنک),1398/12/16 00:00:00,1398/12/17 00:00:00,1275.0,7038,6287,445,136,102,68,62.0,9016.0,140.0,1990.0,474.0
163208,رودهن - آمل (پلور - گزنک),1398/12/17 00:00:00,1398/12/18 00:00:00,1390.0,6414,5633,479,125,65,112,61.0,7122.0,107.0,1990.0,462.0
163208,رودهن - آمل (پلور - گزنک),1398/12/18 00:00:00,1398/12/19 00:00:00,1395.0,6773,5948,495,134,70,126,60.0,7016.0,119.0,2443.0,854.0
163208,رودهن - آمل (پلور - گزنک),1398/12/19 00:00:00,1398/12/20 00:00:00,1390.0,5641,4867,499,110,74,91,61.0,5984.0,99.0,1502.0,593.0
163208,رودهن - آمل (پلور - گزنک),1398/12/20 00:00:00,1398/12/21 00:00:00,1350.0,6480,5698,499,119,77,87,61.0,7740.0,122.0,2075.0,569.0
163208,رودهن - آمل (پلور - گزنک),1398/12/21 00:00:00,1398/12/22 00:00:00,1395.0,6256,5522,525,82,81,46,61.0,7333.0,85.0,1610.0,478.0
163208,رودهن - آمل (پلور - گزنک),1398/12/22 00:00:00,1398/12/23 00:00:00,1435.0,5553,4877,450,74,71,81,64.0,6424.0,91.0,1285.0,442.0
163208,رودهن - آمل (پلور - گزنک),1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,4687,4160,316,65,72,74,65.0,5448.0,86.0,1103.0,470.0
163208,رودهن - آمل (پلور - گزنک),1398/12/24 00:00:00,1398/12/25 00:00:00,1435.0,7410,6715,481,83,67,64,66.0,8244.0,214.0,1322.0,520.0
163208,رودهن - آمل (پلور - گزنک),1398/12/25 00:00:00,1398/12/26 00:00:00,1390.0,9697,8996,465,91,83,62,66.0,10041.0,203.0,1195.0,558.0
163208,رودهن - آمل (پلور - گزنک),1398/12/26 00:00:00,1398/12/27 00:00:00,1410.0,11128,10430,464,85,74,75,66.0,11320.0,308.0,1547.0,474.0
163208,رودهن - آمل (پلور - گزنک),1398/12/27 00:00:00,1398/12/28 00:00:00,1410.0,10881,10149,453,102,85,92,63.0,11289.0,239.0,1590.0,563.0
163208,رودهن - آمل (پلور - گزنک),1398/12/28 00:00:00,1398/12/29 00:00:00,1445.0,10348,9761,360,91,73,63,67.0,10330.0,260.0,1372.0,488.0
163208,رودهن - آمل (پلور - گزنک),1398/12/29 00:00:00,1399/01/01 00:00:00,1445.0,9114,8683,237,85,56,53,67.0,9093.0,227.0,1358.0,361.0
163208,رودهن - آمل (پلور - گزنک),1400/01/01 00:00:00,1400/01/02 00:00:00,1365.0,19099,18939,37,5,118,0,59.0,20841.0,524.0,2170.0,202.0
163208,رودهن - آمل (پلور - گزنک),1400/01/02 00:00:00,1400/01/03 00:00:00,1330.0,21057,20850,58,11,138,0,53.0,22373.0,293.0,2108.0,152.0
163208,رودهن - آمل (پلور - گزنک),1400/01/03 00:00:00,1400/01/04 00:00:00,1265.0,17071,16850,71,8,142,0,57.0,20511.0,278.0,1994.0,161.0
163208,رودهن - آمل (پلور - گزنک),1400/01/04 00:00:00,1400/01/05 00:00:00,1385.0,11818,11615,64,16,123,0,58.0,12567.0,351.0,1324.0,146.0
163208,رودهن - آمل (پلور - گزنک),1400/01/05 00:00:00,1400/01/06 00:00:00,1330.0,13709,13203,162,121,223,0,47.0,17625.0,516.0,2133.0,1102.0
163208,رودهن - آمل (پلور - گزنک),1400/01/06 00:00:00,1400/01/07 00:00:00,1390.0,12922,12686,63,16,157,0,59.0,13322.0,267.0,1760.0,49.0
163208,رودهن - آمل (پلور - گزنک),1400/01/07 00:00:00,1400/01/08 00:00:00,1415.0,14728,14402,103,42,181,0,56.0,14974.0,207.0,1840.0,54.0
163208,رودهن - آمل (پلور - گزنک),1400/01/08 00:00:00,1400/01/09 00:00:00,1440.0,14689,14329,135,60,165,0,56.0,14689.0,230.0,1741.0,92.0
163208,رودهن - آمل (پلور - گزنک),1400/01/09 00:00:00,1400/01/10 00:00:00,1440.0,12315,11959,133,57,166,0,59.0,12315.0,256.0,1623.0,97.0
163208,رودهن - آمل (پلور - گزنک),1400/01/10 00:00:00,1400/01/11 00:00:00,1440.0,10476,10083,153,65,175,0,59.0,10476.0,268.0,1541.0,65.0
163208,رودهن - آمل (پلور - گزنک),1400/01/11 00:00:00,1400/01/11 23:55:00,1435.0,8512,8137,145,60,170,0,59.0,8538.0,230.0,1177.0,52.0
163208,رودهن - آمل (پلور - گزنک),1400/01/12 00:00:00,1400/01/13 00:00:00,1420.0,5620,5350,58,36,176,0,62.0,6312.0,258.0,745.0,16.0
