Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/01 00:00:00,1398/12/02 00:00:00,1220.0,9682,8921,487,163,103,8,74.0,11123,60.0,308.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,9057,8383,396,152,113,13,80.0,9069,167.0,238.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,9511,8246,867,271,106,21,78.0,9527,116.0,390.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/04 00:00:00,1398/12/05 00:00:00,1395.0,11320,9782,1078,319,118,23,79.0,11746,188.0,481.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/05 00:00:00,1398/12/06 00:00:00,1395.0,10645,9154,1070,311,96,14,76.0,11135,165.0,556.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,7665,6472,759,278,70,86,74.0,8862,137.0,527.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,6961,6235,424,225,43,34,74.0,7985,88.0,384.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/08 00:00:00,1398/12/09 00:00:00,1435.0,10741,9818,637,188,82,16,79.0,10760,324.0,387.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,7788,7026,398,243,76,45,77.0,7807,202.0,419.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/10 00:00:00,1398/12/11 00:00:00,1385.0,8334,6783,1061,304,102,84,71.0,8710,30.0,592.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,8823,7054,1208,442,95,24,76.0,8841,132.0,364.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,7479,5722,1077,544,114,22,74.0,7489,89.0,203.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,7969,6268,1045,552,89,15,77.0,7982,129.0,207.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,10470,8949,932,476,91,22,81.0,10488,242.0,447.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,10663,9281,798,468,99,17,82.0,10687,267.0,365.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,6586,5664,516,302,82,22,81.0,6604,218.0,138.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,5189,3988,661,446,69,25,80.0,5198,128.0,92.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,4511,3289,683,452,58,29,79.0,4523,93.0,93.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,5000,3809,636,456,67,32,80.0,5054,139.0,148.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/20 00:00:00,1398/12/21 00:00:00,1430.0,5819,4321,813,593,58,34,81.0,5852,192.0,155.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,6129,4681,834,512,76,26,80.0,6144,166.0,218.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/22 00:00:00,1398/12/23 00:00:00,1390.0,5761,4478,678,496,73,36,80.0,5907,177.0,279.0,0.0
163265,رودهن - آمل (پنجاب - سه راه بلده),1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,4671,3906,438,242,66,19,77.0,4682,61.0,59.0,0.0
