Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163216,آمل - رودهن (پنجاب - گزنک),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,6940,6220,328,261,122,9,57.0,6964,50.0,727.0,303.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/02 00:00:00,1398/12/03 00:00:00,1390.0,10889,10389,222,165,107,6,60.0,11600,186.0,1457.0,307.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/03 00:00:00,1398/12/04 00:00:00,1315.0,10192,8871,679,513,122,7,59.0,11015,147.0,1744.0,405.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,9416,7825,854,590,135,12,60.0,9449,152.0,1726.0,384.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/05 00:00:00,1398/12/06 00:00:00,1435.0,8568,7036,798,609,120,5,59.0,8604,120.0,1465.0,303.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/06 00:00:00,1398/12/07 00:00:00,1385.0,6358,5151,642,466,91,8,53.0,6903,45.0,824.0,222.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,3641,3222,213,149,55,2,52.0,5545,13.0,334.0,136.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/08 00:00:00,1398/12/09 00:00:00,1395.0,6849,6278,259,222,85,5,60.0,7064,57.0,737.0,204.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,9313,8816,193,195,104,5,63.0,9329,173.0,1481.0,389.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/10 00:00:00,1398/12/11 00:00:00,1390.0,8837,7318,767,627,114,11,60.0,9204,135.0,1692.0,568.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,7630,6214,812,499,98,7,60.0,7653,97.0,1308.0,398.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,5679,4430,734,422,88,5,54.0,5697,44.0,556.0,203.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,6101,4760,823,426,83,9,59.0,6117,82.0,847.0,282.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,6496,5381,670,349,87,9,61.0,6515,90.0,957.0,306.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/15 00:00:00,1398/12/16 00:00:00,1395.0,6166,5327,519,237,82,1,64.0,6279,135.0,853.0,245.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/16 00:00:00,1398/12/17 00:00:00,1435.0,10628,9878,409,254,79,8,62.0,10643,199.0,1497.0,392.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,6348,5239,636,392,71,10,64.0,6370,167.0,806.0,271.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,6741,5905,493,289,51,3,65.0,6752,192.0,774.0,267.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,5514,4418,629,400,64,3,64.0,5567,153.0,660.0,227.0
163216,آمل - رودهن (پنجاب - گزنک),1398/12/20 00:00:00,1398/12/21 00:00:00,1435.0,5308,4027,742,457,76,6,62.0,5326,119.0,646.0,231.0
