Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163951,چابکسر - رامسر,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,13394,12135,370,556,35,298,67.0,13394.0,23.0,1447.0,0.0
163951,چابکسر - رامسر,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,13049,12032,279,416,72,250,69.0,13049.0,57.0,1545.0,0.0
163951,چابکسر - رامسر,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,12500,11290,332,503,75,300,70.0,12500.0,60.0,1274.0,7.0
163951,چابکسر - رامسر,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,12252,10763,426,604,84,375,68.0,12252.0,41.0,1179.0,4.0
163951,چابکسر - رامسر,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,11759,10290,398,614,78,379,69.0,11759.0,61.0,1205.0,3.0
163951,چابکسر - رامسر,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,11194,9777,429,624,49,315,68.0,11194.0,32.0,1012.0,0.0
163951,چابکسر - رامسر,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,11035,9782,329,525,76,323,62.0,11035.0,14.0,899.0,0.0
163951,چابکسر - رامسر,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,12205,10904,345,627,67,262,59.0,12205.0,22.0,1105.0,0.0
163951,چابکسر - رامسر,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,10007,8925,315,428,55,284,60.0,10007.0,13.0,724.0,1.0
163951,چابکسر - رامسر,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,9949,8777,337,512,43,280,60.0,9949.0,7.0,583.0,0.0
163951,چابکسر - رامسر,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,9129,7897,377,565,59,231,63.0,9129.0,19.0,542.0,0.0
163951,چابکسر - رامسر,1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,8222,7108,316,501,43,254,60.0,8227.0,12.0,331.0,0.0
163951,چابکسر - رامسر,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,8272,7140,312,508,45,267,60.0,8272.0,8.0,340.0,0.0
163951,چابکسر - رامسر,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,8867,7705,331,481,57,293,60.0,8867.0,17.0,402.0,2.0
163951,چابکسر - رامسر,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,8518,7356,313,537,34,278,60.0,8518.0,20.0,360.0,0.0
163951,چابکسر - رامسر,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,5877,4890,294,417,46,230,60.0,5877.0,9.0,149.0,0.0
163951,چابکسر - رامسر,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,5367,4512,253,405,24,173,61.0,5367.0,13.0,117.0,3.0
163951,چابکسر - رامسر,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,5474,4591,281,379,40,183,60.0,5474.0,8.0,109.0,1.0
163951,چابکسر - رامسر,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,6288,5354,265,397,36,236,58.0,6288.0,1.0,135.0,0.0
163951,چابکسر - رامسر,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,6308,5294,303,444,26,241,58.0,6308.0,12.0,123.0,0.0
163951,چابکسر - رامسر,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,6137,5102,297,458,50,230,56.0,6137.0,5.0,122.0,4.0
163951,چابکسر - رامسر,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,6231,5228,272,476,25,230,62.0,6231.0,13.0,212.0,1.0
163951,چابکسر - رامسر,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,5452,4609,283,336,25,199,57.0,5452.0,5.0,105.0,0.0
163951,چابکسر - رامسر,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,6727,5764,298,419,31,215,60.0,6727.0,15.0,179.0,0.0
163951,چابکسر - رامسر,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,6830,5755,395,432,26,222,59.0,6830.0,9.0,157.0,0.0
163951,چابکسر - رامسر,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,7069,6027,373,425,32,212,60.0,7069.0,7.0,241.0,0.0
163951,چابکسر - رامسر,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,6571,5705,355,346,21,144,65.0,6571.0,11.0,248.0,1.0
163951,چابکسر - رامسر,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,6345,5718,224,269,11,123,66.0,6345.0,8.0,239.0,0.0
163951,چابکسر - رامسر,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,5569,5225,107,128,14,95,68.0,5569.0,15.0,196.0,0.0
163951,چابکسر - رامسر,1400/01/01 00:00:00,1400/01/02 00:00:00,1365.0,14566,14240,188,57,35,46,73.0,15874.0,22.0,1086.0,0.0
163951,چابکسر - رامسر,1400/01/02 00:00:00,1400/01/03 00:00:00,1225.0,15918,15486,219,116,56,41,72.0,19094.0,24.0,1469.0,0.0
163951,چابکسر - رامسر,1400/01/03 00:00:00,1400/01/04 00:00:00,1390.0,22497,21784,411,163,72,67,72.0,23594.0,21.0,2775.0,0.0
163951,چابکسر - رامسر,1400/01/04 00:00:00,1400/01/05 00:00:00,1345.0,23683,22854,419,226,92,92,71.0,25779.0,18.0,3254.0,0.0
163951,چابکسر - رامسر,1400/01/05 00:00:00,1400/01/06 00:00:00,1340.0,20871,20103,402,201,71,94,71.0,23932.0,25.0,2336.0,0.0
163951,چابکسر - رامسر,1400/01/06 00:00:00,1400/01/07 00:00:00,1390.0,22863,22131,338,206,72,116,71.0,24207.0,18.0,2811.0,0.0
163951,چابکسر - رامسر,1400/01/07 00:00:00,1400/01/08 00:00:00,1300.0,18963,18167,410,216,65,105,71.0,22099.0,25.0,1763.0,0.0
163951,چابکسر - رامسر,1400/01/08 00:00:00,1400/01/09 00:00:00,1370.0,19850,18909,469,271,78,123,72.0,21189.0,14.0,2032.0,0.0
163951,چابکسر - رامسر,1400/01/09 00:00:00,1400/01/10 00:00:00,1305.0,19670,18735,412,276,82,165,71.0,22024.0,17.0,2174.0,0.0
163951,چابکسر - رامسر,1400/01/10 00:00:00,1400/01/11 00:00:00,1340.0,19100,18175,453,254,77,141,72.0,20852.0,20.0,1899.0,0.0
163951,چابکسر - رامسر,1400/01/11 00:00:00,1400/01/11 23:35:00,1305.0,16817,15963,425,226,67,136,72.0,19326.0,18.0,1480.0,0.0
163951,چابکسر - رامسر,1400/01/12 00:05:00,1400/01/13 00:00:00,1435.0,17372,16690,312,170,65,135,73.0,17404.0,25.0,1392.0,0.0
163951,چابکسر - رامسر,1400/01/13 00:00:00,1400/01/14 00:00:00,1390.0,11166,10912,99,56,29,70,73.0,11572.0,19.0,554.0,0.0
163951,چابکسر - رامسر,1400/01/14 00:00:00,1400/01/15 00:00:00,1390.0,14641,13934,354,197,41,115,75.0,15099.0,18.0,860.0,0.0
163951,چابکسر - رامسر,1400/01/15 00:00:00,1400/01/16 00:00:00,1415.0,13597,12535,401,324,68,269,74.0,13993.0,19.0,754.0,0.0
163951,چابکسر - رامسر,1400/01/16 00:00:00,1400/01/17 00:00:00,1390.0,12894,11702,476,362,72,282,74.0,13274.0,15.0,737.0,0.0
163951,چابکسر - رامسر,1400/01/17 00:00:00,1400/01/18 00:00:00,1345.0,12586,11395,466,384,72,269,74.0,13451.0,19.0,640.0,0.0
163951,چابکسر - رامسر,1400/01/18 00:00:00,1400/01/19 00:00:00,1435.0,13381,12056,538,392,83,312,73.0,13457.0,22.0,746.0,0.0
