Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164601,چالوس - کرج (چالوس - دوآب),1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,3579,2868,133,538,20,20,56.0,3579.0,4.0,601.0,45.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,3854,3743,31,50,9,21,58.0,3854.0,10.0,828.0,31.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,4053,3030,203,788,9,23,57.0,4053.0,7.0,833.0,31.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,4229,3169,223,799,11,27,57.0,4229.0,10.0,928.0,45.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,4303,3149,243,870,19,22,57.0,4303.0,9.0,973.0,41.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,3708,2610,228,834,18,18,56.0,3708.0,7.0,752.0,33.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,1785,1252,101,425,4,3,54.0,1785.0,1.0,170.0,16.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,2402,1879,120,394,7,2,58.0,2402.0,8.0,284.0,29.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,3030,2909,47,62,3,9,58.0,3030.0,16.0,589.0,17.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,4311,3178,242,845,17,29,58.0,4311.0,2.0,965.0,39.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,4033,2964,254,784,12,19,56.0,4033.0,4.0,875.0,31.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,2839,2010,169,638,10,12,54.0,2839.0,1.0,418.0,28.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,3116,2281,141,673,7,14,54.0,3116.0,2.0,464.0,31.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,3781,2876,194,681,9,21,56.0,3781.0,4.0,768.0,24.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,3955,3200,177,553,9,16,58.0,3955.0,6.0,839.0,47.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,3191,3070,52,61,7,1,58.0,3191.0,9.0,622.0,43.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,5775,4622,278,839,20,16,57.0,5775.0,16.0,1653.0,43.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,7164,6617,118,386,25,18,58.0,7164.0,18.0,2363.0,49.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,7161,6032,218,873,15,23,57.0,7161.0,18.0,2268.0,61.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,6667,5591,215,828,13,20,57.0,6667.0,22.0,2092.0,51.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,6420,5395,189,795,24,17,58.0,6420.0,25.0,1872.0,62.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,6548,5861,163,488,17,19,57.0,6548.0,16.0,2065.0,50.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,5653,5431,84,115,10,13,57.0,5653.0,24.0,1585.0,56.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,6469,5566,168,697,15,23,58.0,6469.0,13.0,2009.0,52.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,6483,5702,180,569,12,20,57.0,6483.0,15.0,1982.0,68.0
164601,چالوس - کرج (چالوس - دوآب),1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,6175,5581,137,431,10,16,54.0,6175.0,13.0,1855.0,52.0
