Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164602,چالوس - عباس آباد,1398/12/01 00:25:00,1398/12/02 00:00:00,1190.0,18205,16899,665,333,170,138,67.0,24365.0,356.0,1508.0,0.0
164602,چالوس - عباس آباد,1398/12/02 00:00:00,1398/12/03 00:00:00,1265.0,16030,15028,477,253,132,140,70.0,18911.0,568.0,1130.0,0.0
164602,چالوس - عباس آباد,1398/12/03 00:00:00,1398/12/04 00:00:00,1265.0,18485,17153,698,312,161,161,70.0,22646.0,557.0,1683.0,0.0
164602,چالوس - عباس آباد,1398/12/04 00:00:00,1398/12/05 00:00:00,1320.0,20182,18650,757,417,160,198,70.0,22763.0,460.0,2041.0,0.0
164602,چالوس - عباس آباد,1398/12/05 00:00:00,1398/12/06 00:00:00,1325.0,20153,18460,909,411,141,232,69.0,22382.0,535.0,1983.0,0.0
164602,چالوس - عباس آباد,1398/12/06 00:00:00,1398/12/07 00:00:00,1270.0,17232,15658,779,426,135,234,67.0,20521.0,448.0,1450.0,0.0
164602,چالوس - عباس آباد,1398/12/07 00:00:00,1398/12/08 00:00:00,1435.0,18418,16852,798,404,156,208,67.0,18444.0,347.0,1302.0,0.0
164602,چالوس - عباس آباد,1398/12/08 00:00:00,1398/12/09 00:00:00,1270.0,16501,15326,625,290,117,143,71.0,19358.0,475.0,1363.0,0.0
164602,چالوس - عباس آباد,1398/12/09 00:00:00,1398/12/10 00:00:00,1380.0,14029,13054,465,263,97,150,71.0,14881.0,541.0,795.0,0.0
164602,چالوس - عباس آباد,1398/12/10 00:00:00,1398/12/11 00:00:00,1375.0,19293,17843,772,362,120,196,69.0,20681.0,468.0,1626.0,0.0
164602,چالوس - عباس آباد,1398/12/11 00:00:00,1398/12/12 00:00:00,1155.0,13785,12669,565,305,109,137,66.0,18517.0,258.0,1004.0,0.0
164602,چالوس - عباس آباد,1398/12/12 00:00:00,1398/12/13 00:00:00,1380.0,16538,15211,727,334,88,178,66.0,17474.0,212.0,1154.0,0.0
164602,چالوس - عباس آباد,1398/12/13 00:00:00,1398/12/14 00:00:00,1380.0,16856,15544,709,341,102,160,67.0,18386.0,303.0,1198.0,0.0
164602,چالوس - عباس آباد,1398/12/14 00:00:00,1398/12/15 00:00:00,1275.0,17187,15859,694,354,113,167,70.0,20182.0,452.0,1504.0,0.0
164602,چالوس - عباس آباد,1398/12/15 00:00:00,1398/12/16 00:00:00,1310.0,17396,16068,729,349,99,151,71.0,20059.0,572.0,1473.0,0.0
164602,چالوس - عباس آباد,1398/12/16 00:00:00,1398/12/17 00:00:00,1380.0,12861,11957,475,219,84,126,70.0,13560.0,441.0,634.0,0.0
164602,چالوس - عباس آباد,1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,16564,15250,734,325,88,167,69.0,16587.0,462.0,1165.0,0.0
164602,چالوس - عباس آباد,1398/12/18 00:00:00,1398/12/19 00:00:00,1325.0,11614,10603,555,266,65,125,71.0,13321.0,473.0,564.0,0.0
164602,چالوس - عباس آباد,1398/12/19 00:00:00,1398/12/20 00:00:00,1315.0,14367,13187,655,296,81,148,71.0,16463.0,518.0,922.0,0.0
164602,چالوس - عباس آباد,1398/12/20 00:00:00,1398/12/21 00:00:00,1270.0,13740,12576,686,304,64,110,70.0,15922.0,550.0,863.0,0.0
164602,چالوس - عباس آباد,1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,16079,14559,868,361,126,165,71.0,16104.0,711.0,1079.0,0.0
164602,چالوس - عباس آباد,1398/12/22 00:00:00,1398/12/23 00:00:00,1325.0,13427,12299,600,275,97,156,71.0,14939.0,534.0,790.0,0.0
164602,چالوس - عباس آباد,1398/12/23 00:00:00,1398/12/24 00:00:00,1370.0,10164,9331,423,208,73,129,71.0,11025.0,437.0,371.0,0.0
164602,چالوس - عباس آباد,1398/12/24 00:00:00,1398/12/25 00:00:00,1380.0,17329,16200,631,261,95,142,72.0,18899.0,1249.0,928.0,0.0
164602,چالوس - عباس آباد,1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,23998,22893,629,249,91,136,72.0,24160.0,2665.0,883.0,0.0
164602,چالوس - عباس آباد,1398/12/26 00:00:00,1398/12/27 00:00:00,1445.0,24156,23187,558,215,87,109,69.0,24121.0,1929.0,850.0,0.0
164602,چالوس - عباس آباد,1398/12/27 00:00:00,1398/12/28 00:00:00,1445.0,23605,22736,488,204,91,86,67.0,23572.0,1760.0,764.0,0.0
164602,چالوس - عباس آباد,1398/12/28 00:00:00,1398/12/29 00:00:00,1400.0,22137,21492,365,136,59,85,70.0,23327.0,2131.0,705.0,0.0
164602,چالوس - عباس آباد,1398/12/29 00:00:00,1399/01/01 00:00:00,1400.0,21120,20713,232,89,49,37,72.0,21544.0,2274.0,618.0,0.0
164602,چالوس - عباس آباد,1400/01/01 00:00:00,1400/01/02 00:00:00,1265.0,26639,25798,604,142,63,32,70.0,30633.0,2840.0,3340.0,0.0
164602,چالوس - عباس آباد,1400/01/02 00:00:00,1400/01/03 00:00:00,1220.0,27619,26713,627,178,79,22,68.0,33645.0,2598.0,3529.0,0.0
164602,چالوس - عباس آباد,1400/01/03 00:00:00,1400/01/04 00:00:00,1330.0,33718,32479,852,252,106,29,67.0,36802.0,2853.0,4843.0,0.0
164602,چالوس - عباس آباد,1400/01/04 00:00:00,1400/01/05 00:00:00,1290.0,31717,30452,876,249,95,45,67.0,36722.0,2805.0,4648.0,0.0
164602,چالوس - عباس آباد,1400/01/05 00:00:00,1400/01/06 00:00:00,1440.0,34939,33611,910,278,97,43,66.0,34939.0,2676.0,4576.0,0.0
164602,چالوس - عباس آباد,1400/01/06 00:00:00,1400/01/07 00:00:00,1185.0,25602,24606,667,197,86,46,68.0,33617.0,2450.0,3379.0,0.0
164602,چالوس - عباس آباد,1400/01/07 00:00:00,1400/01/08 00:00:00,975.0,21870,20977,584,196,70,43,67.0,34063.0,1930.0,2843.0,0.0
164602,چالوس - عباس آباد,1400/01/08 00:00:00,1400/01/09 00:00:00,1290.0,29814,28447,886,295,99,87,66.0,33658.0,2319.0,4141.0,0.0
164602,چالوس - عباس آباد,1400/01/09 00:00:00,1400/01/10 00:00:00,1230.0,26853,25644,767,263,92,87,68.0,32349.0,2789.0,3380.0,0.0
164602,چالوس - عباس آباد,1400/01/10 00:00:00,1400/01/11 00:00:00,1285.0,27905,26613,839,276,95,82,69.0,33012.0,2850.0,3660.0,0.0
164602,چالوس - عباس آباد,1400/01/11 00:00:00,1400/01/11 23:55:00,1190.0,24278,23114,742,231,100,91,68.0,29209.0,2327.0,2849.0,0.0
164602,چالوس - عباس آباد,1400/01/12 00:00:00,1400/01/13 00:00:00,1280.0,22734,21820,569,171,103,71,71.0,25447.0,2904.0,2380.0,0.0
164602,چالوس - عباس آباد,1400/01/13 00:00:00,1400/01/14 00:00:00,1390.0,15780,15275,342,79,48,36,74.0,16480.0,2756.0,954.0,0.0
164602,چالوس - عباس آباد,1400/01/14 00:00:00,1400/01/15 00:00:00,1280.0,20154,19213,590,223,68,60,70.0,24335.0,2486.0,1814.0,0.0
164602,چالوس - عباس آباد,1400/01/15 00:00:00,1400/01/16 00:00:00,1235.0,20469,19288,721,259,84,117,72.0,24696.0,2836.0,2088.0,0.0
164602,چالوس - عباس آباد,1400/01/16 00:00:00,1400/01/17 00:00:00,1340.0,22320,20945,806,296,128,145,72.0,24621.0,3245.0,2259.0,0.0
164602,چالوس - عباس آباد,1400/01/17 00:00:00,1400/01/18 00:00:00,1290.0,20424,19094,768,308,120,134,71.0,23486.0,2870.0,1954.0,0.0
164602,چالوس - عباس آباد,1400/01/18 00:00:00,1400/01/19 00:00:00,1340.0,23594,22077,922,317,108,170,71.0,25932.0,3308.0,2557.0,0.0
164602,چالوس - عباس آباد,1400/01/19 00:00:00,1400/01/20 00:00:00,1335.0,21894,20565,823,282,94,130,72.0,24420.0,3042.0,2143.0,0.0
164602,چالوس - عباس آباد,1400/01/20 00:00:00,1400/01/21 00:00:00,1390.0,17551,16549,569,216,84,133,73.0,18376.0,2922.0,1181.0,0.0
164602,چالوس - عباس آباد,1400/01/21 00:00:00,1400/01/22 00:00:00,1240.0,17669,16531,707,215,85,131,72.0,22412.0,2591.0,1420.0,0.0
164602,چالوس - عباس آباد,1400/01/22 00:00:00,1400/01/23 00:00:00,1290.0,18503,17180,855,241,97,130,71.0,21603.0,2541.0,1612.0,0.0
164602,چالوس - عباس آباد,1400/01/23 00:00:00,1400/01/24 00:00:00,1390.0,21658,20159,904,288,134,173,71.0,22726.0,3051.0,2016.0,0.0
164602,چالوس - عباس آباد,1400/01/24 00:00:00,1400/01/25 00:00:00,1340.0,19957,18572,892,235,119,139,71.0,21977.0,2921.0,1733.0,0.0
164602,چالوس - عباس آباد,1400/01/25 00:00:00,1400/01/26 00:00:00,1390.0,22311,20811,936,282,129,153,71.0,22526.0,3321.0,2022.0,0.0
164602,چالوس - عباس آباد,1400/01/26 00:00:00,1400/01/27 00:00:00,1335.0,19483,18261,779,226,84,133,72.0,21477.0,2932.0,1728.0,0.0
