Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/01 00:00:00,1395/01/02 01:00:00,1480.0,4799,4726,47,4,20,2,92.32,1453.0,211.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/02 01:00:00,1395/01/03 00:00:00,1360.0,4517,4431,58,6,20,2,88.63,910.0,171.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/03 00:00:00,1395/01/04 00:00:00,1415.0,6663,6563,74,5,19,2,89.7,1473.0,340.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/04 00:00:00,1395/01/05 00:00:00,1420.0,10293,10087,169,7,26,4,91.65,2786.0,670.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/05 00:00:00,1395/01/06 00:00:00,1425.0,13230,12965,218,7,36,4,90.55,3178.0,953.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/06 00:00:00,1395/01/07 00:00:00,1415.0,15546,15222,280,6,32,6,91.47,4184.0,1104.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/07 00:00:00,1395/01/08 00:00:00,1415.0,16010,15624,337,17,28,4,91.31,4182.0,1329.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/08 00:00:00,1395/01/09 00:00:00,1415.0,12030,11777,217,12,18,6,91.71,3384.0,863.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/09 00:00:00,1395/01/10 00:00:00,1405.0,12905,12619,246,17,20,3,89.43,2899.0,878.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/10 00:00:00,1395/01/11 00:00:00,1410.0,14467,14140,289,7,29,2,89.09,3075.0,980.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/11 00:00:00,1395/01/12 00:00:00,1400.0,16509,16082,375,17,32,3,89.52,3612.0,1225.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/12 00:00:00,1395/01/13 00:00:00,1430.0,16755,16403,297,10,39,6,90.06,4054.0,1129.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/13 00:00:00,1395/01/14 00:00:00,1420.0,12743,12436,262,7,33,5,88.71,2645.0,783.0,0.0,
164603,آزادراه شمال - تهران (مقطع چالوس - مرزن آباد),1395/01/14 00:00:00,1395/01/15 00:00:00,1410.0,13931,13595,269,13,46,8,91.09,3561.0,1150.0,0.0,
