Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164551,کمربندي چالوس - نوشهر,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,21047,17950,1056,1230,473,338,67.0,21047.0,1253.0,4165.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,15993,13989,820,779,224,181,71.0,15993.0,1010.0,2293.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,19690,16951,1012,1097,375,255,70.0,19690.0,1354.0,3572.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,19828,17300,1018,1012,239,259,71.0,19828.0,1073.0,3754.0,3.0
164551,کمربندي چالوس - نوشهر,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,19682,17075,1037,1052,265,253,70.0,19682.0,959.0,3706.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,18390,15880,1007,985,282,236,69.0,18390.0,996.0,3157.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,17212,14669,1005,1080,232,226,65.0,17212.0,627.0,2595.0,4.0
164551,کمربندي چالوس - نوشهر,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,18921,16543,943,954,255,226,70.0,18921.0,984.0,3552.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,14500,12365,799,868,246,222,71.0,14500.0,1019.0,1861.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,18908,16251,1050,1091,285,231,70.0,18908.0,1120.0,3354.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,17047,14463,996,1019,302,267,68.0,17047.0,869.0,2806.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,15343,13020,832,1080,240,171,65.0,15343.0,321.0,2160.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,15509,13669,679,921,101,139,65.0,15509.0,197.0,2323.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,18686,15766,1115,1224,318,263,70.0,18686.0,1080.0,3290.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,19520,16660,1094,1166,331,269,70.0,19520.0,1279.0,3537.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,15964,13552,928,939,308,237,72.0,15964.0,1122.0,2402.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,15472,12957,933,1080,268,234,70.0,15472.0,1038.0,2198.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,12757,10862,747,790,196,162,71.0,12757.0,850.0,1463.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,15365,12784,934,1144,274,229,70.0,15365.0,966.0,2126.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,15206,12556,1025,1117,270,238,70.0,15206.0,945.0,2116.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,14829,12248,983,1076,289,233,70.0,14829.0,923.0,1972.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,14133,11818,830,1018,259,208,69.0,14133.0,798.0,1751.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,10375,8594,686,695,222,178,70.0,10375.0,684.0,871.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,14817,12505,913,957,239,203,71.0,14817.0,919.0,1851.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/25 00:00:00,1398/12/25 02:30:00,150.0,364,305,24,23,5,7,74.0,13928.0,35.0,12.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/28 12:40:01,1398/12/28 23:54:41,360.0,4080,3840,100,105,26,9,57.0,10275.0,5.0,534.0,0.0
164551,کمربندي چالوس - نوشهر,1398/12/29 00:00:00,1399/01/01 00:00:00,1405.0,7106,6747,164,137,42,16,56.0,7401.0,22.0,900.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/01 00:00:00,1400/01/02 00:00:00,1410.0,22353,21992,206,78,23,54,75.0,23138.0,379.0,2274.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/02 00:00:00,1400/01/03 00:00:00,1235.0,21400,20979,251,86,17,67,75.0,25516.0,329.0,2372.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/03 00:00:00,1400/01/04 00:00:00,1335.0,27502,26937,318,139,25,83,73.0,31017.0,231.0,3527.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/04 00:00:00,1400/01/05 00:00:00,1265.0,26825,25324,1144,223,37,97,74.0,32360.0,533.0,3869.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/05 00:00:00,1400/01/06 00:00:00,1190.0,21350,20728,401,115,18,88,72.0,29458.0,375.0,2266.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/06 00:00:00,1400/01/07 00:00:00,1265.0,24500,23905,319,140,32,104,73.0,28231.0,235.0,2987.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/07 00:00:00,1400/01/08 00:00:00,1365.0,29187,28291,470,233,35,158,71.0,31590.0,287.0,3702.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/08 00:00:00,1400/01/09 00:00:00,1400.0,28964,27977,557,243,38,149,72.0,30230.0,183.0,3839.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/09 00:00:00,1400/01/10 00:00:00,1300.0,25862,24686,698,231,50,197,73.0,29761.0,363.0,3488.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/10 00:00:00,1400/01/11 00:00:00,1365.0,27389,26408,525,245,50,161,73.0,29670.0,308.0,3509.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/11 00:00:00,1400/01/11 23:55:00,1360.0,25132,24168,507,239,43,175,71.0,26723.0,277.0,2769.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/12 00:00:00,1400/01/13 00:00:00,1295.0,19822,19139,341,155,38,149,73.0,22404.0,296.0,1931.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/13 00:00:00,1400/01/14 00:00:00,1400.0,15069,14789,126,61,20,73,77.0,15750.0,409.0,1043.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/14 00:00:00,1400/01/15 00:00:00,1230.0,17803,17026,441,175,32,129,72.0,21313.0,220.0,1557.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/15 00:00:00,1400/01/16 00:00:00,1195.0,17083,15812,756,266,51,198,73.0,22098.0,466.0,1671.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/16 00:00:00,1400/01/17 00:00:00,1400.0,22518,20532,1139,435,74,338,74.0,23322.0,638.0,2449.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/17 00:00:00,1400/01/18 00:00:00,1260.0,18270,16394,1140,399,87,250,74.0,21695.0,438.0,1946.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/18 00:00:00,1400/01/19 00:00:00,1195.0,17898,16085,1118,340,79,276,73.0,23193.0,556.0,2005.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/19 00:00:00,1400/01/20 00:00:00,1295.0,19767,17878,1183,388,72,246,73.0,22776.0,495.0,2112.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/20 00:00:00,1400/01/21 00:00:00,1330.0,15736,14194,1046,231,54,211,76.0,17496.0,924.0,1303.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/21 00:00:00,1400/01/22 00:00:00,1405.0,21103,19454,971,356,68,254,72.0,21759.0,259.0,2060.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/22 00:00:00,1400/01/23 00:00:00,1365.0,19503,17826,925,396,58,298,71.0,20715.0,194.0,1847.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/23 00:00:00,1400/01/24 00:00:00,1400.0,21505,19078,1672,410,75,270,73.0,22360.0,890.0,2316.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/24 00:00:00,1400/01/25 00:00:00,1400.0,20910,19154,1030,362,73,291,71.0,21825.0,213.0,2082.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/25 00:00:00,1400/01/26 00:00:00,1235.0,16838,15402,855,295,66,220,68.0,19768.0,290.0,1373.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/26 00:00:00,1400/01/27 00:00:00,1405.0,19375,17305,1334,382,84,270,74.0,20002.0,630.0,1824.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/27 00:00:00,1400/01/28 00:00:00,1440.0,15511,14282,727,234,43,225,75.0,15511.0,690.0,1092.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/28 00:00:00,1400/01/29 00:00:00,1405.0,20219,18235,1272,362,65,285,73.0,21021.0,547.0,1964.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/29 00:00:00,1400/01/30 00:00:00,1290.0,17739,15659,1404,378,54,244,74.0,21006.0,558.0,1660.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/30 00:00:00,1400/01/31 00:00:00,1225.0,16263,14494,1180,300,50,239,73.0,20592.0,582.0,1520.0,0.0
164551,کمربندي چالوس - نوشهر,1400/01/31 00:00:00,1400/02/01 00:00:00,1435.0,21060,18631,1549,489,80,311,74.0,21162.0,547.0,2122.0,0.0
164551,کمربندي چالوس - نوشهر,1400/12/03 22:25:00,1400/12/04 00:00:00,75.0,694,647,25,5,2,15,71.0,27142.0,1.0,32.0,0.0
