Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163810,چالوس - کلارآباد,1400/12/01 18:00:00,1400/12/01 22:20:00,255,4527,4313,118,34,6,56,62,0,156,0,20004
163810,چالوس - کلارآباد,1400/12/08 08:30:00,1400/12/09 00:00:00,750,2013,1739,265,9,0,0,53,0,72,0,3756
163810,چالوس - کلارآباد,1400/12/09 00:00:00,1400/12/10 00:00:00,1325,3594,2902,668,23,0,1,51,3,61,0,3985
163810,چالوس - کلارآباد,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,3767,3155,584,27,0,1,51,2,53,0,3767
163810,چالوس - کلارآباد,1400/12/12 00:00:00,1400/12/13 00:00:00,1400,276,85,127,16,1,47,65,10,89,0,276
163810,چالوس - کلارآباد,1400/12/13 00:00:00,1400/12/14 00:00:00,1345,3155,2640,348,130,2,35,59,7,171,0,3482
163810,چالوس - کلارآباد,1400/12/14 00:00:00,1400/12/15 00:00:00,1415,4231,3221,542,406,9,53,61,12,241,0,4360
163810,چالوس - کلارآباد,1400/12/15 00:00:00,1400/12/16 00:00:00,1315,4414,3354,589,385,5,81,58,11,275,0,5021
163810,چالوس - کلارآباد,1400/12/16 00:00:00,1400/12/17 00:00:00,1270,3628,2646,555,340,7,80,55,1,252,0,4316
163810,چالوس - کلارآباد,1400/12/17 00:00:00,1400/12/18 00:00:00,965,4098,3550,314,174,5,55,67,8,175,0,5522
163810,چالوس - کلارآباد,1400/12/18 00:00:00,1400/12/18 08:50:00,530,4359,3774,414,52,10,109,70,3,253,0,21340
163810,چالوس - کلارآباد,1400/12/19 07:30:00,1400/12/20 00:00:00,960,21432,18487,2523,187,28,207,65,79,1961,0,25271
163810,چالوس - کلارآباد,1400/12/20 00:00:00,1400/12/21 00:00:00,1440,21654,18668,2532,194,38,222,68,143,1691,0,21654
163810,چالوس - کلارآباد,1400/12/21 00:00:00,1400/12/22 00:00:00,1385,22188,19397,2235,204,39,313,67,11,1736,0,22655
163810,چالوس - کلارآباد,1400/12/22 00:00:00,1400/12/23 00:00:00,1440,19498,17111,1842,195,23,327,64,9,1048,0,19498
163810,چالوس - کلارآباد,1400/12/23 00:00:00,1400/12/24 00:00:00,1400,19917,17619,1791,191,17,299,65,53,1284,0,20385
163810,چالوس - کلارآباد,1400/12/24 00:00:00,1400/12/25 00:00:00,1410,21122,19201,1411,172,26,312,66,3,1339,0,21639
163810,چالوس - کلارآباد,1400/12/25 00:00:00,1400/12/26 00:00:00,1410,25391,23586,1253,217,48,287,63,1,1724,0,26236
163810,چالوس - کلارآباد,1400/12/26 00:00:00,1400/12/27 00:00:00,1435,29054,25306,3179,241,37,291,71,155,3294,0,29126
163810,چالوس - کلارآباد,1400/12/27 00:00:00,1400/12/28 00:00:00,1440,31001,28620,2041,134,37,169,69,54,3442,0,31001
163810,چالوس - کلارآباد,1400/12/28 00:00:00,1400/12/29 00:00:00,1425,33124,30050,2753,142,29,150,69,78,4052,0,33330
163810,چالوس - کلارآباد,1400/12/29 00:00:00,1401/01/01 00:00:00,1440,31038,29010,1803,115,36,74,69,74,3507,0,31038
163810,چالوس - کلارآباد,1401/12/01 09:25:00,1401/12/01 20:10:00,570,13126,11901,957,105,18,145,72,55,1224,0,22927
