Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163560,کردکوي - گلوگاه (گلوگاه),1401/12/01 00:00:00,1401/12/02 00:00:00,1440,16182,13589,1102,680,344,467,83,816,2055,0,16182
163560,کردکوي - گلوگاه (گلوگاه),1401/12/02 00:00:00,1401/12/03 00:00:00,1440,16061,13386,1171,676,310,518,82,805,2091,0,16061
163560,کردکوي - گلوگاه (گلوگاه),1401/12/03 00:00:00,1401/12/04 00:00:00,1440,16535,13900,1089,685,344,517,83,837,2368,0,16535
163560,کردکوي - گلوگاه (گلوگاه),1401/12/04 00:00:00,1401/12/05 00:00:00,1440,16482,14188,918,604,325,447,83,821,2469,0,16482
163560,کردکوي - گلوگاه (گلوگاه),1401/12/05 00:00:00,1401/12/06 00:00:00,1440,16867,14939,771,464,283,410,80,640,2596,0,16867
163560,کردکوي - گلوگاه (گلوگاه),1401/12/06 00:00:00,1401/12/07 00:00:00,1440,15365,12913,926,617,349,560,84,878,1963,0,15365
163560,کردکوي - گلوگاه (گلوگاه),1401/12/07 00:00:00,1401/12/08 00:00:00,1440,15495,12811,1061,730,368,525,83,766,1908,0,15495
163560,کردکوي - گلوگاه (گلوگاه),1401/12/08 00:00:00,1401/12/09 00:00:00,1420,15257,12621,1080,656,372,528,80,603,2194,0,15582
163560,کردکوي - گلوگاه (گلوگاه),1401/12/09 00:00:00,1401/12/10 00:00:00,1435,15755,13104,1013,695,400,543,77,489,2276,0,15796
163560,کردکوي - گلوگاه (گلوگاه),1401/12/10 00:00:00,1401/12/11 00:00:00,1440,16634,13984,992,693,388,577,71,443,2711,0,16634
163560,کردکوي - گلوگاه (گلوگاه),1401/12/11 00:00:00,1401/12/12 00:00:00,1440,17048,14487,887,672,441,561,81,681,2506,0,17048
163560,کردکوي - گلوگاه (گلوگاه),1401/12/12 00:00:00,1401/12/13 00:00:00,1440,18218,16129,756,521,335,477,82,623,3067,0,18218
163560,کردکوي - گلوگاه (گلوگاه),1401/12/13 00:00:00,1401/12/14 00:00:00,1440,15629,13050,1014,635,408,522,83,768,1917,0,15629
163560,کردکوي - گلوگاه (گلوگاه),1401/12/14 00:00:00,1401/12/15 00:00:00,1440,15491,12782,1017,696,395,601,82,710,2060,0,15491
163560,کردکوي - گلوگاه (گلوگاه),1401/12/15 00:00:00,1401/12/16 00:00:00,1440,16030,13259,1078,729,421,543,83,720,2146,0,16030
163560,کردکوي - گلوگاه (گلوگاه),1401/12/16 00:00:00,1401/12/17 00:00:00,1435,16894,14308,942,639,443,562,80,683,2468,0,16966
163560,کردکوي - گلوگاه (گلوگاه),1401/12/17 00:00:00,1401/12/18 00:00:00,1440,16824,14392,855,675,400,502,82,654,2383,0,16824
163560,کردکوي - گلوگاه (گلوگاه),1401/12/18 00:00:00,1401/12/19 00:00:00,1440,16273,14011,732,606,427,497,83,768,2240,0,16273
163560,کردکوي - گلوگاه (گلوگاه),1401/12/19 00:00:00,1401/12/20 00:00:00,1440,19992,17795,820,566,361,450,84,903,3734,0,19992
163560,کردکوي - گلوگاه (گلوگاه),1401/12/20 00:00:00,1401/12/21 00:00:00,1435,16622,13853,1089,706,386,588,84,818,2288,0,16680
163560,کردکوي - گلوگاه (گلوگاه),1401/12/21 00:00:00,1401/12/22 00:00:00,1440,16330,13585,1149,704,384,508,83,776,2122,0,16330
163560,کردکوي - گلوگاه (گلوگاه),1401/12/22 00:00:00,1401/12/23 00:00:00,1440,16935,13857,1242,822,435,579,83,891,2328,0,16935
163560,کردکوي - گلوگاه (گلوگاه),1401/12/23 00:00:00,1401/12/24 00:00:00,1440,16588,13596,1183,815,443,551,82,880,2220,0,16588
163560,کردکوي - گلوگاه (گلوگاه),1401/12/24 00:00:00,1401/12/25 00:00:00,1440,17695,14563,1215,868,476,573,84,1052,2663,0,17695
163560,کردکوي - گلوگاه (گلوگاه),1401/12/25 00:00:00,1401/12/26 00:00:00,1440,19044,16187,1024,839,471,523,83,1061,3210,0,19044
163560,کردکوي - گلوگاه (گلوگاه),1401/12/26 00:00:00,1401/12/27 00:00:00,1435,22113,19381,1010,738,460,524,83,1138,4662,0,22131
163560,کردکوي - گلوگاه (گلوگاه),1401/12/27 00:00:00,1401/12/28 00:00:00,1440,20753,18102,1028,735,429,459,84,1196,3790,0,20753
163560,کردکوي - گلوگاه (گلوگاه),1401/12/28 00:00:00,1401/12/29 00:00:00,1440,21681,19437,854,610,394,386,83,1152,4338,0,21681
163560,کردکوي - گلوگاه (گلوگاه),1401/12/29 00:00:00,1402/01/01 00:00:00,1440,21678,20366,415,413,310,174,82,1048,4464,0,21678
163560,کردکوي - گلوگاه (گلوگاه),1402/01/01 00:00:00,1402/01/02 00:00:00,1440,22528,21665,291,255,202,115,79,748,5455,0,22528
163560,کردکوي - گلوگاه (گلوگاه),1402/01/02 00:00:00,1402/01/03 00:00:00,1440,26526,25640,321,220,200,145,78,759,7223,0,26526
163560,کردکوي - گلوگاه (گلوگاه),1402/01/03 00:00:00,1402/01/04 00:00:00,1440,28628,27558,395,294,239,142,82,1272,8775,0,28628
163560,کردکوي - گلوگاه (گلوگاه),1402/01/04 00:00:00,1402/01/05 00:00:00,1435,31614,30309,505,349,258,193,82,1345,10354,0,31778
163560,کردکوي - گلوگاه (گلوگاه),1402/01/05 00:00:00,1402/01/06 00:00:00,1440,29438,27571,715,492,337,323,82,1344,8847,0,29438
163560,کردکوي - گلوگاه (گلوگاه),1402/01/06 00:00:00,1402/01/07 00:00:00,1440,28278,26272,739,536,359,372,82,1345,8083,0,28278
163560,کردکوي - گلوگاه (گلوگاه),1402/01/07 00:00:00,1402/01/08 00:00:00,1440,26750,24674,728,631,376,341,82,1278,7117,0,26750
163560,کردکوي - گلوگاه (گلوگاه),1402/01/08 00:00:00,1402/01/09 00:00:00,1440,24769,22746,662,584,376,401,82,1080,6216,0,24769
163560,کردکوي - گلوگاه (گلوگاه),1402/01/09 00:00:00,1402/01/10 00:00:00,1305,22594,20830,579,487,346,352,82,932,5668,0,25558
163560,کردکوي - گلوگاه (گلوگاه),1402/01/10 00:00:00,1402/01/11 00:00:00,1365,25231,23648,488,434,367,294,82,894,6695,0,25852
163560,کردکوي - گلوگاه (گلوگاه),1402/01/11 00:00:00,1402/01/12 00:00:00,1440,24749,23171,497,454,353,274,79,907,6051,0,24749
163560,کردکوي - گلوگاه (گلوگاه),1402/01/12 00:00:00,1402/01/13 00:00:00,1440,20959,19709,408,333,303,206,78,998,4382,0,20959
163560,کردکوي - گلوگاه (گلوگاه),1402/01/13 00:00:00,1402/01/14 00:00:00,1440,19152,18262,320,247,195,128,85,1209,3212,0,19152
163560,کردکوي - گلوگاه (گلوگاه),1402/01/14 00:00:00,1402/01/15 00:00:00,1440,20784,18891,661,541,316,375,84,1207,3989,0,20784
163560,کردکوي - گلوگاه (گلوگاه),1402/01/15 00:00:00,1402/01/16 00:00:00,1440,18199,15961,798,589,370,481,84,1071,2785,0,18199
163560,کردکوي - گلوگاه (گلوگاه),1402/01/16 00:00:00,1402/01/17 00:00:00,1435,16307,13959,786,659,382,521,85,1038,2230,0,16331
163560,کردکوي - گلوگاه (گلوگاه),1402/01/17 00:00:00,1402/01/18 00:00:00,1440,17327,15088,685,631,411,512,84,1003,2815,0,17327
163560,کردکوي - گلوگاه (گلوگاه),1402/01/18 00:00:00,1402/01/19 00:00:00,1440,18002,15927,675,576,375,449,85,1155,3100,0,18002
163560,کردکوي - گلوگاه (گلوگاه),1402/01/19 00:00:00,1402/01/20 00:00:00,1440,13964,11712,752,618,367,515,85,918,1660,0,14439
163560,کردکوي - گلوگاه (گلوگاه),1402/01/20 00:00:00,1402/01/21 00:00:00,1440,13570,11347,939,505,371,408,82,702,2391,0,13570
163560,کردکوي - گلوگاه (گلوگاه),1402/01/21 00:00:00,1402/01/22 00:00:00,1440,13402,11034,979,538,380,471,83,899,2254,0,13402
163560,کردکوي - گلوگاه (گلوگاه),1402/01/22 00:00:00,1402/01/23 00:00:00,1440,14685,12532,875,526,355,397,84,998,2616,0,14685
163560,کردکوي - گلوگاه (گلوگاه),1402/01/23 00:00:00,1402/01/24 00:00:00,1440,12792,11156,597,421,291,327,84,918,2392,0,12792
163560,کردکوي - گلوگاه (گلوگاه),1402/01/24 00:00:00,1402/01/25 00:00:00,1440,14434,12459,833,438,320,384,83,848,3036,0,14434
163560,کردکوي - گلوگاه (گلوگاه),1402/01/25 00:00:00,1402/01/26 00:00:00,1440,16932,15056,751,436,308,381,83,883,4355,0,16932
163560,کردکوي - گلوگاه (گلوگاه),1402/01/26 00:00:00,1402/01/27 00:00:00,1425,14629,12497,957,447,334,394,83,899,3237,0,14879
163560,کردکوي - گلوگاه (گلوگاه),1402/01/27 00:00:00,1402/01/27 06:50:00,410,2134,1609,186,124,116,99,86,323,153,0,14214
163560,کردکوي - گلوگاه (گلوگاه),1402/01/28 12:20:00,1402/01/29 00:00:00,695,8339,7258,451,234,210,186,76,118,1074,0,14339
163560,کردکوي - گلوگاه (گلوگاه),1402/01/29 00:00:00,1402/01/30 00:00:00,1440,14548,12404,924,426,412,382,75,215,1821,0,14548
