Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
163860,کلارآباد - چالوس,1400/12/01 18:00:00,1400/12/01 22:20:00,255,4515,4258,157,43,8,49,62,0,222,0,20560
163860,کلارآباد - چالوس,1400/12/08 08:30:00,1400/12/09 00:00:00,750,5711,4831,841,30,1,8,48,4,200,0,6465
163860,کلارآباد - چالوس,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,281,185,91,5,0,0,47,0,7,0,281
163860,کلارآباد - چالوس,1400/12/11 00:00:00,1400/12/12 00:00:00,1360,3597,2879,700,18,0,0,50,1,61,0,3835
163860,کلارآباد - چالوس,1400/12/12 00:00:00,1400/12/13 00:00:00,1400,2978,2380,579,18,0,1,51,0,40,0,3043
163860,کلارآباد - چالوس,1400/12/13 00:00:00,1400/12/14 00:00:00,1350,4507,3947,546,14,0,0,52,0,65,0,4951
163860,کلارآباد - چالوس,1400/12/14 00:00:00,1400/12/15 00:00:00,1415,4307,3619,665,23,0,0,50,1,60,0,4418
163860,کلارآباد - چالوس,1400/12/15 00:00:00,1400/12/16 00:00:00,1315,4230,3420,778,31,0,1,50,3,68,0,4854
163860,کلارآباد - چالوس,1400/12/16 00:00:00,1400/12/17 00:00:00,1270,3781,3000,761,19,0,1,45,1,57,0,4329
163860,کلارآباد - چالوس,1400/12/17 00:00:00,1400/12/18 00:00:00,965,3983,3180,729,35,2,37,61,40,155,0,6971
163860,کلارآباد - چالوس,1400/12/18 00:00:00,1400/12/18 08:50:00,530,3459,2756,562,39,11,91,73,71,150,0,21106
163860,کلارآباد - چالوس,1400/12/19 07:30:00,1400/12/20 00:00:00,960,20397,17302,2677,194,15,209,67,254,1780,0,24040
163860,کلارآباد - چالوس,1400/12/20 00:00:00,1400/12/21 00:00:00,1440,22948,19621,2879,154,38,256,68,273,2074,0,22948
163860,کلارآباد - چالوس,1400/12/21 00:00:00,1400/12/22 00:00:00,1390,22509,19021,3026,158,37,267,70,289,1960,0,22894
163860,کلارآباد - چالوس,1400/12/22 00:00:00,1400/12/23 00:00:00,1440,19264,16003,2780,167,22,292,67,250,1259,0,19264
163860,کلارآباد - چالوس,1400/12/23 00:00:00,1400/12/24 00:00:00,1385,19471,16212,2792,163,15,289,68,225,1472,0,20190
163860,کلارآباد - چالوس,1400/12/24 00:00:00,1400/12/25 00:00:00,1410,19580,16371,2785,166,12,246,68,174,1445,0,20083
163860,کلارآباد - چالوس,1400/12/25 00:00:00,1400/12/26 00:00:00,1410,20566,17255,2893,148,24,246,66,142,1607,0,21305
163860,کلارآباد - چالوس,1400/12/26 00:00:00,1400/12/27 00:00:00,1435,22495,19224,2869,151,25,226,70,299,2023,0,22566
163860,کلارآباد - چالوس,1400/12/27 00:00:00,1400/12/28 00:00:00,1440,24026,20793,2914,151,21,147,69,260,2252,0,24026
163860,کلارآباد - چالوس,1400/12/28 00:00:00,1400/12/29 00:00:00,1425,24774,21633,2882,126,20,113,69,295,2495,0,24886
163860,کلارآباد - چالوس,1400/12/29 00:00:00,1401/01/01 00:00:00,1435,20850,18290,2388,72,19,81,69,266,1607,0,20881
163860,کلارآباد - چالوس,1401/12/01 09:25:00,1401/12/01 20:10:00,570,13068,12019,803,107,13,126,73,62,1368,0,22210
163860,کلارآباد - چالوس,1401/12/02 05:35:00,1401/12/03 00:00:00,920,17027,15685,1017,136,14,175,70,75,1453,0,22118
163860,کلارآباد - چالوس,1401/12/03 00:00:00,1401/12/04 00:00:00,1135,17275,15733,1130,156,31,225,72,81,1683,0,23557
163860,کلارآباد - چالوس,1401/12/04 00:00:00,1401/12/05 00:00:00,1105,17148,15495,1260,131,26,236,72,80,1611,0,24284
163860,کلارآباد - چالوس,1401/12/05 00:00:00,1401/12/06 00:00:00,1320,20507,19404,682,151,38,232,67,35,1519,0,22695
163860,کلارآباد - چالوس,1401/12/06 00:00:00,1401/12/06 17:00:00,930,14489,13072,1114,114,24,165,73,63,1369,0,24598
163860,کلارآباد - چالوس,1401/12/07 16:45:00,1401/12/07 17:40:00,55,1435,1325,79,10,4,17,72,5,180,0,21551
163860,کلارآباد - چالوس,1401/12/08 05:35:00,1401/12/09 00:00:00,910,17072,15543,1155,155,20,199,72,85,1561,0,22403
163860,کلارآباد - چالوس,1401/12/09 00:00:00,1401/12/10 00:00:00,1200,17023,15364,1162,178,29,290,72,71,1367,0,22313
163860,کلارآباد - چالوس,1401/12/10 00:00:00,1401/12/11 00:00:00,865,11370,10151,875,120,21,203,72,47,1103,0,23152
163860,کلارآباد - چالوس,1401/12/11 00:00:00,1401/12/11 18:40:00,1070,16980,15482,1068,164,25,241,73,79,1794,0,23892
163860,کلارآباد - چالوس,1401/12/12 14:15:00,1401/12/12 22:20:00,295,8000,7561,279,59,17,84,72,48,1144,0,23773
163860,کلارآباد - چالوس,1401/12/13 10:55:00,1401/12/13 15:05:00,220,5293,4866,327,47,4,49,74,30,613,0,23617
163860,کلارآباد - چالوس,1401/12/15 20:55:00,1401/12/16 00:00:00,185,2727,2501,124,30,3,69,72,14,175,0,18306
163860,کلارآباد - چالوس,1401/12/16 00:00:00,1401/12/17 00:00:00,1230,18821,16975,1333,190,27,296,69,71,1532,0,23651
163860,کلارآباد - چالوس,1401/12/17 00:00:00,1401/12/18 00:00:00,1280,21721,19218,2005,171,31,296,68,72,1781,0,24262
163860,کلارآباد - چالوس,1401/12/18 00:00:00,1401/12/18 23:50:00,1265,23356,21698,1174,195,30,259,71,94,2712,0,27499
163860,کلارآباد - چالوس,1401/12/19 00:40:00,1401/12/20 00:00:00,1300,26156,24731,918,174,39,294,71,97,3024,0,29179
163860,کلارآباد - چالوس,1401/12/20 00:00:00,1401/12/20 23:35:00,1290,22742,20816,1443,174,39,270,72,84,2287,0,25876
163860,کلارآباد - چالوس,1401/12/21 00:00:00,1401/12/22 00:00:00,1040,15990,14307,1248,147,32,256,71,54,1467,0,23716
163860,کلارآباد - چالوس,1401/12/22 00:00:00,1401/12/23 00:00:00,1225,19958,17970,1466,184,35,303,73,111,2022,0,24609
163860,کلارآباد - چالوس,1401/12/23 00:00:00,1401/12/24 00:00:00,1320,21137,19043,1514,207,31,342,71,95,1862,0,22976
163860,کلارآباد - چالوس,1401/12/24 00:00:00,1401/12/25 00:00:00,1220,20266,16500,3326,165,23,252,66,54,1447,0,25518
163860,کلارآباد - چالوس,1401/12/25 00:00:00,1401/12/26 00:00:00,1385,22849,20617,1647,200,49,336,69,69,1999,0,24143
163860,کلارآباد - چالوس,1401/12/26 00:00:00,1401/12/27 00:00:00,1235,20598,19344,869,135,35,215,71,97,1872,0,25205
163860,کلارآباد - چالوس,1401/12/27 00:00:00,1401/12/28 00:00:00,1320,24226,22735,1089,167,40,195,71,106,2518,0,26446
163860,کلارآباد - چالوس,1401/12/28 00:05:00,1401/12/29 00:00:00,1235,23691,22468,900,146,34,143,70,106,2431,0,26231
163860,کلارآباد - چالوس,1401/12/29 00:00:00,1401/12/29 15:45:00,865,12634,12085,390,58,24,77,71,63,1014,0,25658
163860,کلارآباد - چالوس,1402/01/01 08:50:00,1402/01/02 00:00:00,785,18695,18272,317,62,20,24,63,29,1644,0,24186
163860,کلارآباد - چالوس,1402/01/02 01:05:00,1402/01/03 00:00:00,1220,22342,21766,443,70,26,37,63,39,1957,0,27714
163860,کلارآباد - چالوس,1402/01/03 00:00:00,1402/01/03 23:40:00,1285,29477,28638,653,97,32,57,66,91,3575,0,34600
163860,کلارآباد - چالوس,1402/01/04 00:05:00,1402/01/05 00:00:00,1130,28911,28127,592,125,23,44,67,118,3866,0,40358
163860,کلارآباد - چالوس,1402/01/05 00:00:00,1402/01/06 00:00:00,1185,31857,28345,3355,75,29,53,65,112,2827,0,40128
163860,کلارآباد - چالوس,1402/01/06 00:00:00,1402/01/07 00:00:00,955,25389,24495,672,124,32,66,70,116,3333,0,40041
163860,کلارآباد - چالوس,1402/01/07 00:00:00,1402/01/07 20:00:00,960,25250,24073,912,134,38,93,67,89,3288,0,38853
163860,کلارآباد - چالوس,1402/01/08 03:25:00,1402/01/08 22:05:00,820,20750,19628,897,116,27,82,68,89,2465,0,36297
163860,کلارآباد - چالوس,1402/01/09 12:00:00,1402/01/10 00:00:00,480,16455,15618,591,159,20,67,57,42,2663,0,34405
163860,کلارآباد - چالوس,1402/01/10 00:00:00,1402/01/10 23:55:00,875,25401,24507,647,117,26,104,66,91,3505,0,39055
163860,کلارآباد - چالوس,1402/01/11 00:20:00,1402/01/12 00:00:00,1070,31579,30696,635,140,37,71,62,54,3490,0,40688
163860,کلارآباد - چالوس,1402/01/12 00:00:00,1402/01/13 00:00:00,1365,33588,32748,625,103,35,77,66,54,3461,0,35750
163860,کلارآباد - چالوس,1402/01/13 00:00:00,1402/01/14 00:00:00,1255,27973,25713,2124,65,25,46,71,74,2375,0,32385
163860,کلارآباد - چالوس,1402/01/14 00:00:00,1402/01/15 00:00:00,1170,24087,22412,1464,67,28,116,73,78,2432,0,31968
163860,کلارآباد - چالوس,1402/01/15 00:00:00,1402/01/16 00:00:00,1295,24117,22717,963,137,36,264,73,116,2480,0,27482
163860,کلارآباد - چالوس,1402/01/16 00:00:00,1402/01/17 00:00:00,1290,21656,20084,1106,162,34,270,72,95,2140,0,24740
163860,کلارآباد - چالوس,1402/01/17 00:00:00,1402/01/18 00:00:00,1185,19135,17906,797,170,34,228,71,87,1803,0,25186
163860,کلارآباد - چالوس,1402/01/18 00:00:00,1402/01/19 00:00:00,1245,21428,20456,597,141,30,204,72,125,2150,0,25780
163860,کلارآباد - چالوس,1402/01/19 00:00:00,1402/01/20 00:00:00,1190,17595,16344,904,128,32,187,73,99,1473,0,22509
163860,کلارآباد - چالوس,1402/01/20 00:00:00,1402/01/21 00:00:00,1240,17849,16655,820,146,21,207,70,56,1277,0,21681
163860,کلارآباد - چالوس,1402/01/21 00:05:00,1402/01/21 01:35:00,80,549,383,140,5,3,18,64,4,12,0,19555
163860,کلارآباد - چالوس,1402/01/30 22:00:00,1402/01/31 00:00:00,40,574,540,18,4,0,12,72,1,26,0,20473
163860,کلارآباد - چالوس,1402/01/31 00:00:00,1402/01/31 21:40:00,450,8005,7262,489,48,38,168,72,149,798,0,26025
163860,کلارآباد - چالوس,1401/01/01 00:00:00,1401/01/02 00:00:00,1380,23733,20065,3547,77,11,33,64,115,2459,0,25177
163860,کلارآباد - چالوس,1401/01/02 01:05:00,1401/01/03 00:00:00,1345,28299,23311,4826,95,27,40,63,135,3474,0,29225
163860,کلارآباد - چالوس,1401/01/03 00:00:00,1401/01/04 00:00:00,1410,33945,31557,2240,99,19,30,59,151,3987,0,35079
163860,کلارآباد - چالوس,1401/01/04 00:00:00,1401/01/05 00:00:00,1425,31486,28430,2372,251,77,356,51,66,3598,0,31734
163860,کلارآباد - چالوس,1401/01/05 00:00:00,1401/01/06 00:00:00,1380,40191,38726,1225,166,15,59,58,112,4747,0,41960
163860,کلارآباد - چالوس,1401/01/06 00:00:00,1401/01/07 00:00:00,1395,39345,37554,1465,180,35,111,56,60,4438,0,40375
