Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations,Estimated Number
164671,کلاردشت - عباس آباد,1400/12/01 00:00:00,1400/12/02 00:00:00,1440,1506,479,934,14,3,76,62,7,287,124,1506.0
164671,کلاردشت - عباس آباد,1400/12/02 00:00:00,1400/12/03 00:00:00,1375,1795,564,1156,42,1,32,68,10,358,231,1834.0
164671,کلاردشت - عباس آباد,1400/12/03 00:00:00,1400/12/04 00:00:00,1440,1378,510,798,7,2,61,66,5,130,185,1378.0
164671,کلاردشت - عباس آباد,1400/12/04 00:00:00,1400/12/05 00:00:00,1440,3026,840,2059,63,1,63,66,23,1021,228,3026.0
164671,کلاردشت - عباس آباد,1400/12/05 00:00:00,1400/12/06 00:00:00,1430,3036,965,1944,83,2,42,65,25,617,246,3118.0
164671,کلاردشت - عباس آباد,1400/12/06 00:00:00,1400/12/07 00:00:00,1435,4839,1253,3284,168,13,121,68,35,1636,284,4966.0
164671,کلاردشت - عباس آباد,1400/12/07 00:00:00,1400/12/08 00:00:00,1425,2903,948,1852,51,1,51,65,15,717,186,2961.0
164671,کلاردشت - عباس آباد,1400/12/08 00:00:00,1400/12/09 00:00:00,1255,1356,653,689,7,1,6,64,2,72,145,1704.0
164671,کلاردشت - عباس آباد,1400/12/09 00:00:00,1400/12/10 00:00:00,1345,1772,839,923,7,0,3,63,9,112,192,1831.0
164671,کلاردشت - عباس آباد,1400/12/10 00:00:00,1400/12/11 00:00:00,1440,2562,1174,1374,10,0,4,62,10,252,214,2562.0
164671,کلاردشت - عباس آباد,1400/12/11 00:00:00,1400/12/12 00:00:00,1395,2504,1242,1254,8,0,0,62,4,210,212,2565.0
164671,کلاردشت - عباس آباد,1400/12/12 00:00:00,1400/12/13 00:00:00,1405,2958,1371,1579,5,0,3,63,9,243,235,3163.0
164671,کلاردشت - عباس آباد,1400/12/13 00:00:00,1400/12/14 00:00:00,1435,3445,1584,1847,11,0,3,61,11,398,254,3456.0
164671,کلاردشت - عباس آباد,1400/12/14 00:00:00,1400/12/15 00:00:00,1440,1795,921,869,5,0,0,62,5,94,182,1795.0
164671,کلاردشت - عباس آباد,1400/12/15 00:00:00,1400/12/16 00:00:00,1390,1798,841,943,7,3,4,62,3,113,232,1945.0
164671,کلاردشت - عباس آباد,1400/12/16 00:00:00,1400/12/17 00:00:00,1405,1868,721,1141,5,1,0,62,12,146,89,1889.0
164671,کلاردشت - عباس آباد,1400/12/17 00:00:00,1400/12/18 00:00:00,1440,1949,933,1003,9,0,4,61,5,125,177,1949.0
164671,کلاردشت - عباس آباد,1400/12/18 00:00:00,1400/12/18 08:50:00,530,198,97,100,1,0,0,63,1,0,26,2055.0
164671,کلاردشت - عباس آباد,1400/12/19 00:40:00,1400/12/20 00:00:00,1400,1905,783,1114,6,1,1,61,11,138,113,1917.0
