Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/01 00:00:00,1398/12/02 00:00:00,1435.0,5593,5074,452,19,42,6,48.0,5607,3828.0,903.0,203.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/02 00:00:00,1398/12/03 00:00:00,1435.0,3797,3480,262,12,43,0,52.0,3803,3172.0,608.0,145.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/03 00:00:00,1398/12/04 00:00:00,1435.0,4774,4121,602,10,37,4,53.0,4751,3990.0,1017.0,85.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/04 00:00:00,1398/12/05 00:00:00,1435.0,5746,4951,721,17,50,7,53.0,5757,4964.0,1228.0,158.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/05 00:00:00,1398/12/06 00:00:00,1380.0,5485,4774,650,15,42,4,53.0,5748,4525.0,1290.0,140.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/06 00:00:00,1398/12/07 00:00:00,1390.0,3258,2651,527,40,31,9,42.0,3756,1627.0,398.0,116.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/07 00:00:00,1398/12/08 00:00:00,1425.0,112,73,9,21,6,3,26.0,3001,1.0,2.0,18.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/08 00:00:00,1398/12/09 00:00:00,1430.0,245,204,36,5,0,0,45.0,3426,125.0,13.0,21.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/09 00:00:00,1398/12/10 00:00:00,1435.0,1540,1396,126,4,14,0,53.0,2139,1276.0,237.0,14.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/10 00:00:00,1398/12/11 00:00:00,990.0,2976,2537,414,5,20,0,53.0,4856,2477.0,623.0,10.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/11 00:00:00,1398/12/12 00:00:00,1435.0,4341,3880,427,10,24,0,51.0,4352,3444.0,815.0,16.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/12 00:00:00,1398/12/13 00:00:00,1435.0,3449,2962,432,23,29,3,47.0,3451,2264.0,494.0,44.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/13 00:00:00,1398/12/14 00:00:00,1435.0,4197,3797,359,16,20,5,46.0,5203,2668.0,641.0,45.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/14 00:00:00,1398/12/15 00:00:00,1435.0,6822,6030,749,14,28,1,52.0,6836,5916.0,1692.0,67.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/15 00:00:00,1398/12/16 00:00:00,1435.0,7196,6513,651,16,15,1,54.0,7218,6470.0,1726.0,64.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/16 00:00:00,1398/12/17 00:00:00,1365.0,1244,1094,134,13,3,0,36.0,3228,422.0,233.0,159.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/17 00:00:00,1398/12/18 00:00:00,1435.0,1402,1272,105,10,14,1,45.0,1470,773.0,125.0,16.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/18 00:00:00,1398/12/19 00:00:00,1435.0,1577,1408,153,2,13,1,50.0,1579,1118.0,93.0,17.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/19 00:00:00,1398/12/20 00:00:00,1425.0,1718,1512,191,2,13,0,49.0,1732,1157.0,131.0,20.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/20 00:00:00,1398/12/21 00:00:00,1435.0,1932,1763,146,7,16,0,50.0,2342,1374.0,114.0,18.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/21 00:00:00,1398/12/22 00:00:00,1435.0,2192,1809,358,8,17,0,54.0,2197,1864.0,260.0,31.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/22 00:00:00,1398/12/23 00:00:00,1385.0,2174,1964,191,5,14,0,52.0,2227,1740.0,190.0,42.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/23 00:00:00,1398/12/24 00:00:00,1435.0,1704,1562,128,2,12,0,53.0,2752,1394.0,137.0,35.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/24 00:00:00,1398/12/25 00:00:00,1380.0,2890,2717,152,5,15,1,53.0,3022,2356.0,359.0,89.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/25 00:00:00,1398/12/26 00:00:00,1430.0,2840,2748,67,11,14,0,53.0,2856,2326.0,330.0,101.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,3316,3189,97,7,22,1,53.0,3316,2694.0,363.0,104.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,3197,3121,53,6,16,1,49.0,3300,2277.0,285.0,67.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,3502,3406,76,4,16,0,54.0,3502,2969.0,483.0,123.0
164656,کرج - چالوس (کندوان - سياه بيشه),1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,3084,3009,54,6,15,0,55.0,3084,2751.0,364.0,95.0
164656,کرج - چالوس (کندوان - سياه بيشه),1400/01/01 00:00:00,1400/01/02 00:00:00,1390.0,22260,22191,16,14,39,0,54.0,23298,20022.0,3129.0,221.0
164656,کرج - چالوس (کندوان - سياه بيشه),1400/01/02 00:00:00,1400/01/03 00:00:00,1325.0,22651,22579,21,11,40,0,53.0,24095,20585.0,3247.0,167.0
