Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163159,کياسر - ساري (امره),1398/01/01 00:00:00,1398/01/02 00:00:00,1439.0,4926,4830,41,45,10,0,58.0,4926,70.0,429.0,0.0
163159,کياسر - ساري (امره),1398/01/02 00:00:00,1398/01/03 00:00:00,1374.0,8072,7939,68,53,12,0,57.0,8141,58.0,794.0,0.0
163159,کياسر - ساري (امره),1398/01/03 00:00:00,1398/01/04 00:00:00,1439.0,10059,9883,96,63,14,3,57.0,10059,75.0,1147.0,0.0
163159,کياسر - ساري (امره),1398/01/04 00:00:00,1398/01/05 00:00:00,1374.0,10643,10379,142,103,11,8,57.0,10985,97.0,1304.0,0.0
163159,کياسر - ساري (امره),1398/01/05 00:00:00,1398/01/06 00:00:00,1439.0,6712,6467,135,97,13,0,56.0,6712,42.0,525.0,0.0
163159,کياسر - ساري (امره),1398/01/06 00:00:00,1398/01/07 00:00:00,1434.0,4636,4390,136,98,12,0,58.0,4679,48.0,354.0,0.0
163159,کياسر - ساري (امره),1398/01/07 00:00:00,1398/01/08 00:00:00,1385.0,5827,5553,153,110,11,0,60.0,6311,68.0,670.0,0.0
163159,کياسر - ساري (امره),1398/01/08 00:00:00,1398/01/09 00:00:00,1439.0,7402,7050,178,161,13,0,61.0,7402,98.0,981.0,0.0
163159,کياسر - ساري (امره),1398/01/09 00:00:00,1398/01/10 00:00:00,1439.0,10686,10420,122,123,14,7,50.0,10686,82.0,1341.0,118.0
163159,کياسر - ساري (امره),1398/01/10 00:00:00,1398/01/11 00:00:00,1374.0,7188,6881,170,119,16,2,60.0,7515,92.0,948.0,192.0
163159,کياسر - ساري (امره),1398/01/11 00:00:00,1398/01/11 23:55:00,1434.0,5894,5567,166,149,11,1,58.0,5908,45.0,539.0,202.0
163159,کياسر - ساري (امره),1398/01/12 00:00:00,1398/01/13 00:00:00,1304.0,4809,4605,97,98,9,0,59.0,4896,45.0,489.0,104.0
163159,کياسر - ساري (امره),1398/01/13 00:00:00,1398/01/14 00:00:00,1378.0,7108,7008,50,46,4,0,56.0,7989,73.0,984.0,323.0
163159,کياسر - ساري (امره),1398/01/14 00:00:00,1398/01/15 00:00:00,1380.0,10139,9923,126,68,20,2,59.0,10545,108.0,1401.0,174.0
163159,کياسر - ساري (امره),1398/01/15 00:00:00,1398/01/16 00:00:00,1438.0,8100,7864,114,103,18,1,62.0,8101,131.0,1175.0,129.0
163159,کياسر - ساري (امره),1398/01/16 00:00:00,1398/01/17 00:00:00,1412.0,9474,9197,133,120,19,5,62.0,9725,144.0,1492.0,214.0
163159,کياسر - ساري (امره),1398/01/17 00:00:00,1398/01/18 00:00:00,1364.0,4445,4046,209,171,14,5,62.0,4611,95.0,464.0,158.0
