Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163161,کياسر - ساري (کياده),1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,1527,1125,222,164,12,4,65.0,1527,0.0,80.0,0.0
163161,کياسر - ساري (کياده),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,1980,1741,146,82,8,3,73.0,1980,0.0,161.0,0.0
163161,کياسر - ساري (کياده),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,1557,1240,171,120,17,9,71.0,1557,0.0,68.0,0.0
163161,کياسر - ساري (کياده),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,1677,1274,196,182,11,14,70.0,1677,0.0,79.0,0.0
163161,کياسر - ساري (کياده),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,1745,1287,267,167,20,4,70.0,1745,0.0,84.0,0.0
163161,کياسر - ساري (کياده),1398/12/06 00:00:00,1398/12/07 00:00:00,1390.0,1365,998,197,159,6,5,68.0,1443,0.0,57.0,0.0
163161,کياسر - ساري (کياده),1398/12/07 00:00:00,1398/12/08 00:00:00,1440.0,982,657,180,133,7,5,57.0,982,0.0,34.0,0.0
163161,کياسر - ساري (کياده),1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,1389,1064,172,133,17,3,70.0,1389,0.0,85.0,0.0
163161,کياسر - ساري (کياده),1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,2003,1681,210,92,16,4,72.0,2003,0.0,155.0,0.0
163161,کياسر - ساري (کياده),1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,1525,1151,215,143,9,7,69.0,1525,0.0,83.0,0.0
163161,کياسر - ساري (کياده),1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,1592,1134,255,187,6,10,67.0,1592,0.0,97.0,0.0
163161,کياسر - ساري (کياده),1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,1017,687,169,149,9,3,61.0,1047,0.0,52.0,0.0
163161,کياسر - ساري (کياده),1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,1096,750,177,156,4,9,63.0,1096,0.0,33.0,0.0
163161,کياسر - ساري (کياده),1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,1336,959,204,157,15,1,69.0,1336,0.0,68.0,0.0
163161,کياسر - ساري (کياده),1398/12/15 00:00:00,1398/12/16 00:00:00,1375.0,1435,1066,182,173,9,5,70.0,1527,0.0,61.0,0.0
163161,کياسر - ساري (کياده),1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,2054,1708,185,149,10,2,71.0,2054,0.0,136.0,0.0
163161,کياسر - ساري (کياده),1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,1374,1012,190,159,8,5,70.0,1374,0.0,52.0,0.0
163161,کياسر - ساري (کياده),1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,1390,1029,190,160,6,5,70.0,1390,0.0,61.0,0.0
163161,کياسر - ساري (کياده),1398/12/19 00:00:00,1398/12/20 00:00:00,1430.0,1310,932,208,157,5,8,69.0,1315,0.0,58.0,0.0
163161,کياسر - ساري (کياده),1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,1332,945,208,154,14,11,70.0,1332,0.0,51.0,0.0
163161,کياسر - ساري (کياده),1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,1388,1045,180,153,6,4,71.0,1388,0.0,51.0,0.0
163161,کياسر - ساري (کياده),1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,1418,1116,160,127,11,4,72.0,1418,0.0,56.0,0.0
163161,کياسر - ساري (کياده),1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,1664,1376,142,133,8,5,72.0,1664,0.0,66.0,0.0
